M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    186 N/A       00:02:24.17 +08:57:24.5  6.33    7.55     -0.87    -4.11  --------  A6V          
M    798 N/A       00:09:52.12 -62:17:48.4  6.34    7.37     17.32    17.50  --------  A6V          
M   3110 N/A       00:39:36.49 -59:30:48.8  9.52    2.48     -5.26    -4.47  --------  A6V          
M   3135 N/A       00:39:51.41 -37:24:29.6  8.57    1.61      5.39    -7.84  --------  A6V          
M   9295 N/A       01:59:25.89 +12:17:41.5  6.09   12.12      7.90   -33.42  --------  A6V          
M   9439 N/A       02:01:13.99 -55:08:40.9  8.10    2.64     18.83     9.06  --------  A5/A6V       
M   9571 N/A       02:02:58.46 -53:02:09.8  7.28    4.08     17.98     9.28  --------  A6V          
M  10862 N/A       02:19:47.02 -68:05:03.7  7.38    6.82    -21.49    20.14  --------  A6V          
M  12225 N/A       02:37:24.37 -52:32:35.0  5.30   22.49    111.29     1.05  --------  A6V          
M  13304 N/A       02:51:12.87 -45:59:39.7  8.20    6.96     36.29    25.95  --------  A5/A6V       
M  14408 N/A       03:05:52.30 -37:20:20.4  7.54    6.87    -15.99    13.32  --------  A6V          
M  15373 N/A       03:18:13.96 -13:49:45.3  8.27    8.49     -3.28    -4.49  --------  A6V          
M  15547 N/A       03:20:19.76 +77:44:05.0  5.44   12.36     64.90   -66.20 03203+7744 A6V          
M  15912 N/A       03:24:55.13 -62:33:46.5  8.16    5.70     -6.06     7.03  --------  A6V          
M  16403 N/A       03:31:14.68 +49:42:22.4  8.61    6.78     20.83   -25.79  --------  A6Vn         
M  16417 N/A       03:31:24.47 -59:51:25.1  7.41    5.34    -11.34     0.07  --------  A6V          
M  16426 N/A       03:31:30.18 +49:54:07.4  8.78    3.97     20.17   -26.67  --------  A6V          
M  17370 N/A       03:43:09.14 -61:30:31.1  7.45    5.71      3.61    18.23  --------  A6V          
M  17912 N/A       03:49:49.34 -42:43:39.2  7.35    4.99    -13.00     9.08  --------  A5/A6V       
M  18009 N/A       03:50:58.91 -44:04:16.5  8.22    4.38     -8.21    -3.33  --------  A6V          
M  18378 N/A       03:55:41.19 -60:47:00.8  8.52    5.80     -2.86    -5.17  --------  A6V          
M  19688 N/A       04:13:02.47 -32:47:41.6  7.03   11.29     17.00    18.92  --------  A6V          
M  21589 N/A       04:38:09.46 +12:30:38.9  4.27   21.79    101.73   -14.90 04381+1231 A6V          
M  21977 N/A       04:43:27.25 -58:47:22.4  8.28    4.89      0.15    10.09  --------  A6V          
M  23420 N/A       05:02:00.72 -39:04:38.6  8.15    5.70     16.68    34.84  --------  A6V          
M  24401 N/A       05:14:04.51 -21:38:59.8  7.41    7.09     24.43    17.66  --------  A6V          
M  24507 N/A       05:15:24.83 -73:35:18.5  6.49    9.09    -22.29     5.85  --------  A6V          
M  24530 N/A       05:15:45.33 -24:17:13.8  8.41    6.71     -2.34     8.75  --------  A6V          
M  24741 N/A       05:18:19.04 -21:49:28.1  7.96    6.63     17.07    16.28  --------  A6V          
M  26440 N/A       05:37:34.81 -12:41:57.2  8.33    6.26    -21.28     9.62  --------  A6V          
M  26497 N/A       05:38:07.66 -07:45:13.7  9.62    3.54      1.14    -1.74  --------  A6Vn         
M  28760 N/A       06:04:20.97 -19:00:11.6  8.23    3.36      3.85    12.56  --------  A6V          
M  29684 N/A       06:15:12.57 -77:03:08.5  7.94    8.30    -12.30    18.58  --------  A6V          
M  29960 N/A       06:18:25.53 -82:58:16.0  8.16    4.04     -2.12    -6.06  --------  A6V          
M  31092 N/A       06:31:29.49 -21:24:19.9  6.58   10.74      0.86    23.58  --------  A6V          
M  31229 N/A       06:33:01.99 -73:45:04.5  7.93    6.03     -5.77     4.60  --------  A6V          
M  32729 N/A       06:49:38.05 -24:08:36.6  7.14    5.24      0.31   -11.13  --------  A6V          
M  36342 N/A       07:28:47.60 -29:30:31.5  8.21    3.22     -2.82    11.76  --------  A6V          
M  38554 N/A       07:53:40.31 -26:26:51.2  9.95    0.11      0.39    -5.84  --------  A6V          
M  40237 N/A       08:13:07.04 -12:43:09.7  7.65    9.76     -8.33   -10.68  --------  A6V          
M  40830 N/A       08:19:59.66 -78:19:42.6  8.24    5.57    -24.09    29.26  --------  A6V          
M  41769 N/A       08:31:03.79 -14:00:43.4  7.47    4.33    -10.64     4.57  --------  A6V          
M  42600 N/A       08:40:56.30 +19:34:49.2  6.77    5.46    -32.61   -10.54  --------  A6Vn         
M  42931 N/A       08:45:01.28 +05:40:50.0  6.13   15.78      2.52    -3.76  --------  A6V          
M  44911 N/A       09:08:56.42 -35:18:47.3  8.43    5.49     -1.06    12.53  --------  A6V          
M  46039 N/A       09:23:22.74 -49:07:12.4  9.46    0.08    -12.16    11.36  --------  A6V          
M  46517 N/A       09:29:16.17 -38:24:12.7  6.15   16.04   -106.25     3.01  --------  A6V          
M  48278 N/A       09:50:31.52 -36:15:42.7  7.66    7.65    -43.17    22.60  --------  A6V          
M  49510 N/A       10:06:31.55 -21:17:07.9  8.40    3.56    -36.55    10.88  --------  A6V          
M  50860 N/A       10:23:06.33 +33:54:29.3  5.89   14.18    -14.13    -4.29  --------  A6V          
M  51050 N/A       10:25:47.42 -78:35:52.5  7.95    7.40    -41.84     1.49  --------  A6V          
M  51270 N/A       10:28:22.21 -65:41:39.1  8.99    3.90    -11.29    -4.83  --------  A6V          
M  51911 N/A       10:36:18.80 -32:49:51.7  8.61    2.65     -2.69     2.49  --------  A6V          
M  54838 N/A       11:13:36.76 -20:27:01.5  8.79    5.08    -30.76     6.10  --------  A6V          
M  55271 N/A       11:19:10.66 -40:29:59.6  7.36    6.64     27.81     8.25  --------  A5/A6V       
M  55861 N/A       11:26:57.56 +28:24:26.1  7.65   11.70      6.48    -6.08  --------  A6V          
M  57771 N/A       11:50:50.15 -21:00:10.9  8.20    5.61    -13.06    11.79  --------  A5/A6V       
M  57942 N/A       11:52:57.32 -41:46:50.1  7.69    5.86    -34.68    -8.77  --------  A6V          
M  58039 N/A       11:54:10.23 -35:59:31.7  7.55    8.59      9.60   -13.86  --------  A6V          
M  59221 N/A       12:08:44.94 -68:38:21.9  7.93    5.39    -38.93     7.39  --------  A6V          
M  63974 N/A       13:06:35.62 -54:17:33.2  7.93    7.08    -36.86   -22.31  --------  A6V          
M  64385 N/A       13:11:45.29 -68:55:00.8  7.97    2.53      7.70     1.97  --------  A6V          
M  66870 N/A       13:42:17.36 -58:37:10.6  7.91    5.48    -41.43    -8.99  --------  A6V          
M  68821 N/A       14:05:24.36 -32:40:38.2  8.15    4.84     24.39    -8.53  --------  A6V          
M  70124 N/A       14:20:55.18 -49:21:59.9  7.53    9.97    -24.00    -5.74  --------  A6V          
M  70904 N/A       14:29:58.36 -56:07:52.4  6.97    6.41    -21.42   -18.97  --------  A6V          
M  70948 N/A       14:30:44.71 -26:50:09.2  7.83    4.49    -22.44    -9.71  --------  A6V          
M  74534 N/A       15:13:48.16 -35:50:02.1  8.33    4.24    -16.96    -4.22  --------  A6V          
M  75638 N/A       15:27:13.60 -49:27:16.2  7.41   12.00    -44.99   -27.82  --------  A6V          
M  77388 N/A       15:47:51.15 -38:15:36.0  8.06    7.33    -15.62   -30.63  --------  A6V          
M  78238 N/A       15:58:31.60 -42:44:33.7  8.03    6.56      2.81   -26.96  --------  A6V          
M  88423 N/A       18:03:11.86 -75:41:21.6  7.82    6.36     -0.56   -26.67  --------  A6V          
M  89954 N/A       18:21:12.41 -26:05:06.3  6.91    6.97      2.15     3.60  --------  A6V          
M  93086 N/A       18:57:43.77 -55:28:54.6  8.27    3.11     -2.39   -37.76  --------  A6V          
M  94868 N/A       19:18:20.23 -58:52:27.4  7.91    4.42      6.67   -28.59  --------  A6V          
M  96907 N/A       19:41:57.62 +40:15:14.9  6.22   12.00    -12.77    37.43 19420+4015 A6V          
M 100693 N/A       20:24:49.68 -59:57:53.2  8.46    3.45     24.02   -34.02  --------  A6V          
M 100796 N/A       20:26:15.15 -24:56:49.4  8.15    3.77      6.56   -21.04  --------  A6V          
