M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     57 N/A       00:00:40.32 -69:40:33.4  8.27   33.89    -40.97   -67.59  --------  K2V          
M    787 N/A       00:09:43.85 -31:49:31.8  9.53   23.86    404.05  -232.85  --------  K1/K2V       
M   1933 N/A       00:24:22.03 -24:50:55.7  9.56   20.81    293.05  -223.17  --------  K2V          
M   1936 N/A       00:24:25.94 -27:01:36.3  7.92   55.53    667.39    83.92  --------  K2V          
M   3206 N/A       00:40:49.27 +40:11:13.8  7.36   57.90    355.69  -668.91  --------  K2V          
M   3400 N/A       00:43:18.29 -34:51:59.6 10.12   12.48    139.98     5.69  --------  K1/K2V       
M   3535 N/A       00:45:04.89 +01:47:07.8  8.03   45.43    -49.04  -573.07  --------  K2V          
M   3579 N/A       00:45:42.88 -67:52:29.3  9.74   19.99    -67.71   -15.38  --------  K2V          
M   3765 N/A       00:48:22.97 +05:16:50.2  5.74  134.04    758.04 -1141.22 00483+0516 K2V          
M   4148 N/A       00:53:01.14 -30:21:24.9  7.15   71.01    620.50    31.31  --------  K2V          
M   4871 N/A       01:02:37.15 +59:17:12.3  7.83    1.92      0.11   -21.58  --------  K2V          
M   4874 N/A       01:02:39.78 -25:18:30.3  9.84   22.04    281.85   -40.64  --------  K2V          
M   4920 N/A       01:03:10.61 -50:41:01.1  9.53    2.71     -6.19   -23.49  --------  K2V:         
M   5930 N/A       01:16:13.38 +16:49:39.3  7.68    2.96    -41.48   -49.11  --------  K2V          
M   6177 N/A       01:19:14.86 -43:37:47.4  8.69   31.10     67.44  -241.19 01192-4338 K1/K2V       
M   6339 N/A       01:21:28.24 +31:20:29.0  8.46   34.78    529.74   -93.53 01215+3120 K2V          
M   6390 N/A       01:22:07.61 -26:53:35.1  8.76   32.13    -59.28  -226.39 01221-2654 K2V          
M   6917 N/A       01:29:04.90 +21:43:23.3  7.74   43.16    455.58  -185.00 01291+2143 K2V          
M   8000 N/A       01:42:44.18 +41:18:46.3  8.88    4.92     -8.40   -54.26  --------  K2V          
M   8728 N/A       01:52:15.50 +44:54:19.1  9.60   25.59    -61.70    81.76  --------  K2V          
M   8830 N/A       01:53:31.44 -21:15:09.8  9.31   24.12      6.75  -249.05  --------  K1/K2V       
M   8881 N/A       01:54:22.19 -15:43:26.3  9.15   27.05    298.51  -137.31 01544-1543 K2V          
M   9553 N/A       02:02:45.05 -40:57:03.1  9.02   31.79    178.94   -63.23  --------  K2V          
M  10301 N/A       02:12:42.92 -53:44:38.0  8.36   34.97   -107.72    31.17  --------  K2V          
M  10531 N/A       02:15:42.55 +67:40:20.2  7.13   42.46    515.14  -318.06 02157+6740 K2V          
M  10741 N/A       02:18:14.04 -36:20:12.3 10.03   23.52     12.54     7.13  --------  K2V          
M  10877 N/A       02:19:58.34 +63:06:59.8  9.20    3.95     -5.06     7.30  --------  K2V          
M  11111 N/A       02:23:00.68 +71:10:36.8  8.94   26.92    533.90  -172.66  --------  K2V          
M  11759 N/A       02:31:42.47 -15:16:24.4  8.67   38.30    -75.71  -120.03  --------  K2V          
M  12109 N/A       02:36:00.78 -27:10:42.0  9.47   32.09     78.13  -166.10  --------  K2V          
M  13183 N/A       02:49:37.89 +00:55:15.4  6.82    7.98     21.11   -25.82  --------  K2V          
M  13777 N/A       02:57:19.40 -68:31:34.5  9.69   19.37    146.44   -66.48  --------  K1/K2V:      
M  13891 N/A       02:58:52.43 +26:46:26.6  8.21   35.00    -16.08   124.66  --------  K2V          
M  13927 N/A       02:59:25.86 +01:39:04.4  7.81    6.69    -27.21   -19.95  --------  K2V          
M  14100 N/A       03:01:51.27 -25:11:24.7  8.99    0.34     -7.04    -1.14  --------  K2V          
M  15962 N/A       03:25:31.15 -06:41:44.0  9.54   21.37     35.99   -44.26  --------  K2V          
M  16537 N/A       03:32:55.84 -09:27:29.7  3.72  310.75   -976.44    17.97 03329-0927 K2V          
M  16693 N/A       03:34:45.29 -62:27:24.6  9.43   24.56     56.72    78.02  --------  K2V          
M  17080 N/A       03:39:35.65 +57:28:23.4  9.15    1.58      3.34   -11.70  --------  K2V          
M  17165 N/A       03:40:34.27 -02:13:13.5  9.58   26.25    -93.32  -184.87  --------  K2V          
M  17420 N/A       03:43:55.34 -19:06:39.2  7.10   71.17    309.86   156.52  --------  K2V          
M  17978 N/A       03:50:35.49 -42:33:55.9  8.61   37.45    197.24   622.90  --------  K2V          
M  18343 N/A       03:55:18.32 -65:17:04.9  8.79   29.04     -7.84    74.51  --------  K2V          
M  19950 N/A       04:16:44.19 -26:45:57.2  9.86   17.02    -26.64  -116.86  --------  K1/K2V       
M  20277 N/A       04:20:47.05 -59:24:39.0  9.36   23.60    182.25   272.33  --------  K2V          
M  20482 N/A       04:23:22.85 +19:39:31.2  9.39   15.82     98.53   -32.57  --------  K2V          
M  20699 N/A       04:26:02.06 -06:10:50.6  9.73   20.27    -39.68  -181.34  --------  K2V          
M  21433 N/A       04:36:06.21 +55:24:44.1  8.32   34.23    547.13  -303.46  --------  K2V          
M  21455 N/A       04:36:26.56 -82:34:55.8  9.48   23.01    173.71   147.92  --------  K1/K2V       
M  21991 N/A       04:43:36.34 -15:48:18.2  9.95   20.42     17.74  -186.63  --------  K2V          
M  22451 N/A       04:49:52.33 -35:06:27.5  7.49   55.59    -26.26  -113.91  --------  K2V          
M  22646 N/A       04:52:20.73 -82:28:33.5  8.59   30.39    137.84   150.07  --------  K2V          
M  24886 N/A       05:20:04.62 -31:10:01.9  9.18   28.87     60.72    98.73  --------  K2V          
