M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    166 N/A       00:02:05.12 -56:30:53.7  8.86    9.46    -47.58   -12.05  --------  G3V          
M    171 N/A       00:02:10.16 +27:04:56.1  5.80   80.63    778.59  -918.72 00021+2706 G3V          
M    321 N/A       00:04:07.91 -25:53:33.6  8.93    9.88    110.27   -46.78  --------  G2/G3V       
M    403 N/A       00:04:56.92 -18:10:43.4  8.97   11.56    -14.70   -91.68  --------  G3V          
M    509 N/A       00:06:05.16 -31:26:39.5  9.67   13.05    -61.52     4.68  --------  G3V          
M    553 N/A       00:06:45.50 -21:05:33.1  9.83    2.30   -246.51  -433.74  --------  G2/G3V       
M    669 N/A       00:08:16.36 -14:49:28.1  7.04   36.18    -12.43   -10.72  --------  G2/G3V       
M    745 N/A       00:09:09.32 -38:17:22.6  9.26    6.75    164.62   -63.85  --------  G3V          
M    772 N/A       00:09:30.69 -34:06:39.1  8.52   16.26    -16.34   -37.18  --------  G3V          
M    791 N/A       00:09:48.55 -40:53:34.5  8.57   13.92    135.91  -119.62  --------  G3V          
M    801 N/A       00:09:52.82 -50:16:04.1  8.32   18.80    -95.65   -16.64  --------  G2/G3V       
M    872 N/A       00:10:42.46 -54:24:01.2  8.55    4.38      5.33    17.04  --------  G3V          
M    955 N/A       00:11:48.20 -17:33:27.7  9.02   16.48    101.20    -9.22  --------  G3V          
M    963 N/A       00:11:54.72 -33:02:14.6  9.32    3.89     -2.32    -7.15  --------  G3V          
M   1173 N/A       00:14:39.08 -39:47:39.4  9.18   13.85     45.25   -48.74  --------  G3V          
M   1304 N/A       00:16:22.25 -19:23:58.6  8.78   12.54    -18.38  -151.66  --------  G3V          
M   1430 N/A       00:17:51.43 -49:17:26.4  9.56    8.35    114.01   -12.26  --------  G2/G3V       
M   1536 N/A       00:19:07.64 -67:34:43.0  9.58   12.22    111.13   -73.19  --------  G3V          
M   1552 N/A       00:19:21.43 -40:07:16.2  8.12   18.95     58.10  -257.95  --------  G3V          
M   1679 N/A       00:21:00.80 -32:43:24.8  9.31   11.58     77.35   -37.71  --------  G3V          
M   1803 N/A       00:22:51.78 -12:12:33.9  6.39   49.05    394.27    60.45 00228-1212 G3V          
M   2014 N/A       00:25:32.79 -16:07:59.9  8.89    8.17    204.69    23.54  --------  G3V          
M   2107 N/A       00:26:44.47 -49:28:26.7  8.75   14.90    114.65    38.30  --------  G2/G3V       
M   2288 N/A       00:29:13.70 -24:55:51.2  9.07   10.93   -145.34  -134.25  --------  G3V          
M   2334 N/A       00:29:51.48 -33:25:04.4  9.10    6.03     26.70   -12.52  --------  G3V          
M   2368 N/A       00:30:12.94 -19:11:39.8  8.51   11.77   -174.65  -272.47  --------  G3V          
M   2417 N/A       00:30:49.10 -41:23:24.9  9.09   14.06     51.74   -46.12  --------  G2/G3V       
M   2513 N/A       00:31:52.72 -25:42:40.2  9.52    6.93    -12.86   -17.82  --------  G3V          
M   2692 N/A       00:34:09.89 -36:01:32.9  9.87    8.07     46.37   -35.27  --------  G2/G3V       
M   2744 N/A       00:35:01.54 -26:44:44.8  9.56    9.64    -25.34   -56.53  --------  G3V          
M   2747 N/A       00:35:02.88 -48:56:04.3  8.76   18.13     18.03    58.04  --------  G3V          
M   2855 N/A       00:36:09.43 -36:56:12.4  9.27    7.87      7.39   -70.07  --------  G3V          
M   2939 N/A       00:37:18.91 -35:25:12.7  8.27    8.82     61.28     5.09  --------  G3V          
M   2979 N/A       00:37:55.58 -44:51:08.4  9.39   13.01     13.92    67.68  --------  G2/G3V       
M   3011 N/A       00:38:18.89 -32:39:27.5  9.97    6.87     57.66    29.83  --------  G3V          
M   3099 N/A       00:39:26.81 -24:31:24.5  9.45    4.58     73.51    16.49  --------  G2/G3V       
M   3224 N/A       00:40:58.93 -47:04:11.6  9.60    9.55    -11.17    -3.88  --------  G3V          
M   3238 N/A       00:41:12.05 -68:27:28.3  9.36   13.75   -159.40   -24.38  --------  G3V          
M   3239 N/A       00:41:12.67 -34:32:03.0  9.94    5.79     25.13    14.31  --------  G2/G3V       
M   3342 N/A       00:42:36.05 -16:42:11.5  8.87   18.19     -4.05    26.39  --------  G3V          
M   3359 N/A       00:42:45.99 -20:21:36.4  9.73    9.00     24.30   -18.93  --------  G2/G3V       
M   3375 N/A       00:42:54.36 -20:37:44.0  9.87    6.12     17.94   -78.80  --------  G3V          
M   3468 N/A       00:44:21.18 -30:06:40.6  9.34   10.33     92.53    43.95  --------  G3V          
M   3497 N/A       00:44:39.26 -65:38:58.3  6.55   45.76    157.92  -742.38  --------  G3V          
M   3553 N/A       00:45:26.60 -46:32:56.0  9.25   13.63    -43.50    19.02  --------  G3V          
M   3605 N/A       00:46:10.83 -20:39:49.9  9.36    6.94   -118.39   -44.81  --------  G3V          
M   3908 N/A       00:50:07.59 -40:37:11.9  8.88    7.88     51.76     7.09  --------  G3V          
M   3948 N/A       00:50:39.99 -18:30:21.2  8.97    8.71     18.08   -29.87  --------  G3V          
M   4045 N/A       00:51:50.67 -40:18:16.9  9.67   11.43    161.61   -99.41  --------  G2/G3V       
M   4111 N/A       00:52:42.13 -38:08:17.2  8.55    8.32     48.73   -73.32  --------  G3V          
M   4248 N/A       00:54:10.88 -30:51:44.8 10.08    3.11     10.59     4.47  --------  G2/G3V       
M   4251 N/A       00:54:13.45 -22:53:07.8  9.59    8.27     16.15     0.46  --------  G2/G3V       
M   4319 N/A       00:55:14.88 -25:36:20.4  9.44   11.08     69.21     8.80  --------  G2/G3V       
M   4426 N/A       00:56:42.28 -15:46:56.4  9.85    4.39    -58.72   -32.40  --------  G3V          
M   4654 N/A       00:59:48.99 -44:12:31.8  9.69    7.73    -24.99   -38.31  --------  G3V          
M   4702 N/A       01:00:28.01 -19:23:21.7  8.01   12.39    127.66   -54.14  --------  G3V          
M   4722 N/A       01:00:39.42 -45:33:23.2  9.46    3.73     49.42    39.91  --------  G3V          
M   4833 N/A       01:02:06.90 -19:40:10.8  8.27   12.50    129.62   -54.00  --------  G3V          
M   4951 N/A       01:03:29.66 -14:30:27.2  9.20   11.52    -25.12   -86.65  --------  G3V          
M   4981 N/A       01:03:50.36 -31:47:10.9  9.11   17.37    -27.05    20.09  --------  G3V          
M   5014 N/A       01:04:16.21 -55:03:16.4  9.25    8.33    117.21    10.38  --------  G3V          
M   5059 N/A       01:04:42.82 -36:35:34.7  9.19    7.22    -89.47   -73.96  --------  G3V          
M   5104 N/A       01:05:25.45 -12:54:12.0  7.65    1.89     63.22    50.11  --------  G3V          
M   5306 N/A       01:07:54.08 -53:50:44.0  9.34    9.42     74.63    20.38  --------  G3V          
M   5415 N/A       01:09:13.29 -33:12:50.3  9.80    5.93     34.07   -25.23  --------  G3V          
M   5438 N/A       01:09:34.20 -46:15:56.1  8.60    3.90     54.50    -0.17  --------  G3V          
M   5654 N/A       01:12:38.26 -87:51:52.9  9.94    7.28    -35.05   -25.76  --------  G3V:         
M   5735 N/A       01:13:42.49 -50:39:31.0  8.44    6.18     13.55     4.31 01138-5039 G3V          
M   5740 N/A       01:13:44.54 -30:18:37.4  9.37   14.45     15.84   -52.58  --------  G3V          
M   5796 N/A       01:14:21.82 -50:15:05.4  9.43   11.22    -14.96   -34.23  --------  G2/G3V       
M   5895 N/A       01:15:45.06 -53:42:56.4  8.25   20.84    115.03    25.77  --------  G3V          
M   6012 N/A       01:17:19.50 -15:37:40.0  9.42   10.02    156.35    38.06  --------  G3V          
M   6067 N/A       01:17:51.80 -32:00:29.5  9.59    8.61    -66.11   -87.55  --------  G3V          
M   6138 N/A       01:18:44.45 -26:10:24.2  9.81    7.09     72.00     5.34  --------  G3V          
M   6281 N/A       01:20:33.93 -81:01:00.2  9.31   12.96    -31.22    39.02  --------  G3V          
M   6370 N/A       01:21:51.92 -22:30:09.9  9.92    1.45      4.15   -37.17  --------  G3V          
M   6405 N/A       01:22:17.87 +18:40:57.7  6.96   39.07    555.56    -3.76  --------  G3V          
M   6466 N/A       01:23:11.93 -14:06:47.2  9.12    8.10     93.09    -7.40  --------  G3V          
M   6497 N/A       01:23:25.98 -14:12:24.8  8.16   13.48     88.77    14.81  --------  G3V          
