M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     52 N/A       00:00:35.26 -77:01:12.4  8.56    3.95     21.46     9.91  --------  A4V          
M    131 N/A       00:01:40.77 +62:01:05.0  8.13    8.11    -14.27   -26.03  --------  A4V          
M    728 N/A       00:09:00.16 +28:14:51.1  6.47    8.65      5.90    -5.62  --------  A4Vm         
M   2993 N/A       00:38:02.39 -50:44:02.3  7.96    7.76     -5.60    -2.21  --------  A4V          
M   4283 N/A       00:54:53.09 +83:42:26.8  5.59   13.30     62.00   -10.71  --------  A4V          
M   4603 N/A       00:59:01.19 -29:24:06.1  9.31    4.29     17.59     4.15  --------  A4V          
M   4701 N/A       01:00:27.78 -60:16:01.4  9.20    2.02     -3.64     7.32  --------  A4Vs         
M   6966 N/A       01:29:41.18 +22:49:34.2  6.77    7.07     10.42   -16.31 01297+2250 A4V          
M   7433 N/A       01:35:44.38 -60:57:59.6  7.83    4.04     31.88     6.84  --------  A4V          
M   9747 N/A       02:05:23.20 -59:09:59.4  8.74    6.19     -6.77     5.86 02054-5910 A4V          
M   9951 N/A       02:08:05.69 -41:52:49.5  6.50   11.47    -16.15   -11.27  --------  A4V          
M  10814 N/A       02:19:10.82 +46:28:20.1  6.21    7.22    -23.76   -11.99  --------  A4V          
M  11113 N/A       02:22:59.75 -41:59:25.5  8.85    5.38    -11.01    -4.22  --------  A3/A4V       
M  11821 N/A       02:32:30.06 -27:00:11.0  7.41   11.39     13.95    -1.18  --------  A4V          
M  12543 N/A       02:41:24.16 +60:33:11.7  8.54    6.81     37.47    -5.60  --------  A4V          
M  12610 N/A       02:42:07.94 -85:51:29.1  8.31    5.48     18.56     6.27  --------  A3/A4V       
M  12841 N/A       02:45:04.13 -45:21:54.4  8.24    5.94    -16.88   -21.10  --------  A3/A4V       
M  13414 N/A       02:52:43.57 -41:23:31.3  6.67    7.74     41.97   -15.18 02527-4124 A4V          
M  13675 N/A       02:56:07.38 -26:11:58.9  7.40    7.89      7.60    32.21  --------  A4V          
M  14146 N/A       03:02:23.50 -23:37:28.0  4.08   37.85   -145.96   -55.76  --------  A4V          
M  14604 N/A       03:08:34.06 -41:20:16.6  8.34    3.81     36.99    17.65  --------  A3/A4V       
M  14791 N/A       03:11:00.73 +64:53:46.5  6.50   12.75    -48.97   -14.77  --------  A4V          
M  15159 N/A       03:15:22.97 +47:16:41.6  9.09    1.15      9.66   -14.13  --------  A4V          
M  15933 N/A       03:25:12.82 -37:09:09.7  7.16    9.60     38.18    -2.86  --------  A4V          
M  16452 N/A       03:31:55.80 +48:35:01.6  8.22    5.34     24.48   -29.43  --------  A4V          
M  16500 N/A       03:32:26.39 -24:36:59.1  7.03    6.06     12.76    11.78  --------  A4V          
M  16682 N/A       03:34:38.39 -62:33:26.2  6.97    8.54     38.87    25.39  --------  A4Vs...      
M  17227 N/A       03:41:23.28 -41:45:10.9  7.65    9.70    -20.73   -34.04  --------  A4V          
M  17256 N/A       03:41:45.55 -47:46:32.6  6.96    9.02    -21.40    30.88  --------  A4V          
M  17785 N/A       03:48:24.81 -54:17:37.5  6.89    4.03     17.55    17.27  --------  A4V          
M  18275 N/A       03:54:33.97 -52:41:25.5  6.46    9.33     26.97   -39.20 03546-5241 A4V          
M  18357 N/A       03:55:29.57 -36:18:36.3  7.52    8.30     23.08    38.70  --------  A4V          
M  18360 N/A       03:55:33.72 -59:58:55.9  8.83    3.69     -4.21     7.62  --------  A4V          
M  19086 N/A       04:05:31.31 -58:28:41.9  7.97    7.17      6.59    28.37  --------  A3/A4V       
M  19108 N/A       04:05:44.28 -73:16:50.6  8.96    4.36     27.47    34.99  --------  A4V          
M  19692 N/A       04:13:06.01 -14:19:22.0  8.73    1.42     16.88    12.53  --------  A4V          
M  20281 N/A       04:20:49.07 +09:13:29.3  6.52   10.17     58.54    11.78  --------  A4V          
M  20456 N/A       04:22:57.95 +59:36:58.2  6.18    8.62     35.93   -44.13 04230+5937 A4V          
M  21645 N/A       04:38:54.08 -58:58:50.0  7.20    5.39     18.90    21.94  --------  A4V          
M  22096 N/A       04:45:18.22 +24:24:36.4  9.05    5.80    -15.08    -2.11  --------  A4V          
M  23650 N/A       05:04:58.64 +41:52:49.5  7.31    6.22      0.92   -22.02  --------  A4V          
M  23778 N/A       05:06:36.89 +44:43:54.5  7.52    8.78      5.20   -17.85  --------  A4V          
M  23918 N/A       05:08:20.90 -04:05:29.3  8.66    1.86      3.23   -10.55  --------  A4V          
M  24248 N/A       05:12:19.15 +01:50:12.4 10.85    1.22      0.34    -2.26  --------  A4V          
M  24280 N/A       05:12:38.53 -04:39:56.4  9.20    5.68     -1.44    -3.32  --------  A4V          
M  24359 N/A       05:13:35.86 -61:04:41.7 10.10    3.02      1.55    16.53  --------  A3/A4V       
M  24362 N/A       05:13:37.29 -32:04:01.6  7.16   13.46     -4.07    22.76  --------  A4V          
M  24531 N/A       05:15:46.40 -01:16:40.4  8.77    4.14      0.76    -2.44  --------  A4V          
M  24729 N/A       05:18:10.79 +03:17:51.0  9.71    1.53     -7.04     2.14  --------  A4V          
M  25259 N/A       05:24:08.18 -34:24:55.4  7.45    7.98     29.25    46.00  --------  A4V          
M  25307 N/A       05:24:48.25 -52:37:16.3  8.34    2.67      1.47    -0.11  --------  A3/A4V       
M  25472 N/A       05:26:49.73 -81:35:07.2  8.27    5.93    -15.39    89.70  --------  A3/A4V       
M  25638 N/A       05:28:34.78 +13:40:44.3  6.35   10.13     10.32   -15.07  --------  A4V          
M  25692 N/A       05:29:11.23 -64:59:59.1  8.68    4.74     14.58    28.08  --------  A4V          
M  26543 N/A       05:38:40.60 -12:56:33.2  7.90    4.38      3.66    11.77  --------  A4V          
M  26563 N/A       05:38:53.08 -07:12:46.2  4.77   21.24    -15.00   -49.55  --------  A4V          
M  27249 N/A       05:46:30.39 +56:06:56.0  5.93   16.89     20.18   -58.91  --------  A4Vn         
M  28654 N/A       06:03:03.18 -37:32:49.4  6.88   11.91     14.90    17.80  --------  A4V          
M  28926 N/A       06:06:20.39 -69:15:29.8  8.85    5.17     -3.94   -14.31  --------  A4V          
M  29821 N/A       06:16:49.82 -31:34:17.0  8.42    4.05    -10.81    -4.15  --------  A4V          
M  30608 N/A       06:25:58.83 -07:53:41.9  6.40    5.86     -0.36    -3.51  --------  A4V          
M  30794 N/A       06:28:14.49 +70:32:07.1  6.03    5.89     -0.76    11.81 06282+7032 A4V          
M  31741 N/A       06:38:24.66 -28:47:26.6  8.58    6.44     -9.22    15.55  --------  A4V          
M  32615 N/A       06:48:18.20 -43:48:02.8  7.41    7.20    -14.24    42.25  --------  A4V          
M  33095 N/A       06:53:36.22 -20:29:37.5  9.90    4.01     -4.84     5.72  --------  A4V          
M  34756 N/A       07:11:41.27 -38:23:27.6  8.90    4.56     -7.63    17.54  --------  A4V          
M  36393 N/A       07:29:20.44 +28:07:05.8  5.07   20.00    -33.30   -52.91  --------  A4V          
M  37372 N/A       07:40:19.36 -78:23:14.6  6.64   11.15    -50.49    76.47  --------  A4V          
M  37932 N/A       07:46:24.07 -49:14:27.7  6.95    4.47    -28.17    41.43  --------  A4V          
M  38958 N/A       07:58:15.66 -23:00:33.0  8.31    4.48    -22.82     6.81  --------  A4V          
M  39529 N/A       08:04:42.83 -81:59:37.9  9.35    3.80    -11.49    34.06  --------  A4V          
M  39803 N/A       08:08:02.01 -61:33:11.7  9.36    3.46    -10.76     6.16  --------  A3/A4Vn      
M  40947 N/A       08:21:24.19 -39:37:14.5  6.15   14.89      7.33     6.47  --------  A4V          
M  41140 N/A       08:23:38.10 -74:09:57.9  8.03    7.29    -30.86    30.50  --------  A4V          
M  41391 N/A       08:26:40.50 -42:31:27.0  7.24    3.34    -17.62    -8.04  --------  A4V          
M  41740 N/A       08:30:43.77 -70:50:33.2  7.70    5.13     -2.06     1.65  --------  A4Vs         
M  42843 N/A       08:43:47.39 -33:27:14.5  8.91    1.26    -47.00    16.64  --------  A4V          
M  43853 N/A       08:55:55.90 -23:49:05.9  6.39   14.24    -46.96    45.55  --------  A4V          
M  45039 N/A       09:10:24.80 -14:54:00.6  7.81    4.66    -15.57    -4.36  --------  A4V          
M  45070 N/A       09:10:48.12 -17:48:20.4  8.00    6.79    -41.75    14.60  --------  A4V          
M  45293 N/A       09:13:49.33 -19:58:47.5  8.91    6.79    -18.61    -6.60  --------  A4V          
M  46040 N/A       09:23:22.72 -71:48:31.0  7.78    2.54    -25.08    20.47  --------  A4V          
M  46873 N/A       09:33:07.39 +49:26:19.2  6.76   10.98     -4.11    11.85  --------  A4V          
M  47494 N/A       09:40:55.69 +43:59:32.8  7.87    4.92    -19.00    -2.37  --------  A4V          
M  47759 N/A       09:44:12.81 -48:29:47.0  8.93    0.46    -15.59     6.49  --------  A3/A4V       
M  48707 N/A       09:56:05.38 -63:06:36.8  9.13    5.62    -30.17    24.09  --------  A4V          
M  48763 N/A       09:56:46.84 -26:32:58.8  6.27   14.39    -77.40    29.70 09568-2633 A4V          
M  48776 N/A       09:56:54.09 -27:28:30.5  6.32    6.49    -73.03    23.82  --------  A4V          
M  50198 N/A       10:14:51.09 -28:49:12.9  9.41    0.81    -10.09     5.72  --------  A4V          
