M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M      2 N/A       00:00:01.02 -19:29:55.8  9.27   21.90    181.21    -0.93  --------  K3V          
M     47 N/A       00:00:32.40 -56:50:08.1 10.78   24.45    -44.21  -145.90  --------  K3V          
M   1426 N/A       00:17:49.47 -48:03:45.8  9.35   -0.60      6.32    -4.81  --------  K3V:         
M   1659 N/A       00:20:47.47 -28:53:54.9 10.98   12.88   -122.14  -250.90  --------  K3V          
M   2743 N/A       00:35:02.81 -63:41:42.4  8.55   34.04    881.63  -534.68  --------  K3V          
M   4024 N/A       00:51:34.57 -14:53:26.4  9.77   26.54    145.19  -278.54  --------  K2/K3V       
M   4699 N/A       01:00:22.54 -13:35:57.9 10.06   23.96   -103.65   -92.29  --------  K3V          
M   6037 N/A       01:17:34.03 -15:30:11.9  9.75   33.18    279.21  -475.96  --------  K3V          
M   7533 N/A       01:37:02.42 -54:33:28.7  9.45    0.63     28.65     3.43  --------  K3V          
M   7738 N/A       01:39:39.18 +40:35:01.4  9.17    4.17     25.57   -11.19  --------  K3V          
M  10977 N/A       02:21:23.99 -30:56:01.1  8.82   32.50    550.79   108.80  --------  K2/K3V       
M  10989 N/A       02:21:37.66 -34:50:14.2  9.43   23.73    -54.08  -103.45  --------  K3V          
M  11983 N/A       02:34:34.56 +05:26:46.6  9.81   24.80   -292.15  -575.08  --------  K3V          
M  12110 N/A       02:36:00.77 -23:31:16.7  8.34   47.04     84.53    13.04  --------  K3V          
M  12114 N/A       02:36:04.89 +06:53:12.7  5.79  138.72   1806.27  1442.50 02361+0653 K3V          
M  12605 N/A       02:42:05.84 -31:06:57.0 10.51   15.31    443.58    28.38  --------  K3V          
M  13754 N/A       02:57:02.95 -56:11:31.5  8.99   26.81    -36.55    50.93  --------  K3V          
M  15286 N/A       03:17:14.87 -20:41:08.8  9.63   26.08    285.63  -139.70  --------  K3V          
M  15774 N/A       03:23:17.18 -49:59:30.9  8.58   50.64    247.98   266.14 03233-5000 K3V          
M  17255 N/A       03:41:44.40 -51:25:32.4  9.03   26.52    -69.77    36.57  --------  K3V          
M  18707 N/A       04:00:27.26 -34:51:00.4  9.57   22.59    192.05   -17.40  --------  K2/K3V       
M  19292 N/A       04:08:06.77 -53:46:45.3  9.83   19.44     12.09  -187.69  --------  K2/K3V:      
M  19788 N/A       04:14:30.30 +03:01:19.3  8.78   30.02    105.73   272.07  --------  K3V          
M  20082 N/A       04:18:19.27 +16:05:18.0  9.57   20.01    121.88   -19.72  --------  K3V          
M  20097 N/A       04:18:31.11 +28:27:16.1 10.78    7.31      6.04   -27.44  --------  K3Ve-K7Ve    
M  20160 N/A       04:19:15.83 +29:06:26.8 11.96   18.98      5.28   -33.13  --------  K3Ve-M0Ve(T) 
M  20834 N/A       04:27:52.93 +24:26:41.2  9.40   24.05    375.08   114.38  --------  K3V          
M  20900 N/A       04:28:49.33 -23:33:31.8 12.02   14.40     13.16  -297.92  --------  K3V          
M  21622 N/A       04:38:32.47 -40:11:04.7  9.19   12.74    232.37   179.73  --------  K3V-VI       
M  21818 N/A       04:41:18.85 +20:54:05.4  8.09   74.13   -233.61  -254.55  --------  K3V          
M  22121 N/A       04:45:39.09 -43:53:49.6  8.89   33.68    139.77    20.87  --------  K3V          
M  22281 N/A       04:47:50.52 -40:26:45.4  9.28   26.35    -51.05   -30.02  --------  K3V          
M  22286 N/A       04:47:59.86 -41:53:32.7  9.17   19.34    -15.27  -120.15 04480-4154 K3V          
M  22394 N/A       04:49:12.98 +24:48:10.2  9.51   18.96     85.22   -52.07  --------  K3V          
M  22562 N/A       04:51:20.55 -53:24:21.1  9.02   27.10    -80.97    84.51  --------  K3V          
M  23127 N/A       04:58:34.34 -27:03:52.7  9.72   18.49    -24.89    11.63  --------  K3V          
M  23311 N/A       05:00:49.00 -05:45:13.2  6.22  113.46    550.74 -1109.30  --------  K3V          
M  24874 N/A       05:19:59.57 -15:50:22.7  8.72   41.09    173.92   204.52  --------  K3V          
M  25421 N/A       05:26:14.74 -32:30:17.1  7.70   55.76    246.73   -90.72  --------  K2/K3V       
M  27887 N/A       05:54:04.24 -60:01:24.5  7.17   77.95    -51.76   -60.44  --------  K3V          
