M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1532 N/A       00:19:05.56 -09:57:53.4  9.90   48.17    -37.06  -301.98  --------  K7V          
M   1844 N/A       00:23:19.49 +62:18:50.5  7.82    2.00     14.06    -5.62  --------  K7V          
M   4473 N/A       00:57:19.75 -62:14:44.1  9.50   51.66   1028.33   127.79  --------  K7V          
M   4845 N/A       01:02:21.13 -10:25:25.8 10.06   46.22     21.32  -178.72  --------  K7V          
M   5247 N/A       01:07:08.20 +63:56:28.7  9.00   66.46   1548.21   319.28  --------  K7V          
M   5629 N/A       01:12:17.14 +04:25:42.0 11.35   18.76    -50.15   -71.63  --------  K7V:         
M   5662 N/A       01:12:45.80 +10:34:56.2 11.95   15.18    175.31    20.89  --------  K7V:         
M   6324 N/A       01:21:11.00 +13:52:15.0 12.15   14.80    -41.52   -92.84  --------  K7V:         
M   6489 N/A       01:23:22.81 +14:16:14.9 11.10   17.59     59.35   119.29  --------  K7V:         
M   6705 N/A       01:26:13.67 +13:48:58.2 11.96   21.25   -108.81  -116.35  --------  K7V:         
M   6818 N/A       01:27:42.72 +09:52:50.8 11.94   12.12    131.37   -40.51  --------  K7V:         
M   6972 N/A       01:29:44.15 +08:26:35.4 10.45   14.60    306.56    29.87  --------  K7V:         
M   7172 N/A       01:32:28.69 +14:17:07.5 11.52    9.78    149.40  -171.58  --------  K7V:         
M   7392 N/A       01:35:18.89 +10:16:41.2 12.23   35.36   -137.40  -157.76  --------  K7V:         
M   7690 N/A       01:38:59.14 +43:58:04.2  9.65    0.29     -5.10    -4.12  --------  K7V          
M   7824 N/A       01:40:38.56 +05:34:36.4 10.66   16.33    -43.08  -168.27  --------  K7V:         
M   8055 N/A       01:43:27.43 +04:52:50.1 11.13   15.11     34.31  -103.23  --------  K7V:         
M   8842 N/A       01:53:43.27 +12:02:23.4 12.20   14.47    122.87     4.18  --------  K7V:         
M   9180 N/A       01:58:09.06 +13:36:51.0 11.96   14.22     50.07  -165.60  --------  K7V:         
M   9463 N/A       02:01:47.75 +13:01:26.9 10.16   24.83   -128.28  -146.27  --------  K7V:         
M   9488 N/A       02:02:03.17 +03:56:25.0 10.48   25.12   -338.69  -325.39  --------  K7V:         
M   9607 N/A       02:03:33.03 +12:35:04.9 11.54   21.70    382.01   -53.82  --------  K7V:         
M   9920 N/A       02:07:42.18 +07:57:30.7 11.22   22.44    -10.92  -135.87  --------  K7V:         
M   9967 N/A       02:08:20.04 +03:03:36.8 10.01   17.30    174.54  -253.66  --------  K7V:         
M  10168 N/A       02:10:46.25 +09:24:27.3 12.04   15.23    185.94   -69.63  --------  K7V:         
M  10258 N/A       02:11:57.98 +04:21:41.8  9.70   20.55   -146.48   -78.57  --------  K7V:         
M  10337 N/A       02:13:12.17 -21:11:47.2  9.84   43.00    377.79    54.93  --------  K7V          
M  11182 N/A       02:24:00.25 +04:52:18.4 10.35   26.69    -31.48    21.46  --------  K7V:         
M  11506 N/A       02:28:21.92 +10:34:02.9 11.72   14.83     34.39   -68.50  --------  K7V:         
M  11707 N/A       02:31:03.28 +08:22:55.1 10.90   28.19    375.11   -87.00  --------  K7V:         
M  11739 N/A       02:31:30.80 -20:01:41.5 10.24   29.08    192.90    28.09  --------  K7V          
M  12087 N/A       02:35:47.75 +06:36:15.6 10.51   20.60    302.21    31.00  --------  K7V:         
M  12856 N/A       02:45:16.76 +05:33:37.7 10.58   28.45     45.25  -213.24  --------  K7V:         
M  13345 N/A       02:51:44.45 -08:16:09.5  9.82   33.01     30.56    -9.24  --------  K7V          
M  13410 N/A       02:52:39.85 +05:43:02.1 10.32   22.84    -78.92  -300.21  --------  K7V:         
