M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    209 N/A       00:02:38.45 +66:06:01.4  7.20   -0.69      8.09     9.09 00026+6606 A2V          
M    810 N/A       00:09:59.10 -25:52:29.0  7.66    6.14     49.04    11.49  --------  A2V          
M   1366 N/A       00:17:05.50 +38:40:53.8  4.61   12.88    -50.01   -17.90  --------  A2V          
M   1473 N/A       00:18:19.66 +36:47:06.8  4.51   23.11    -66.51   -42.48  --------  A2V          
M   2225 N/A       00:28:13.66 +44:23:40.0  5.18   12.32     84.10   -15.33  --------  A2Vs         
M   2487 N/A       00:31:33.47 -62:57:56.0  4.53   18.95     87.95   -45.79 00316-6258 A2V          
M   3274 N/A       00:41:42.40 -64:30:30.0  8.45    3.40     22.04    -4.62  --------  A2V          
M   3320 N/A       00:42:20.05 -31:54:59.8  9.34    3.31     -5.10    -3.43  --------  A2V          
M   3544 N/A       00:45:17.17 +55:13:17.0  5.41    9.28    -28.35    -5.34 00453+5514 A2Vs         
M   3707 N/A       00:47:35.86 -67:42:38.4  8.70    1.54     -0.57     2.51  --------  A2V          
M   4129 N/A       00:52:53.38 +38:32:55.8  6.70    4.31     26.31   -10.15  --------  A2V          
M   4861 N/A       01:02:30.21 -48:12:03.9  9.38    2.68     35.94    27.62  --------  A2V          
M   4993 N/A       01:03:59.86 -34:40:36.3  9.01    2.93     11.82    -3.16  --------  A2V          
M   6312 N/A       01:21:05.27 +64:39:29.2  6.33   13.67     59.68   -23.53 01211+6440 A2Vnn        
M   6546 N/A       01:24:07.38 -52:30:41.1 10.26   -1.75     18.35   -10.01  --------  A2V          
M   6806 N/A       01:27:35.27 -46:09:06.0  7.71    5.48     41.86    -3.01  --------  A2V          
M   7050 N/A       01:30:52.12 +66:05:53.1  6.15   11.54     74.83   -11.18  --------  A2Vs         
M   7115 N/A       01:31:39.01 -45:34:32.5  6.17   10.21    -11.58     4.82  --------  A2V          
M   7291 N/A       01:33:55.69 +62:08:59.2  7.90    4.44    -17.21    -3.20  --------  A2V          
M   7702 N/A       01:39:08.15 -48:46:31.8  7.29    6.19     33.93    25.99  --------  A2V          
M   8148 N/A       01:44:46.17 +57:05:21.2  6.25    5.82     18.08     1.84  --------  A2V          
M   9190 N/A       01:58:19.93 +57:52:03.1  7.92    6.42     20.53    -5.10  --------  A2V          
M   9451 N/A       02:01:32.00 +59:48:11.2  8.30    4.48     13.90   -10.62  --------  A2V          
M   9570 N/A       02:02:57.96 +33:17:02.8  5.50    8.81    -15.99    -6.75 02030+3317 A2V          
M   9598 N/A       02:03:26.10 +72:25:16.7  3.95   20.12    -44.00    22.51  --------  A2V          
M  10484 N/A       02:15:11.89 -12:03:07.3  7.80    5.27     -1.47   -12.11  --------  A2V          
M  10702 N/A       02:17:46.13 +62:40:16.3  8.83    3.17      2.33    -2.99  --------  A2V          
M  10793 N/A       02:18:56.99 +28:38:33.6  5.29    9.31      6.72    -0.04 02189+2838 A2V          
M  10799 N/A       02:18:58.82 -70:40:39.4  8.72    3.31     42.17    28.37  --------  A2V          
M  10856 N/A       02:19:44.48 +60:01:46.3  6.94    4.78    -11.20    -9.39 02197+6001 A2V          
M  11075 N/A       02:22:33.20 +16:52:13.0  6.78    9.34     44.34    -7.54  --------  A2V          
M  11527 N/A       02:28:38.40 +63:11:15.6  7.64    6.04     30.65   -11.95  --------  A2V          
M  12149 N/A       02:36:35.53 -31:51:01.7  8.63    2.51     30.96    14.00  --------  A2V          
M  12413 N/A       02:39:47.99 -42:53:30.0  4.74   25.15     92.11   -15.07 02398-4254 A2V          
M  12647 N/A       02:42:28.94 +10:44:30.2  6.32    7.66    -24.27   -23.37  --------  A2V          
M  12775 N/A       02:44:10.58 -52:34:14.1  6.15    8.06    -23.37   -14.76  --------  A2V          
M  13141 N/A       02:49:01.49 -62:48:23.4  5.25   19.73     94.53    29.02  --------  A2V          
M  13729 N/A       02:56:49.07 +59:04:46.2  9.05    6.57     29.61   -18.48  --------  A2V          
M  13879 N/A       02:58:45.67 +39:39:45.8  4.68   10.02     25.88   -40.67  --------  A2Vn         
M  14643 N/A       03:09:13.55 -26:42:56.4  7.66    6.95     10.59     9.99  --------  A2V          
M  14862 N/A       03:11:56.27 +74:23:37.1  4.85   20.15     14.46   -86.21  --------  A2Vnn        
M  15033 N/A       03:13:41.58 -56:03:53.2  8.26    2.80     -1.82    10.97  --------  A1/A2V       
M  15420 N/A       03:18:44.77 +49:46:11.8  7.95    5.71     22.22   -24.85  --------  A2V          
M  16168 N/A       03:28:20.70 +33:48:27.2  5.72    9.51     28.13   -57.43  --------  A2V          
M  16223 N/A       03:28:59.68 +60:52:54.9  9.65    2.32     -4.62    -1.50  --------  A2V          
M  16339 N/A       03:30:36.96 -47:22:30.4  5.98    8.81     64.60    20.03  --------  A2V          
M  16411 N/A       03:31:20.76 +27:34:18.5  6.61    4.20     41.23   -23.84 03313+2734 A2V          
M  16677 N/A       03:34:37.47 -09:52:05.7  6.25    6.29     20.11     4.99  --------  A2V          
M  16868 N/A       03:37:04.62 -36:17:32.0  7.24    7.02      3.71     8.44  --------  A2V          
M  17116 N/A       03:39:57.33 -67:13:45.6  9.24    4.37      5.34     9.77  --------  A2V          
M  17618 N/A       03:46:27.42 -29:20:17.3  5.91    9.90      7.18     3.80  --------  A2V          
M  17999 N/A       03:50:52.43 +23:57:41.3  6.95    9.83     16.80   -45.76  --------  A2V          
M  18201 N/A       03:53:34.47 +25:40:58.4  6.35    6.82     21.06   -34.22  --------  A2V          
M  18481 N/A       03:57:01.72 +06:02:23.9  6.09   13.26     37.24   -67.99  --------  A2Vn         
M  18729 N/A       04:00:43.68 -71:10:00.5  6.60    9.86     24.61    33.70  --------  A1/A2V       
M  18905 N/A       04:03:08.43 -20:30:14.7  8.68    7.39     -9.99     1.90  --------  A2V          
M  19241 N/A       04:07:24.97 +62:23:26.4  7.94    6.60     19.85   -20.83  --------  A2Vn         
M  19445 N/A       04:09:51.08 -79:01:04.5  8.39    2.31     -0.60    -4.66  --------  A2V          
M  19949 N/A       04:16:43.09 +53:36:42.4  5.20    9.24    -16.99    -1.68  --------  A2Vn         
M  20070 N/A       04:18:14.62 +50:17:43.8  4.60   10.25     46.59   -56.43  --------  A2V          
M  20153 N/A       04:19:11.58 -58:44:47.9  7.99    7.44      0.45     9.07  --------  A1/A2Vs...   
M  20507 N/A       04:23:40.85 -03:44:43.7  5.17   15.66    -47.92   -56.73  --------  A2V          
M  20543 N/A       04:24:06.90 -57:15:11.3  7.53    7.58     10.68     7.07  --------  A1/A2V       
M  20589 N/A       04:24:35.59 -12:17:55.1  8.81    4.59     13.43    -6.98  --------  A2V          
M  20674 N/A       04:25:41.97 +29:54:26.8  9.45    3.36     -5.54    -0.91  --------  A2V          
M  21295 N/A       04:34:08.27 +05:34:07.0  5.67    7.99    -15.58    -7.77  --------  A2Vs         
M  21819 N/A       04:41:19.76 +28:36:53.9  5.73    9.74     37.35   -30.04 04413+2837 A2V          
M  22114 N/A       04:45:34.98 -42:33:15.4  7.62    7.68     -0.98    19.59  --------  A2V          
M  22189 N/A       04:46:24.16 -02:57:16.2  6.33   11.76     20.19   -55.09  --------  A2V          
M  22348 N/A       04:48:41.39 +10:52:02.2  9.29   -1.26      2.00    -1.47  --------  A2V          
M  22370 N/A       04:48:57.48 -47:08:04.3  7.45    5.04     41.97    34.71  --------  A2V          
M  22720 N/A       04:53:09.79 +52:50:28.1  6.40    6.23    -14.03   -12.40  --------  A2V          
M  22936 N/A       04:56:07.08 +52:52:11.1  5.75    6.82     -2.59    18.06  --------  A2Vs         
M  23079 N/A       04:57:58.12 -57:58:02.7  7.51    3.93    -33.09    -4.46  --------  A2V          
M  23092 N/A       04:58:10.91 -02:12:45.8  6.34    7.18     12.31    12.71 04582-0213 A2V          
M  23098 N/A       04:58:11.80 -05:15:06.0  9.50    3.90      0.50     4.89  --------  A2V          
M  23780 N/A       05:06:37.98 -41:46:07.6  8.46    3.66      4.82    10.89  --------  A2V          
M  24144 N/A       05:11:06.18 -00:39:41.8 10.62   -0.68      5.90    -3.51  --------  A2V          
M  24268 N/A       05:12:29.72 -17:27:08.9  8.58    2.85     -9.68     0.33 05125-1727 A2V          
M  24512 N/A       05:15:27.65 +22:17:05.4  6.26    4.96     -9.97    -6.64 05155+2217 A2V          
M  24640 N/A       05:17:15.04 -39:17:16.9  7.14    5.36     -8.11    26.56  --------  A2V          
M  24757 N/A       05:18:29.92 +02:05:28.9  9.65    3.36      0.22     1.64  --------  A2V          
M  24850 N/A       05:19:38.98 +15:47:09.5  8.33    6.91     -6.44    -4.93  --------  A2V          
M  24854 N/A       05:19:41.00 -06:06:55.4  9.87    4.29      0.28    -4.60  --------  A2V          
M  24857 N/A       05:19:42.24 -04:52:38.2  7.33    5.56    -14.15    -5.17  --------  A2V          
M  24951 N/A       05:20:39.16 +46:57:49.6  6.54    5.30     -4.70    -8.95 05207+4658 A2V+...      
M  25205 N/A       05:23:31.06 +05:19:23.1  6.34   13.32    -30.42    16.63  --------  A2V          
M  25208 N/A       05:23:34.17 -11:58:40.6  9.37    1.52      0.25    -0.26  --------  A2V          
M  25263 N/A       05:24:09.77 -53:25:43.6  7.60    4.88      7.31    -6.37  --------  A2V          
M  25298 N/A       05:24:42.32 -52:18:46.9  6.79    6.75     -7.70   -27.57 05247-5219 A2V          
M  25406 N/A       05:26:04.29 -58:33:41.1  7.46    7.64     15.31     2.16  --------  A2Vs         
M  25551 N/A       05:27:44.63 -25:38:12.4  7.49    5.14     -2.97     1.77  --------  A2V          
M  25602 N/A       05:28:13.16 -32:49:22.4  7.75    7.25    -19.74     4.82  --------  A2V          
M  26056 N/A       05:33:27.68 -64:25:05.9  9.16    5.70      2.02    14.11  --------  A2V          
M  26126 N/A       05:34:16.77 +03:46:00.8  5.32    9.45    -29.35   -15.82 05343+0346 A2V          
M  26395 N/A       05:37:08.77 -11:46:31.9  6.10   15.14     20.52   -22.66  --------  A2V          
M  26514 N/A       05:38:16.40 -59:06:59.6  7.04    4.07     -0.44    10.01  --------  A2V          
M  26734 N/A       05:40:48.29 +17:11:45.6  8.90    1.75      0.92    -1.41  --------  A2V          
M  26895 N/A       05:42:33.85 -33:00:19.0  8.64    6.57     -2.04    14.34  --------  A1/A2V       
M  27015 N/A       05:43:48.88 +85:40:06.1  6.69    6.90    -10.52    11.39  --------  A2V          
M  27138 N/A       05:45:15.05 -05:06:41.3 10.27    5.35     -2.15    -2.15  --------  A2V          
M  27288 N/A       05:46:57.34 -14:49:19.0  3.55   46.47    -14.84    -1.18  --------  A2Vann       
M  27298 N/A       05:47:02.77 +45:45:27.9  8.74    2.31     15.87   -18.92  --------  A2V          
M  27713 N/A       05:52:07.73 -09:02:30.8  5.95    8.60     -2.97    32.31  --------  A2Vn         
