M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     17 N/A       00:00:12.23 -40:11:32.6  8.15    6.15    -34.46   -26.37  --------  F3V          
M     39 N/A       00:00:26.95 -16:41:49.1  7.46   10.98    169.72   -32.54  --------  F3V          
M    116 N/A       00:01:30.07 -33:47:33.9  8.60    8.29    -23.88   -27.41  --------  F3V          
M    255 N/A       00:03:10.72 -24:35:17.6  7.96   11.84     52.44    12.15  --------  F2/F3V       
M    571 N/A       00:06:55.75 -30:36:11.0 10.24    3.82     15.21     3.89 00069-3036 F2/F3V       
M    587 N/A       00:07:08.25 -37:55:45.0  8.41    5.14    -15.77   -10.95  --------  F3V          
M    595 N/A       00:07:12.77 -22:01:39.8 10.28    6.34    -13.65   -22.71  --------  F3V          
M    706 N/A       00:08:46.18 -34:47:39.7  7.88    5.03      5.24     6.05  --------  F3V          
M    708 N/A       00:08:46.81 -36:44:39.0  8.65    6.86    -34.75   -37.51  --------  F3V          
M    815 N/A       00:10:02.58 -63:17:48.3  8.13    9.63    -49.67   -38.68  --------  F3V          
M    839 N/A       00:10:17.92 -70:50:12.8  9.37    5.26     11.72    -4.47  --------  F2/F3V       
M    842 N/A       00:10:20.56 -22:46:09.0  9.81    3.85     -8.67     5.34  --------  F3V          
M    922 N/A       00:11:29.33 -18:42:24.8  8.48   11.58     72.27    -2.22  --------  F3V          
M    994 N/A       00:12:25.32 -61:36:20.9  9.00    5.47     30.03   -25.41  --------  F3V          
M   1201 N/A       00:15:01.40 -16:03:16.8  8.99    8.05     66.81     5.54  --------  F3V          
M   1311 N/A       00:16:27.66 -36:47:46.6  9.20    5.56    -14.75   -17.22  --------  F3V          
M   1316 N/A       00:16:33.54 -38:49:50.4  9.75    4.55     -3.92    32.93  --------  F3V          
M   1317 N/A       00:16:33.62 -17:53:44.3  8.56    5.38      7.67    37.26  --------  F3V          
M   1345 N/A       00:16:50.81 -49:37:39.8  8.88    7.36     33.71   -18.50  --------  F3V          
M   1369 N/A       00:17:06.88 -12:02:24.8  8.44    6.52     39.34     2.06  --------  F3V          
M   1402 N/A       00:17:32.70 -19:03:03.9  6.46   20.47     20.45    -2.36  --------  F3V          
M   1517 N/A       00:18:55.62 -11:35:20.8  8.76    8.52     45.47    -8.99  --------  F3V          
M   1527 N/A       00:19:00.63 -24:26:34.4  9.16    7.72     24.26   -19.01  --------  F3V          
M   1831 N/A       00:23:12.65 -13:10:05.4  8.35    6.55    -47.10   -20.94  --------  F3V          
M   1863 N/A       00:23:33.72 -32:51:58.9  9.19    3.89     59.79     9.18  --------  F3V          
M   1906 N/A       00:24:06.04 -43:12:12.1  9.15    5.29    -22.21   -10.41  --------  F3V          
M   1961 N/A       00:24:48.29 -23:27:14.6  8.46    7.55    -54.19   -48.06  --------  F3V          
M   1964 N/A       00:24:50.06 -11:42:39.1  8.08    5.31      8.22   -14.81  --------  F3V          
M   1973 N/A       00:24:57.97 -62:12:22.9  8.14    8.12    109.10   -12.46  --------  F3V          
M   2099 N/A       00:26:36.89 -14:01:48.0  8.58   11.70    -22.70   -90.18  --------  F3V          
M   2162 N/A       00:27:15.75 -22:44:02.6  9.52    3.67    -27.73   -27.48  --------  F3V          
M   2266 N/A       00:28:52.19 -44:36:25.0  8.51    6.45     79.80   -29.40  --------  F3V          
M   2337 N/A       00:29:51.90 -14:51:50.8  6.15   23.62    147.08   -33.98  --------  F2/F3V       
M   2344 N/A       00:29:55.81 -19:02:33.0  9.29    6.99      5.27    -7.94  --------  F3V          
M   2351 N/A       00:30:00.03 -14:25:25.1  9.11    3.53      6.53    -1.49  --------  F3V          
M   2486 N/A       00:31:33.51 -36:16:25.2  9.70    1.43     44.89    14.92  --------  F3V          
M   2737 N/A       00:34:58.90 -24:25:08.6  9.68    7.30    182.26    12.70  --------  F3V          
M   2853 N/A       00:36:07.60 -20:45:30.7  7.88   14.56     97.93    17.73 00361-2046 F3V          
M   2952 N/A       00:37:29.61 +21:55:11.5  8.95    4.78     18.15    12.91  --------  F3V          
M   3100 N/A       00:39:28.08 -35:37:17.5 10.03    4.93     27.16   -16.52  --------  F2/F3V       
M   3134 N/A       00:39:50.39 -14:17:57.1  9.47    2.76     60.29   -22.88  --------  F3V          
M   3147 N/A       00:40:00.70 -73:45:42.6  8.50    6.69     24.15    -6.02  --------  F3V          
M   3168 N/A       00:40:24.16 -23:25:46.0  9.51    5.84     -5.46     5.86  --------  F3V          
M   3335 N/A       00:42:32.46 -26:11:16.5  9.84    5.02     16.93    10.89  --------  F3V          
M   3475 N/A       00:44:23.55 -44:58:57.7  9.76    5.27     -0.25   -24.31  --------  F3V          
M   3538 N/A       00:45:10.21 -27:46:03.6  8.95    6.12      2.96    16.56  --------  F3V          
M   3561 N/A       00:45:32.31 -75:55:06.5  9.38    5.23     33.97     1.05  --------  F3V          
M   3594 N/A       00:45:59.99 -63:17:04.6  9.34    6.72    -33.21    43.32  --------  F3V          
M   3640 N/A       00:46:38.33 -54:06:05.3  7.80    9.31     13.50    68.61 00466-5406 F3V          
M   3641 N/A       00:46:38.51 +69:19:31.4  6.39   24.65    166.87    15.31  --------  F3V          
M   3654 N/A       00:46:47.09 -55:37:15.0  8.98    6.05     -6.65     1.59  --------  F3V          
M   4037 N/A       00:51:46.14 -17:04:27.2  9.88    4.66     -6.12    -2.11  --------  F3V          
M   4077 N/A       00:52:17.15 -13:54:21.1  8.15    7.16     15.61     6.53  --------  F3V          
M   4163 N/A       00:53:10.64 -44:34:14.8  9.46    7.27    -35.19    13.94  --------  F3V          
M   4217 N/A       00:53:48.71 -30:10:41.4  8.98    7.41     57.15   -48.05  --------  F2/F3V       
M   4226 N/A       00:53:54.40 -37:04:48.0  8.56    8.24     41.11   -16.11  --------  F3V          
M   4263 N/A       00:54:24.57 -35:24:03.4  9.32    5.98     43.84    14.00  --------  F3V          
M   4270 N/A       00:54:38.53 -33:57:25.9  8.45    7.37     12.89    27.90  --------  F3V          
M   4381 N/A       00:56:08.91 -22:29:25.3  9.76    6.53     40.25   -30.39  --------  F3V          
M   4539 N/A       00:58:08.67 -21:10:46.5  8.89    6.90    -60.59   -29.01  --------  F3V          
M   4730 N/A       01:00:44.30 -24:16:17.3  8.82    7.20    -18.34     5.85  --------  F3V          
M   4807 N/A       01:01:43.07 -46:12:56.2  7.94   13.98     20.67     6.66  --------  F3V          
M   4821 N/A       01:01:53.68 -14:07:51.6  8.60    5.09     64.92    13.86  --------  F3V          
M   4893 N/A       01:02:50.30 +26:17:57.8  7.21   14.49     18.28    22.88  --------  F3V          
M   4972 N/A       01:03:42.87 -51:58:29.8  8.84    8.04      6.22    21.32  --------  F3V          
M   5099 N/A       01:05:21.88 -40:16:12.0  7.18   18.21    -25.96   -14.63  --------  F3V          
M   5152 N/A       01:05:57.03 -27:35:43.7  9.79   -0.45    -27.46   -45.66  --------  F3V          
M   5329 N/A       01:08:10.80 -16:33:30.3 10.15    5.24    -10.98     3.16  --------  F3V          
M   5390 N/A       01:08:59.50 -19:22:24.6  9.78    8.66     -8.71     0.52  --------  F3V          
M   5651 N/A       01:12:34.27 -20:27:31.0  7.63   16.91    -67.28   -33.64  --------  F3V          
M   5733 N/A       01:13:42.39 -11:55:44.7  8.63    9.73    162.69    79.32  --------  F3V          
M   5819 N/A       01:14:40.53 -45:16:04.0  8.91    5.84      3.19    14.02  --------  F3V          
M   5897 N/A       01:15:45.48 -39:57:10.3  8.27    3.85     42.48    11.41  --------  F3V          
M   5900 N/A       01:15:47.56 -17:23:04.5  8.71    8.40     20.39    -0.83  --------  F3V          
M   5915 N/A       01:16:05.26 -19:48:14.4  8.86    8.88     50.20    -6.00  --------  F3V          
M   6079 N/A       01:18:00.70 -48:36:27.8  8.83    3.99     22.01    -2.20  --------  F3V          
M   6141 N/A       01:18:50.92 -46:09:07.2  9.09    4.26     26.00    18.73  --------  F3V          
M   6164 N/A       01:19:04.09 -14:50:39.2  9.45    7.80     58.92   -15.20  --------  F2/F3V       
M   6178 N/A       01:19:15.97 +61:41:38.0  8.42   12.93    -46.18   -30.61  --------  F3V          
M   6235 N/A       01:19:58.31 -57:20:56.9  7.44    6.10     45.51    37.31  --------  F3V          
M   6266 N/A       01:20:21.80 -68:04:10.8  8.71    5.42     -0.82    -9.00  --------  F3V          
M   6319 N/A       01:21:09.21 -36:53:58.6  9.84    8.87     -0.21    -8.98  --------  F3V          
M   6508 N/A       01:23:35.75 -63:21:56.1  9.56    4.72     -4.23    19.10  --------  F3V          
M   6556 N/A       01:24:15.18 -61:50:14.6  9.89    3.78    -30.29   -47.33  --------  F3V          
M   6563 N/A       01:24:20.16 -38:55:01.7  8.78    7.72    -27.04   -18.60  --------  F3V          
M   6590 N/A       01:24:40.04 -21:05:42.8  9.26    3.98     48.66    38.15  --------  F3V          
M   6790 N/A       01:27:23.78 +00:03:27.8  8.44    5.38      6.71    -4.47 01274+0004 F3V          
M   6875 N/A       01:28:29.13 -70:07:39.9  8.70   10.52     11.99    48.34  --------  F3V          
M   6891 N/A       01:28:44.53 -13:38:05.1  8.83    5.70      1.27   -74.09  --------  F3V          
M   6924 N/A       01:29:12.32 -17:13:59.8  9.98    0.82      5.09    -3.09  --------  F3V          
M   6951 N/A       01:29:30.31 -16:08:05.5  8.54   10.18     53.67     4.87  --------  F3V          
M   6967 N/A       01:29:41.21 -30:02:46.2  8.31    6.85     68.94   -16.38  --------  F3V          
M   7047 N/A       01:30:50.33 -35:40:52.2  9.53    7.42    -10.91   -15.11  --------  F2/F3V       
M   7084 N/A       01:31:15.46 -28:06:00.6  8.50    5.87    -22.35    -0.02  --------  F3V          
M   7099 N/A       01:31:29.57 -44:39:21.8  7.86   10.67    -69.64   -31.58  --------  F3V          
M   7130 N/A       01:31:52.92 -30:09:38.7  9.83    5.35    -15.92     8.57  --------  F3V          
M   7306 N/A       01:34:03.63 -29:18:07.8  9.72   -1.95     24.46    -7.70 01341-2918 F3V          
M   7477 N/A       01:36:17.30 -59:41:03.9  8.28    9.62    -29.96   -23.73  --------  F3V          
M   7541 N/A       01:37:09.67 -25:00:54.6  8.25    6.04      0.43    16.30  --------  F3V          
M   7642 N/A       01:38:26.79 -15:27:44.7  8.16    6.42    -17.48    -4.66  --------  F3V          
M   7750 N/A       01:39:47.06 -64:34:16.7  8.55    7.31    -32.18   -16.74  --------  F2/F3V       
M   7754 N/A       01:39:50.45 -20:31:03.4  9.48    6.33     47.33    -8.48 01398-2031 F2/F3V       
M   7847 N/A       01:40:53.32 -31:30:17.0  9.70    2.87      4.31    -7.34  --------  F3V          
M   7870 N/A       01:41:15.15 -12:55:03.6  9.52    2.45      6.02    -2.73  --------  F3V          
