M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     93 N/A       00:01:10.16 -00:04:33.9  8.12   16.74     54.94   -73.28  --------  F8V          
M    315 N/A       00:03:58.14 -71:16:43.3  9.62    6.67      7.29   -33.58  --------  F8V          
M    494 N/A       00:05:55.07 -68:48:41.8  8.99   12.99    -37.21    11.68  --------  F8V          
M   1016 N/A       00:12:39.56 -59:30:28.6  9.56    7.06    -63.89   -43.60  --------  F8V          
M   1029 N/A       00:12:49.87 -47:30:48.7  9.86    5.72     40.55    -5.18  --------  F7/F8V       
M   1221 N/A       00:15:13.55 -42:06:12.1  9.13    8.77     40.75     5.85 00152-4206 F7/F8V:      
M   1313 N/A       00:16:31.31 -56:13:28.8  9.18    5.71    -31.23   -40.43  --------  F8V          
M   1425 N/A       00:17:49.23 -79:13:56.5  7.92    6.42    -12.06   -21.64  --------  F8V          
M   1567 N/A       00:19:29.46 -54:00:41.7  8.49   13.16      2.69   -39.43  --------  F8V          
M   1761 N/A       00:22:19.27 -44:38:56.5  8.88    6.17     66.32   -17.86  --------  F8V          
M   2141 N/A       00:27:07.20 -29:17:55.1  9.37   10.41     48.34   -28.61  --------  F7/F8V       
M   2445 N/A       00:31:05.63 -69:02:18.7  8.92    9.19    -19.38   -42.16  --------  F8V          
M   2461 N/A       00:31:16.48 -20:56:53.1 10.38    5.88     -2.85    -4.41  --------  F7/F8V       
M   2589 N/A       00:32:53.20 -22:41:36.3 10.71    1.62     -0.52   -12.49  --------  F7/F8V:      
M   2622 N/A       00:33:16.83 -24:17:29.5 10.21    7.12    -31.51   -22.14  --------  F7/F8V       
M   2727 N/A       00:34:50.59 -21:52:55.8  9.75    2.96     38.37   -37.68  --------  F8V          
M   2835 N/A       00:35:57.27 -48:19:09.9  9.43    7.19     -9.15   -18.80  --------  F7/F8V       
M   2842 N/A       00:36:01.15 -31:24:12.0 10.10    3.94     33.96   -12.93  --------  F7/F8V+...   
M   2864 N/A       00:36:18.27 -43:14:24.5  8.83   12.35   -117.07   -36.70  --------  F8V          
M   3127 N/A       00:39:44.69 -41:39:34.4  8.46    8.79    -86.80   -88.23  --------  F8V          
M   3156 N/A       00:40:07.19 -54:35:53.4  9.10    6.21     61.39   -62.63  --------  F8V          
M   3160 N/A       00:40:13.63 -37:34:46.5  8.69    5.45     64.85    19.67  --------  F8V          
M   3292 N/A       00:42:00.93 -53:11:56.3  8.77   14.87     74.64   144.14  --------  F8V          
M   3451 N/A       00:44:07.77 -74:15:55.1  7.57   10.10    104.01   -35.44  --------  F8V          
M   3453 N/A       00:44:07.97 -30:25:02.7  9.04   10.82    -95.78  -110.30  --------  F8V          
M   3525 N/A       00:44:59.51 -19:17:52.3  8.72    7.94     21.30   -20.13  --------  F8Vw...      
M   3643 N/A       00:46:38.73 -36:02:01.0  8.63   17.20    -34.16   -84.36  --------  F8V          
M   3704 N/A       00:47:30.76 -36:56:24.6  7.85   19.99   -182.57  -350.64  --------  F7/F8V       
M   3730 N/A       00:47:54.83 +20:55:31.2  6.51   17.41    160.09    14.46  --------  F8V          
M   3737 N/A       00:47:59.58 -39:16:55.9  9.28    3.79    -20.38    62.53  --------  F7/F8V       
M   3810 N/A       00:48:58.71 +16:56:26.3  5.07   41.80     -2.33  -201.57 00490+1656 F8V...       
M   3927 N/A       00:50:26.11 -66:12:11.1  9.75    7.24     87.21    39.73  --------  F7/F8V:      
M   4015 N/A       00:51:28.88 -63:41:52.0  8.93    7.95     -1.32   -50.63  --------  F8V          
M   4151 N/A       00:53:04.20 +61:07:26.2  4.80   53.85    -68.45   169.72 00531+6107 F8V          
M   4201 N/A       00:53:37.98 -28:57:39.9  9.69    8.37    -10.88   -39.16  --------  F8V          
M   4357 N/A       00:55:50.18 -80:42:32.1  9.72    6.07     -8.43   -21.77  --------  F8V          
M   4392 N/A       00:56:16.22 -42:40:42.6  8.50   12.24     38.27    -9.54  --------  F8V          
M   4420 N/A       00:56:37.77 -23:39:23.0  8.88   13.81     25.46    89.22  --------  F7/F8V       
M   5065 N/A       01:04:48.98 -17:28:25.7  9.40    6.30    -27.56    -5.49  --------  F8V          
M   5130 N/A       01:05:40.21 -41:22:09.9  9.31    9.35     47.19   -18.99  --------  F8V          
M   5187 N/A       01:06:23.33 -44:15:25.6 10.27    1.52      7.81    -6.10  --------  F8V          
M   5280 N/A       01:07:32.05 -41:44:48.1  7.01   29.65    195.48   -62.71  --------  F8V          
M   5381 N/A       01:08:50.28 -59:38:13.8  8.95   14.58    189.93    21.85  --------  F8V          
M   5445 N/A       01:09:43.07 +61:32:50.1  7.72    7.74    627.89    77.84  --------  F8V          
M   5493 N/A       01:10:18.74 +42:04:53.3  5.67   18.98   -135.76   -41.87  --------  F8V          
M   5676 N/A       01:12:56.93 -51:32:05.8  9.47    6.94    -48.51   -23.57  --------  F8V          
M   5730 N/A       01:13:41.11 -33:43:47.6  9.54    5.68     42.75    17.81  --------  F7/F8V       
M   5862 N/A       01:15:11.12 -45:31:53.9  4.97   66.43    664.47   178.12  --------  F8V          
M   5885 N/A       01:15:33.86 -34:01:51.6  9.45    9.38    -12.34    -6.67  --------  F8V          
M   5893 N/A       01:15:42.65 -32:38:39.4  9.83    3.59     20.01    -4.69  --------  F7/F8V       
M   5932 N/A       01:16:16.16 +16:09:59.5  7.93   11.18     85.21   -31.32  --------  F8V          
M   6011 N/A       01:17:17.86 -34:39:49.8  8.20   15.96    -42.58   -28.14  --------  F8V          
M   6053 N/A       01:17:42.90 -28:11:55.1  9.31    5.31    -41.43   -15.24 01177-2812 F8V          
M   6317 N/A       01:21:08.36 -40:13:57.5  9.58    4.92     -6.32    -1.13  --------  F7/F8V       
M   6353 N/A       01:21:34.95 -11:34:56.4  9.28    3.96    -18.60   -48.78  --------  F7/F8V       
M   6384 N/A       01:22:02.48 +15:47:21.1  7.35    7.21     54.79   -38.75  --------  F8V          
M   6551 N/A       01:24:12.30 -31:48:43.0  6.85   20.01    165.45   -76.58  --------  F8V          
M   6755 N/A       01:26:56.59 -62:57:58.4  9.59    4.49    -28.93   -12.46  --------  F8V          
M   6761 N/A       01:26:58.54 -30:58:10.9  8.96   13.50    -17.46   -69.97 01270-3058 F7/F8V       
M   7098 N/A       01:31:29.49 -74:36:40.8  8.65    5.52    -25.46    16.25  --------  F8V          
M   7104 N/A       01:31:32.65 -43:50:47.6  8.19   11.80     85.05    -7.08  --------  F8V          
M   7159 N/A       01:32:16.44 -20:42:16.2  9.86    5.05     39.87    -3.18  --------  F7/F8V       
M   7357 N/A       01:34:48.86 +00:56:41.1  6.90   27.26    209.47  -270.62  --------  F8V          
M   7378 N/A       01:35:04.34 -29:52:32.1  8.78    6.82     73.62    33.30 01350-2954 F8V          
M   7479 N/A       01:36:19.25 -53:13:20.6 10.00    4.65     34.32    23.52  --------  F8V          
M   7513 N/A       01:36:47.85 +41:24:19.6  4.10   74.25   -172.57  -381.01 01367+4125 F8V          
M   7545 N/A       01:37:11.31 -54:28:43.9 10.14    5.62     52.33   -14.67  --------  F7/F8V       
M   7688 N/A       01:38:57.93 -47:40:13.9  9.24    9.02     70.90   -24.06  --------  F8V          
M   7698 N/A       01:39:07.27 -55:14:56.5  9.48    3.61     23.93   -28.57  --------  F8V          
M   7978 N/A       01:42:29.31 -53:44:27.0  5.52   57.63    166.97  -106.71  --------  F8V          
M   8176 N/A       01:45:07.84 -54:00:28.6  9.28    7.58    -60.78   -14.32  --------  F8V          
M   8380 N/A       01:48:02.87 +41:14:21.3  9.79    8.38      9.40     9.89  --------  F8V          
M   8433 N/A       01:48:41.56 +32:41:24.8  5.78   36.65   -166.73   297.35  --------  F8V          
M   8790 N/A       01:53:01.84 -64:53:01.4  9.98    4.43     -0.76    27.77  --------  F8V          
M   9065 N/A       01:56:42.28 -49:24:28.5  8.54    9.23    112.08  -120.41  --------  F7/F8V       
M   9085 N/A       01:56:59.99 -51:45:58.5  6.10   37.97    348.83   249.36  --------  F8V          
M   9492 N/A       02:02:07.18 +22:06:14.7  7.21   18.56      8.18   -51.16  --------  F8V          
M   9713 N/A       02:04:58.20 -37:47:56.6 10.05   10.47    218.78  -134.43  --------  F8V          
