M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M  33229 N/A       06:54:51.34 -55:15:33.6  8.17   29.35    -27.31  -160.70  --------  G7V          
M  35802 N/A       07:23:04.09 +60:55:47.3 10.42   13.94   -140.68  -244.24  --------  G7V:         
M  57026 N/A       11:41:32.53 +42:53:05.5  9.23    4.77     28.82    17.13  --------  G7V          
M  59297 N/A       12:09:55.20 +42:18:34.9  8.54    7.03    -99.26    19.77  --------  G7V          
M  60331 N/A       12:22:11.74 +73:14:54.5  7.97   23.16   -455.36   184.36  --------  G7V          
M  60956 N/A       12:29:42.74 -03:19:58.7  8.99   19.20   -328.02  -562.64  --------  G7V          
M  61012 N/A       12:30:14.10 +25:01:42.2 10.35    1.61     -6.00    15.49  --------  G7V          
M  62523 N/A       12:48:47.05 +24:50:24.7  6.29   58.23   -334.55  -106.06  --------  G7V          
M  74434 N/A       15:12:43.78 +19:17:32.7  7.71   27.79   -589.29   282.27 15127+1917 G7V          
M  90355 N/A       18:26:10.09 +08:46:39.2  7.83   37.04   -194.69  -458.10 18262+0846 G7V          
M  98677 N/A       20:02:34.15 +15:35:31.5  7.15   51.71   -160.07  -582.07  --------  G7V          
M 117526 N/A       23:50:05.75 +02:52:37.8  8.34   20.55    458.52   185.16 23501+0253 G7V          
