M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    530 N/A       00:06:26.02 +42:45:09.9  8.35    8.11     79.25     0.52  --------  G1V          
M    960 N/A       00:11:50.97 -19:42:11.8  9.72    9.92    170.46   -18.03  --------  G1V          
M   1116 N/A       00:13:56.03 -52:32:44.6  8.93   10.74    245.91  -100.39  --------  G1V          
M   1351 N/A       00:16:53.99 -15:28:27.3  9.23   13.42     25.95   -23.61  --------  G1Vw...      
M   1572 N/A       00:19:36.49 -69:06:10.3  8.75   14.55     -2.33   -19.39  --------  G1V          
M   1636 N/A       00:20:28.99 -36:56:12.3  9.14   10.80    -73.95  -147.84  --------  G1V          
M   1986 N/A       00:25:08.00 -31:50:56.9  8.79    9.83    -36.30   -34.56  --------  G1V          
M   2294 N/A       00:29:17.46 -34:06:08.0  9.42    8.96    129.85   -24.30  --------  G1V          
M   2318 N/A       00:29:33.40 -35:49:25.2  8.82   15.28    -59.48   -23.93  --------  G1V          
M   2338 N/A       00:29:52.88 -44:04:59.1  9.19    8.06    104.47   -58.52  --------  G1V          
M   2645 N/A       00:33:32.42 -38:06:48.2  7.27   13.56     71.60   -23.94  --------  G1V          
M   2888 N/A       00:36:37.97 -49:07:56.3  6.79   22.79    385.20  -132.44 00364-4908 G0/G1V       
M   3170 N/A       00:40:25.67 -59:27:16.6  5.89   39.26    883.26   443.01  --------  G1V          
M   3426 N/A       00:43:37.78 -60:41:07.9  9.21    6.61    -22.65   -11.74  --------  G1V          
M   3660 N/A       00:46:51.51 -34:19:47.9  9.13    7.48    -24.97    -6.27  --------  G1V          
M   3999 N/A       00:51:22.09 -38:31:43.8  7.14   19.09     18.67   -34.04  --------  G1V          
M   4063 N/A       00:52:03.27 -19:25:22.8  8.85    8.31     20.32   -53.15  --------  G1V          
M   4088 N/A       00:52:28.36 -69:30:10.4  7.56   13.50     -2.47   -59.75 00524-6930 G1V          
M   4646 N/A       00:59:41.07 -75:48:49.7  8.87    8.72    -14.18   -17.06 00596-7549 G1V          
M   4671 N/A       00:59:59.27 -56:30:05.0  9.36    5.32    117.16    22.48  --------  G1V          
M   4830 N/A       01:02:03.52 -49:39:25.0  8.33   10.90    -97.36   -83.13  --------  G0/G1V       
M   4864 N/A       01:02:32.75 -57:20:29.0  8.46   15.30    277.29    -0.50  --------  G1V          
M   5313 N/A       01:07:58.74 +39:15:09.0  7.78   26.79    -79.86    -2.06  --------  G1V          
M   5403 N/A       01:09:09.13 -23:24:09.3  9.81    2.91     34.38   -25.60  --------  G1V          
M   5549 N/A       01:11:11.23 -82:32:55.7  8.78   13.40    186.54  -196.85  --------  G1V          
M   5578 N/A       01:11:32.08 -12:50:35.1  7.48   24.65    -29.86   -69.09  --------  G1V          
M   5769 N/A       01:14:03.83 -11:49:55.6  8.69   11.97     14.10   -26.42  --------  G1V          
M   6233 N/A       01:19:56.58 -31:23:11.5  9.15    9.26     -4.27   -67.62  --------  G1V          
M   6284 N/A       01:20:36.84 -16:11:17.0 10.11    7.40    -13.58     3.01  --------  G1V          
M   6305 N/A       01:21:00.56 -12:44:34.5  8.79   13.49     93.23     8.06  --------  G1V          
M   7237 N/A       01:33:16.11 -47:18:21.8  8.19   17.92    -51.53   208.17  --------  G0/G1V       
M   7240 N/A       01:33:17.15 -38:14:42.0  8.19   17.47    -31.86   -38.30  --------  G1V          
M   7599 N/A       01:37:53.57 -60:30:41.5  7.33   25.39    -14.92     6.17  --------  G1V          
M   7814 N/A       01:40:32.24 -69:59:13.0  8.51   11.66    235.94    -3.36  --------  G0/G1V       
M   8007 N/A       01:42:48.88 -12:09:37.1  9.31    9.26    -10.30   -12.07  --------  G1V          
M   8289 N/A       01:46:47.68 -30:11:37.4  9.65    4.53     30.65    14.69  --------  G1V          
M   8383 N/A       01:48:04.49 -22:13:23.9  9.46    9.90     97.08    54.15  --------  G1V          
M   8527 N/A       01:49:57.88 -35:32:24.6  8.47   13.16    -89.81   -82.99  --------  G1V          
M   8967 N/A       01:55:30.48 -12:39:30.7  8.90    4.70    -44.37   -95.52  --------  G1V          
M   9637 N/A       02:03:51.34 -14:27:45.0  9.39    7.99     -6.80   -60.52  --------  G1V          
M   9692 N/A       02:04:40.50 -16:17:15.3  8.66   32.32     19.78    22.72  --------  G0/G1V       
M   9771 N/A       02:05:38.88 -66:08:21.2  9.05   14.50    117.05   -77.02  --------  G0/G1V       
M   9846 N/A       02:06:41.21 -46:36:28.4  9.38   11.99    -22.92   -28.98  --------  G1V          
M  10007 N/A       02:08:54.06 -17:50:52.3  9.00   10.61     83.63    37.12  --------  G1V          
M  10277 N/A       02:12:19.14 -26:38:23.9  8.80    9.67     80.89   -38.28  --------  G1V          
M  10449 N/A       02:14:40.30 -01:12:05.1  9.08   16.17    994.65   -80.42  --------  G1V          
M  10543 N/A       02:15:47.43 -24:46:20.4  8.36   14.46     47.36    51.71  --------  G1V          
M  10565 N/A       02:16:01.29 -20:06:36.3 10.10    5.95     10.72   -52.92  --------  G1V          
M  10779 N/A       02:18:44.06 -54:51:35.1  9.03   14.36     92.97    12.32  --------  G1V          
M  10858 N/A       02:19:45.15 -32:08:07.5  9.34   12.07    -22.79   -63.59  --------  G1V          
M  10870 N/A       02:19:53.53 -23:38:04.8  8.52   10.73    -34.00   -23.88  --------  G1V          
M  10970 N/A       02:21:16.13 -12:12:15.0  9.30   10.33    203.40  -178.26  --------  G1V          
M  10991 N/A       02:21:38.94 -14:38:08.7  9.61    9.62     33.77     3.76  --------  G1V          
M  11056 N/A       02:22:17.83 -13:30:32.7 10.45    8.27    -13.02    12.12  --------  G1V          
M  11125 N/A       02:23:11.17 -29:02:12.1  8.26   19.07    152.39   102.93  --------  G1V          
M  11505 N/A       02:28:20.71 +62:13:08.4  7.78   17.83    171.64    46.90  --------  G1V          
M  11574 N/A       02:29:08.02 -27:24:25.9  8.84   13.24    159.17   -15.11  --------  G1V          
M  11585 N/A       02:29:18.55 -49:54:23.8  9.11   12.01    142.10   160.99  --------  G1V          
M  11776 N/A       02:31:58.11 -51:01:34.0  8.99   10.31     73.69     0.05  --------  G1V          
M  11819 N/A       02:32:25.54 -69:36:18.8  8.56   14.48    105.76     1.99  --------  G1V          
M  11876 N/A       02:33:13.22 -19:39:27.0  9.52    4.60     47.98    -1.08  --------  G1V          
M  11973 N/A       02:34:26.50 -33:50:50.5  8.59   14.36     33.53   -13.58  --------  G0/G1V       
M  11991 N/A       02:34:38.17 -31:18:48.6  9.23    4.23     39.15     8.76  --------  G1V          
M  12186 N/A       02:36:58.61 -34:34:40.6  5.78   39.16    -18.27  -259.92  --------  G1V          
M  12217 N/A       02:37:20.90 -22:43:33.0  9.30    5.82     15.35   -25.91  --------  G1V          
M  12280 N/A       02:38:12.11 -40:26:06.2  9.60    8.22    101.46    31.45  --------  G1V          
M  12907 N/A       02:45:55.28 -30:28:51.8  7.78   12.75     40.76   -35.85  --------  G1V          
M  12951 N/A       02:46:33.66 -18:02:27.2  9.30    8.95    115.71    45.79  --------  G1V          
M  13447 N/A       02:53:10.43 +61:05:49.1  8.41   13.36    -19.70    26.43  --------  G1V          
M  13455 N/A       02:53:16.64 -34:29:18.9  8.12   17.43    158.96    87.58  --------  G0/G1V       
M  13583 N/A       02:54:59.04 -15:54:19.2  9.97    5.03     49.68     8.26  --------  G1V          
M  13862 N/A       02:58:27.64 -15:47:20.5  9.77    2.97     -2.44   -14.98  --------  G1V          
M  14073 N/A       03:01:20.16 -17:13:48.9  8.22   11.49    -30.39    77.02  --------  G1V          
M  14307 N/A       03:04:33.14 -51:19:19.5  7.56   18.62     88.21    71.92 03046-5119 G1V          
M  15371 N/A       03:18:12.82 -62:30:22.9  5.24   82.79   1331.10   646.84 03180-6232 G1V          
M  15784 N/A       03:23:25.06 -14:52:33.4  7.61   19.62      9.54    83.61  --------  G1V          
M  15820 N/A       03:23:49.27 -66:54:50.8  9.43    9.76     36.94    13.42  --------  G1V          
M  15916 N/A       03:24:57.97 -12:00:27.6  9.31    6.55     12.73   -16.38  --------  G1V          
M  16087 N/A       03:27:14.02 -50:27:45.1  8.85   11.14    131.41  -131.39  --------  G1V          
M  16184 N/A       03:28:29.44 -41:12:18.2  9.26   10.65     32.41   156.97  --------  G0/G1V       
M  16353 N/A       03:30:41.93 -40:07:08.0  8.49   11.70    -40.21  -125.91  --------  G0/G1V       
M  16884 N/A       03:37:17.36 -33:15:53.3  9.10    9.55     -1.04    32.81  --------  G1V          
M  17171 N/A       03:40:40.27 -53:44:17.6  7.92   12.54     92.49    -7.35  --------  G1V          
M  17364 N/A       03:43:04.76 -50:38:35.1  6.97   27.27    140.66   502.47  --------  G1V          
M  17483 N/A       03:44:45.42 -38:49:04.8  7.51   22.71    -40.36    47.10  --------  G1V          
M  18309 N/A       03:54:51.19 +52:25:11.5  7.87   15.36    107.60  -149.06  --------  G1V          
M  19869 N/A       04:15:41.35 -56:31:21.2  8.72   14.29      8.64   -96.16  --------  G0/G1V       
M  20088 N/A       04:18:23.85 -25:30:19.1  9.31   10.39    -20.30    15.44  --------  G1V          
M  20116 N/A       04:18:47.65 -34:07:16.5  7.86    3.65     20.41    20.26 04188-3407 G1V          
M  20378 N/A       04:21:49.92 -50:00:15.1  9.14    9.33      0.54    28.72  --------  G1V          
M  20627 N/A       04:25:12.72 -61:37:19.5  8.25   10.83     48.60   101.09  --------  G1V          
M  20719 N/A       04:26:24.60 +16:51:11.9  8.04   21.76    103.64   -17.58  --------  G1V          
M  20999 N/A       04:30:10.96 -38:01:45.3  9.50   10.77     51.95    67.57  --------  G1V          
M  21317 N/A       04:34:35.31 +15:30:16.6  7.90   23.19    100.66   -28.04  --------  G1V          
M  21543 N/A       04:37:31.98 +15:08:47.2  7.53   23.54     86.80   -17.98  --------  G1V          
M  21839 N/A       04:41:42.69 -32:50:44.1  8.61   11.48    187.17    14.88  --------  G1V          
M  22178 N/A       04:46:19.62 -39:54:47.3  9.47    8.22    -12.08     4.89  --------  G1V          
M  22515 N/A       04:50:42.15 -29:46:39.7  8.57   11.22      4.64   -93.05  --------  G1V          
M  22525 N/A       04:50:49.03 -72:25:27.0  9.30    4.81     16.64    17.48  --------  G1V          
M  22563 N/A       04:51:20.78 -68:04:10.7  6.81   18.02    -60.06    60.18 04513-6804 G1V          
M  22572 N/A       04:51:28.01 -49:23:43.4  8.22   13.65      0.77    79.98  --------  G1V          
M  22589 N/A       04:51:40.59 -31:34:02.3  8.08   18.11     96.12   -24.47  --------  G1V          
M  22596 N/A       04:51:43.55 +45:50:02.9  6.94   33.44    376.09  -564.90 04518+4550 G1V-VI       
M  23468 N/A       05:02:43.36 -26:38:06.2  8.84    8.16     58.33   -60.88  --------  G1V          
M  23719 N/A       05:05:57.43 -73:35:38.6  8.25   15.73    -27.97   149.54  --------  G1V          
M  24696 N/A       05:17:47.98 -28:10:17.1  9.02    8.36    -29.91    47.41  --------  G1V          
