M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    183 N/A       00:02:19.92 -29:43:13.4  5.04    6.40      9.66    14.00 00023-2943 B4V          
M   1115 N/A       00:13:55.60 -17:32:43.3  7.39    3.24     17.16     4.75  --------  B4V          
M  12891 N/A       02:45:42.12 +48:08:37.8  8.55    1.59      4.35    -1.91  --------  B4V          
M  14887 N/A       03:12:09.55 +42:22:33.2  6.15    4.96     16.44   -17.23  --------  B4V          
M  16466 N/A       03:32:04.76 -21:14:51.2  9.36    2.54      1.19     1.28  --------  B4V          
M  26876 N/A       05:42:21.30 -08:08:00.2  8.86    2.89      1.76     0.16  --------  B4V          
M  28992 N/A       06:07:03.67 -34:18:43.3  5.82    3.10      2.83     0.44  --------  B4Vnn        
M  29213 N/A       06:09:37.84 -59:31:19.5  7.98    2.30     -5.77    25.52  --------  B4V          
M  30468 N/A       06:24:20.58 -12:57:42.9  6.12    1.70     -3.30     3.65 06243-1258 B4V          
M  30700 N/A       06:27:00.88 -04:21:20.3  6.50    3.02     -4.99    -4.12  --------  B4V          
M  30743 N/A       06:27:36.86 -15:18:22.1  7.48    2.13     -6.05     4.80 06276-1518 B4V          
M  30788 N/A       06:28:10.21 -32:34:48.2  4.47    8.03    -13.78    24.24  --------  B4V          
M  31028 N/A       06:30:38.52 -22:19:18.4  7.16    0.90     -2.90     1.07  --------  B4V          
M  32418 N/A       06:46:03.22 -39:32:24.9  6.62    2.45     -8.79     7.69  --------  B4Vne        
M  32454 N/A       06:46:25.80 -23:08:57.5  8.28   -0.18     -3.07     2.59  --------  B4V          
M  33007 N/A       06:52:40.71 -21:11:03.3  7.46    1.16     -3.69     5.26  --------  B4V          
M  33975 N/A       07:02:59.62 -18:20:09.1  8.14    2.17     -5.02     2.86  --------  B4Vnn        
M  34489 N/A       07:08:49.41 -24:02:37.6  6.65   -0.38     -2.49     5.45 07088-2403 B4V          
