M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   7655 N/A       01:38:33.78 +44:35:25.6 10.74   28.69    157.81   109.59  --------  K8V:         
M  17496 N/A       03:44:51.13 +11:55:12.0  9.13   45.87    315.63   126.16  --------  K8V:         
M  21553 N/A       04:37:40.93 +52:53:37.0  8.62   98.12    305.20  -475.59  --------  K8V          
M  25189 N/A       05:23:20.04 +54:47:58.7  9.44   29.37     75.17  -396.80  --------  K8V:         
M  49908 N/A       10:11:22.14 +49:27:15.2  6.60  205.22  -1361.55  -505.00 10114+4927 K8V          
M  53327 N/A       10:54:26.51 +76:03:56.7  9.48   44.92   -432.44   141.84  --------  K8V:         
M  54646 N/A       11:11:05.17 +30:26:45.6  8.31   83.85    592.12  -197.10 11110+3028 K8V          
M  63833 N/A       13:04:57.48 -52:26:34.5  9.05   63.66   -785.70  -795.48  --------  K8V          
M  74148 N/A       15:09:04.21 +24:00:57.5  9.32   29.57   -469.08   144.21  --------  K8V:         
M  98746 N/A       20:03:24.10 +29:57:28.2  8.24    3.16     15.70    -0.05  --------  K8V          
