M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1125 N/A       00:14:02.88 +44:30:43.4  8.40    5.52     54.73    16.99  --------  F4V          
M   3214 N/A       00:40:52.73 +31:06:59.7  7.60   17.45    146.21    39.67  --------  F4V          
M   5141 N/A       01:05:49.23 +04:54:30.1  6.35   21.87     11.75  -119.26 01058+0455 F4V...       
M   5856 N/A       01:15:07.34 +14:39:37.5  9.00    5.60     27.51   -11.94  --------  F4V          
M   6373 N/A       01:21:53.80 +16:23:00.3  8.92    0.31     -4.19    -6.26  --------  F4V          
M   6486 N/A       01:23:21.42 +58:08:34.8  6.36   17.34    132.26   -90.68 01233+5808 F4V          
M   6665 N/A       01:25:31.67 +63:35:37.6  9.07   10.32     25.60   -24.00  --------  F4V          
M   7189 N/A       01:32:36.36 -49:43:39.7  6.27   12.41    -28.24   -73.47  --------  F4V          
M   8835 N/A       01:53:37.78 +60:59:23.9  8.25    7.61     83.86   -66.34  --------  F4V          
M  10581 N/A       02:16:11.62 +46:39:42.0  8.13   10.15    -10.91   -27.90  --------  F4V          
M  10830 N/A       02:19:22.68 +48:57:19.6  6.44   15.50    -98.58    72.43  --------  F4V          
M  11465 N/A       02:27:51.78 +50:34:11.9  6.16   18.84     31.53   -90.46  --------  F4V          
M  12184 N/A       02:36:57.74 +24:38:52.9  7.10   25.36    150.58   -12.55 02370+2439 F4V          
M  13232 N/A       02:50:20.31 +00:57:49.9  7.64    5.62    -25.92   -66.25  --------  F4V          
M  13665 N/A       02:55:56.92 +61:31:16.0  5.59   37.78    145.07    30.84 02559+6132 F4V          
M  14209 N/A       03:03:12.46 +60:57:37.7  9.20    4.00      5.86     7.17  --------  F4V          
M  14591 N/A       03:08:25.15 +10:47:45.1  7.30    8.11    -61.91   -31.87  --------  F4V          
M  15191 N/A       03:15:47.14 +32:51:24.1  6.30   16.13     -8.95    19.02 03158+3252 F4Vwvar      
M  15779 N/A       03:23:20.34 +02:50:56.2  8.62    7.38     34.00   -47.44  --------  F4V          
M  15898 N/A       03:24:47.09 +48:24:41.9  9.91    6.98     24.32   -26.12  --------  F4V          
M  15911 N/A       03:24:55.12 +47:24:54.0  9.74    6.58     24.86   -24.76  --------  F4V          
M  18170 N/A       03:53:10.05 +17:19:37.5  5.97   24.14    143.97   -29.93  --------  F4V          
M  18735 N/A       04:00:48.77 +18:11:38.3  5.89   21.99    129.49   -28.27 04008+1812 F4V...       
M  19554 N/A       04:11:20.29 +05:31:22.9  5.71   25.89    146.86     5.00 04114+0532 F4V          
M  19628 N/A       04:12:20.67 +42:54:27.7  8.10   11.03     41.94   -38.40  --------  F4V...       
M  20614 N/A       04:24:57.13 +19:02:31.2  5.97   20.40    110.73   -32.50  --------  F4V          
M  21137 N/A       04:31:51.76 +15:51:05.6  6.01   22.25    107.59   -32.38  --------  F4V...       
M  22188 N/A       04:46:23.27 +79:09:04.8  8.46    8.19     39.12   -27.79  --------  F4V          
M  23380 N/A       05:01:36.04 +61:04:40.8  6.03   27.10     16.40  -179.31 05016+6105 F4V          
M  28644 N/A       06:02:55.18 +32:38:08.5  6.23   20.02     81.47  -211.58  --------  F4V          
M  28854 N/A       06:05:27.03 -10:14:33.3  5.88   16.96     21.43    26.03  --------  F4V:         
M  29725 N/A       06:15:39.02 +36:08:55.3  6.86   20.70    -58.49     3.77 06156+3609 F4V:         
M  35713 N/A       07:22:04.26 +29:50:15.6  8.16    8.70     47.38    -3.68  --------  F4V          
