M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M  51867 N/A       10:35:49.86 -50:08:34.3  9.88    3.94    -28.25    14.43  --------  A8V          
M  51875 N/A       10:35:55.33 -21:26:55.5  9.09    4.73    -18.29     2.69  --------  A7/A8V+...   
M  52069 N/A       10:38:25.49 -79:30:35.9  7.80    7.31    -50.21    29.49  --------  A8V          
M  52650 N/A       10:45:59.87 +56:55:15.0  7.11    8.99     11.04    16.47  --------  A8V          
M  52751 N/A       10:47:08.62 -24:32:57.2  8.10    6.13    -40.57   -14.79  --------  A8V          
M  53355 N/A       10:54:42.17 +25:29:26.6  6.19    8.04    -54.26    -0.42  --------  A8V          
M  54843 N/A       11:13:41.01 -22:59:55.4  7.29    7.23    -61.66     2.12  --------  A8V          
M  55107 N/A       11:16:58.55 -46:24:52.0  8.10    6.94     43.93   -43.60  --------  A8V:         
M  56539 N/A       11:35:34.62 -24:45:55.9  9.80    3.57    -10.85    -1.63  --------  A7/A8V       
M  59593 N/A       12:13:14.39 -56:03:52.5  8.24    4.25     -3.41     3.24  --------  A8V          
M  60257 N/A       12:21:21.03 -54:30:05.6  8.43    6.05      2.36     8.10  --------  A8V          
M  60989 N/A       12:30:03.30 -61:27:21.6  8.37    7.47     -5.19   -12.77  --------  A8V          
M  65089 N/A       13:20:26.81 -49:13:25.1  7.95    9.75    -31.86   -19.98  --------  A7/A8V       
M  65575 N/A       13:26:40.58 -16:06:16.4  9.87    3.76     10.25    -6.24  --------  A8V          
M  68092 N/A       13:56:27.87 +01:03:02.1  5.90    9.66    -28.09    13.65  --------  A8V          
M  68855 N/A       14:05:57.36 -13:04:25.1  9.02    3.72    -31.62    -8.68 14060-1304 A8V          
M  70154 N/A       14:21:16.07 -83:16:45.2  8.11    2.20    -10.32    -9.90  --------  A8V+...      
M  71400 N/A       14:36:03.13 -64:00:55.8  7.04    9.92     -9.36   -19.17  --------  A8V          
M  74272 N/A       15:10:44.43 +67:46:51.6  6.18    6.47     21.69   -13.02  --------  A8Vn         
M  74321 N/A       15:11:26.77 -36:14:57.1  9.25    6.54    -17.64   -32.15 15115-3615 A8V          
M  75514 N/A       15:25:37.29 -15:26:43.8  8.50    8.58     -5.83    -5.96  --------  A8V          
M  76826 N/A       15:41:08.73 -32:39:10.4  8.68    3.65     -1.23     2.51  --------  A7/A8V       
M  80336 N/A       16:24:00.98 -58:36:20.3  7.17   12.71    -53.11   -64.00  --------  A8V          
M  81892 N/A       16:43:38.96 -15:14:37.6  8.40    7.25    -22.33   -21.59  --------  A8V          
M  84054 N/A       17:11:03.16 +24:14:15.6  6.20   11.41    -11.66    30.27  --------  A8V          
M  84222 N/A       17:12:56.13 -29:37:11.6  9.27    6.18      0.37   -16.32  --------  A8V          
M  85537 N/A       17:28:49.65 +00:19:50.2  5.41   15.86    -64.73    19.86  --------  A8V          
M  85987 N/A       17:34:27.24 +16:30:15.7  6.59    5.53     -4.51    -1.07  --------  A8Vn         
M  86306 N/A       17:38:05.54 -56:49:17.3  7.34    8.87    -76.64   -49.51  --------  A8V          
M  86386 N/A       17:39:06.00 -58:14:09.7  9.68    2.57     -0.74    -6.17  --------  A8V          
M  87003 N/A       17:46:41.77 -23:41:04.9  7.90    6.32     22.27   -15.84  --------  A7/A8V       
M  87373 N/A       17:51:07.92 -63:11:36.1  9.22    4.04     -0.03   -24.99  --------  A8V          
M  89890 N/A       18:20:30.12 -49:54:40.5  9.05    4.84     -3.24   -27.40  --------  A8V          
M  90277 N/A       18:25:13.20 -54:38:20.8  9.14    0.06     -2.22   -14.03  --------  A8V          
M  90678 N/A       18:30:07.78 -16:11:28.7  7.82    8.16      7.87   -17.50  --------  A8V          
M  92040 N/A       18:45:38.10 +79:56:33.5  6.40   11.33     12.45    67.60  --------  A8V          
M  93238 N/A       18:59:29.26 -70:28:07.1  6.49    9.30     -3.89  -117.69  --------  A8V          
M  95139 N/A       19:21:23.12 -54:34:56.5  8.21    4.29     -2.37    12.83  --------  A7/A8V       
M  95179 N/A       19:21:44.85 -14:02:00.1  7.67    7.82     27.56   -13.18  --------  A8V          
M  97325 N/A       19:46:44.01 -29:36:07.0  9.69    6.15      2.38    -2.43  --------  A8V          
M 100521 N/A       20:22:59.58 -59:29:53.0  8.47    5.45     11.50     2.04  --------  A8V          
M 100594 N/A       20:23:54.38 -79:03:03.5  7.56    8.18     46.93   -47.35  --------  A8V          
M 101120 N/A       20:29:52.59 -18:35:10.9  6.74   23.89     14.11   -88.21 20299-1835 A7/A8V       
M 101914 N/A       20:39:07.14 -35:25:06.3  8.74    5.24     13.52     8.62  --------  A8V          
M 102253 N/A       20:43:11.02 +66:39:26.8  5.59   23.49     25.11    34.71  --------  A8V          
M 102343 N/A       20:44:11.77 -12:17:48.8  9.51    2.22    -15.37    12.87  --------  A8V          
M 106126 N/A       21:29:50.17 -18:20:58.5  9.48    2.74     19.57    10.89  --------  A8V          
M 107697 N/A       21:48:58.21 -51:21:58.2  7.51    9.47     30.36   -49.03  --------  A8V          
M 109690 N/A       22:13:09.63 -45:18:09.7  9.35    6.04     32.15    -8.90  --------  A8V          
M 110101 N/A       22:18:11.44 -22:17:55.0  7.65    8.32     35.03    -5.05  --------  A8V          
M 110747 N/A       22:26:11.17 -24:26:26.3  9.09    0.88      5.66     4.23  --------  A8V          
M 118006 N/A       23:56:07.94 -18:00:24.6  9.15    1.32      6.04   -10.97  --------  A7/A8V       
