M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    160 N/A       00:02:02.83 -69:16:09.0  8.68    2.07     14.52     3.76  --------  B9V          
M    349 N/A       00:04:22.90 -29:22:53.6  7.77    4.10     20.68     2.45  --------  B8/B9V       
M    442 N/A       00:05:20.02 -21:18:55.2  8.38    4.33    -19.41   -14.59  --------  B9V          
M    512 N/A       00:06:09.07 -29:09:04.9  7.90    4.39     17.44     3.49 00062-2909 B9V          
M    813 N/A       00:10:02.20 +11:08:44.9  5.54   10.04     29.73     1.64 00100+1109 B9V          
M   1180 N/A       00:14:42.71 +64:33:58.1  8.40    1.29     -4.71    -4.21  --------  B9V...       
M   1191 N/A       00:14:54.51 -09:34:10.4  5.77    9.40     22.64    -8.45  --------  B9V          
M   1378 N/A       00:17:13.17 -14:06:32.9  9.51    0.44     10.20    -8.95  --------  B8/B9V       
M   1550 N/A       00:19:18.74 +59:08:20.5  7.26    3.93     33.66    -1.59  --------  B9V          
M   1647 N/A       00:20:39.03 -69:37:29.7  5.50   10.65     -4.01    -0.64  --------  B9V          
M   2101 N/A       00:26:39.47 +56:38:28.3  6.58    3.84     14.85     0.05  --------  B9V          
M   2484 N/A       00:31:32.67 -62:57:29.5  4.36   23.35     82.48   -54.37 00316-6258 B9V          
M   3741 N/A       00:48:01.07 -21:43:20.9  5.57    6.72     24.99    -7.23  --------  B9V          
M   4396 N/A       00:56:22.56 -31:11:01.6 10.58    0.91      6.54     3.94  --------  B9V          
M   4437 N/A       00:56:45.67 +60:01:59.3  7.84    3.35     19.65    -7.10  --------  B9V          
M   4995 N/A       01:04:01.56 -18:33:55.3  9.24    1.13     23.62    14.09  --------  B9V          
M   6820 N/A       01:27:44.64 +62:46:24.2  8.91    4.03      6.84    -3.42  --------  B9V          
M   6841 N/A       01:28:01.20 +61:19:29.9  9.29    5.12      8.96    -7.14  --------  B9V          
M   7062 N/A       01:31:02.02 -66:29:47.9  8.30    2.00    -14.11    -2.79  --------  B9V          
M   7557 N/A       01:37:22.22 +74:18:03.4  6.58    3.41     17.91    -3.03  --------  B9V          
M   7676 N/A       01:38:49.99 -25:01:19.9  6.69    5.64      3.87     6.61 01388-2501 B9V          
M   8016 N/A       01:42:55.86 +70:37:21.0  5.18   11.62     76.62   -13.62  --------  B9V          
M   8032 N/A       01:43:10.67 +62:38:36.4  8.27    2.51      5.50    -5.27  --------  B9V          
M   8229 N/A       01:45:58.10 +62:56:12.5  8.99    3.99    -13.63    -4.00  --------  B9V          
M   8385 N/A       01:48:07.39 +61:50:02.8  8.87    3.57      8.01   -16.03  --------  B9V          
M   8445 N/A       01:48:51.89 -50:28:59.9  7.64    4.43     18.89    17.88  --------  B9V          
M   8671 N/A       01:51:40.03 +61:49:50.3  9.23    2.60      8.84    -5.98  --------  B9V          
M   8751 N/A       01:52:34.77 -67:56:40.2  6.77    4.36     21.66    -5.84  --------  B9V          
M   8912 N/A       01:54:43.21 +61:59:29.2  8.79    2.03     14.89    -7.89  --------  B9V          
M   9022 N/A       01:56:09.41 -49:50:11.1  6.37    5.13     14.36    14.00  --------  B8/B9V       
M   9620 N/A       02:03:38.25 -18:37:20.5  9.00    2.24     90.03  -131.80  --------  B9V          
M   9638 N/A       02:03:53.57 -55:39:41.0  8.40    2.90     19.63    10.00  --------  B9V          
M   9697 N/A       02:04:43.93 -82:17:57.9  7.99    2.75     10.85    11.54  --------  B9V          
M   9832 N/A       02:06:31.01 +61:02:41.2  8.67    5.48     10.14    -1.48  --------  B9V          
M  10130 N/A       02:10:16.11 +33:21:55.1  8.05    5.63      8.95    -4.84 02103+3322 B9V          
M  10176 N/A       02:10:52.82 +39:02:22.3  6.09   12.41     -7.99   -21.52 02109+3902 B9V          
M  10438 N/A       02:14:29.09 +66:31:27.9  6.05    4.42     -6.91    -5.56  --------  B9V+...      
