M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     10 N/A       00:00:08.74 -50:52:01.1  8.59   10.76     42.23    40.02  --------  F6V          
M    103 N/A       00:01:17.29 -68:22:16.0  8.29    9.15    -10.45   -40.28  --------  F6V          
M    293 N/A       00:03:39.85 -57:09:52.0  8.29   13.14     25.57    -9.58  --------  F6V          
M    332 N/A       00:04:14.65 -34:24:53.0  8.41    6.58     67.55   -25.56  --------  F6V          
M    340 N/A       00:04:17.72 -43:59:18.4  8.11   14.91      5.43   -53.62  --------  F6V          
M    486 N/A       00:05:49.70 -52:49:12.2  9.37    6.18     12.27    15.20  --------  F6V          
M    532 N/A       00:06:26.93 -74:24:03.9  9.85    4.60     31.88     5.27  --------  F6V          
M    541 N/A       00:06:35.64 -47:35:05.0  9.69   10.02      5.34     6.21  --------  F6V          
M    739 N/A       00:09:03.95 -28:19:48.2  9.32    4.32     48.22   -31.28  --------  F6V          
M    758 N/A       00:09:19.11 -41:53:11.0  9.60    7.75    -17.59    10.88  --------  F6V          
M    776 N/A       00:09:34.94 -46:22:30.5  9.80    3.03      8.32   -27.82  --------  F5/F6V       
M    856 N/A       00:10:29.57 +15:13:54.3  8.24   12.91    -68.53   -65.05  --------  F6V          
M    941 N/A       00:11:37.29 -72:16:31.7  8.85    8.01     12.71    -7.35  --------  F6V          
M    997 N/A       00:12:29.84 -56:24:48.0  9.91    2.90     13.90    -7.13  --------  F6V          
M   1114 N/A       00:13:53.08 -56:59:58.8  7.15   14.45    106.42    44.93  --------  F6V          
M   1166 N/A       00:14:35.58 -31:01:24.0  9.49    8.31    -16.51   -52.04  --------  F6V          
M   1184 N/A       00:14:47.89 +62:11:46.5  8.49    8.41    103.86   -42.17  --------  F6V          
M   1232 N/A       00:15:17.69 -42:29:47.5  9.70    1.95     46.82    -3.01 00153-4230 F6V          
M   1394 N/A       00:17:24.50 -66:34:01.5  8.30   11.28     83.32    -0.34 00174-6634 F6V          
M   1427 N/A       00:17:49.98 +16:19:51.6  7.21   21.66    220.65   -28.23  --------  F6V          
M   1487 N/A       00:18:29.47 -46:31:55.6  7.47   15.08    -67.33    11.05  --------  F6V          
M   1577 N/A       00:19:43.49 -56:51:05.3  9.68    5.70     -5.67     5.51  --------  F6V          
M   1623 N/A       00:20:16.90 -77:13:21.3  7.87   19.35    -48.80    19.72  --------  F6V          
M   1667 N/A       00:20:53.74 -39:14:23.5  7.14    9.31    -45.31   -37.36  --------  F6V          
