M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    146 N/A       00:01:49.40 -25:47:54.6  8.96    4.39   -130.61  -341.77 00018-2548 A9V          
M    594 N/A       00:07:12.73 -60:04:15.0  9.31    6.51     53.87   -15.50  --------  A9V          
M    653 N/A       00:08:01.91 -30:01:54.0  9.77    6.67     21.70     3.17  --------  A8/A9V       
M   1348 N/A       00:16:52.91 -14:43:04.6  8.53    5.03    -15.73   -10.74  --------  A9V          
M   1808 N/A       00:22:56.95 -20:39:23.7 10.38    6.07      3.63   -47.92  --------  A8/A9V       
M   2125 N/A       00:26:54.90 -39:52:55.1  8.93    4.76     72.46   -34.27  --------  A9V          
M   2183 N/A       00:27:35.25 -15:27:15.8  8.99    4.65      2.19    -3.32  --------  A9V          
M   2184 N/A       00:27:37.58 -20:08:04.2  6.78    8.63     59.55     4.96  --------  A9V          
M   2185 N/A       00:27:37.62 -41:22:55.4  8.70    6.14      2.76     5.94  --------  A9V          
M   2263 N/A       00:28:50.75 -24:38:12.0  7.14    3.74     11.46     3.49 00288-2438 A9V          
M   3076 N/A       00:39:00.44 -72:16:57.2  8.51    4.99     23.73     5.26  --------  A9V          
M   3516 N/A       00:44:54.58 -21:24:20.2  9.08    6.86    -27.45    -2.07  --------  A9V          
M   4052 N/A       00:51:54.57 -30:57:30.7  9.21    3.24     27.80     4.77  --------  A9V          
M   4543 N/A       00:58:10.37 -50:01:01.6  9.81    0.93     43.48    16.75  --------  A8/A9V       
M   4631 N/A       00:59:26.56 -31:57:55.0  9.68    3.92     -9.14     4.83  --------  A9V          
M   5096 N/A       01:05:20.20 -38:49:01.8  9.19    2.19     -5.63   -10.83  --------  A9V          
M   5143 N/A       01:05:51.16 -21:33:59.0  8.51    5.78      6.10    24.23  --------  A9V          
M   5146 N/A       01:05:52.56 -25:28:51.4  9.23    4.79     73.09    61.64  --------  A9V          
M   5241 N/A       01:07:01.06 -29:36:54.5  9.38    6.04     19.43     0.29  --------  A9V          
M   6108 N/A       01:18:25.38 -23:00:47.6  7.30   11.41     -5.54   -37.51  --------  A9V          
M   6393 N/A       01:22:09.25 -37:03:05.6  6.71    7.29     14.94    -6.25  --------  A9V          
M   6880 N/A       01:28:36.48 -11:31:57.0  7.57    5.14    -15.92   -23.42  --------  A9V          
M   7113 N/A       01:31:36.84 -12:15:29.4  7.14   10.50     29.27     4.58  --------  A9V          
M   7298 N/A       01:33:59.82 -62:28:34.4  6.91   12.89    -25.27    -1.45  --------  A9V          
M   7478 N/A       01:36:17.64 -22:26:09.4  9.21    3.50     -2.32    -3.53  --------  A9V          
M   8464 N/A       01:49:09.38 -34:17:41.3  9.68    3.53      6.27   -13.78  --------  A9V          
M   8669 N/A       01:51:38.78 -22:10:03.1  8.79    5.13     37.02    14.63  --------  A8/A9V       
M   9004 N/A       01:55:56.27 -36:14:43.3  7.93    5.91     -1.02    -5.51  --------  A9V          
M   9925 N/A       02:07:47.13 -15:20:45.8  8.69    7.50     34.42    12.71  --------  A9V          
M  10247 N/A       02:11:48.79 -24:20:42.7  8.91    3.98     -6.95     8.12  --------  A9V          
M  10249 N/A       02:11:49.10 -12:54:24.4  8.93    2.17     11.46    19.24  --------  A9V          
M  10706 N/A       02:17:48.54 -16:51:42.6  9.63    2.82    -12.39    -9.24  --------  A8/A9V       
M  10865 N/A       02:19:49.89 -23:52:01.1  8.60    5.94     -1.44     5.45 02198-2352 A9V          
