M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     27 N/A       00:00:20.62 -41:17:52.0  9.32    9.66    135.96  -113.67  --------  G5V          
M     72 N/A       00:00:52.78 -12:49:44.2  8.97   10.63    185.34  -119.65  --------  G3/G5V       
M    310 N/A       00:03:57.07 -43:11:30.5  9.58   12.24    106.17  -127.37  --------  G5V          
M    407 N/A       00:04:58.72 -70:12:44.7  8.13   22.09     52.32   -97.72  --------  G5V          
M    459 N/A       00:05:28.45 -61:13:33.0  8.82   18.57     82.34   -77.70  --------  G5V          
M    467 N/A       00:05:35.21 -47:34:09.6  9.73    6.89     75.27   -13.52  --------  G5V          
M    484 N/A       00:05:45.99 -19:40:12.8  9.66   -0.26    -25.09  -178.78  --------  G5V          
M    953 N/A       00:11:47.12 -33:14:02.8  8.73    9.29    -39.77  -121.48  --------  G3/G5V       
M    961 N/A       00:11:50.98 -35:32:49.1  9.34   10.46    -62.49   -75.64  --------  G5V          
M    992 N/A       00:12:19.73 -57:30:21.4 10.05    9.10     -4.28   -19.89  --------  G3/G5V       
M   1028 N/A       00:12:49.63 -31:53:51.3  8.80    6.35    114.99    36.60  --------  G3/G5V       
M   1111 N/A       00:13:50.39 -52:34:15.5  9.09    6.24    139.98     8.15  --------  G5V          
M   1290 N/A       00:16:10.32 -27:46:41.9  9.35   13.79   -189.96   -72.62  --------  G5V          
M   1457 N/A       00:18:09.99 -52:58:04.7  9.31   10.55     10.12  -187.57  --------  G5V          
M   1518 N/A       00:18:55.57 -59:07:55.0  9.46    9.37    -62.81   -95.22  --------  G5V          
M   1710 N/A       00:21:32.11 -34:10:11.1  8.10    4.79     38.97   -25.82  --------  G5V          
M   1746 N/A       00:22:04.53 -26:42:33.6  8.93   16.39    411.11    56.42  --------  G5V          
M   1911 N/A       00:24:10.81 -40:59:35.1  9.99    5.58     -7.20   -10.78  --------  G5V          
M   1992 N/A       00:25:13.81 -44:27:39.1  9.77    8.41     64.41   -29.98  --------  G3/G5V       
M   2049 N/A       00:25:58.29 -28:16:24.5  8.90   10.19    111.80    -8.18  --------  G5V          
M   2361 N/A       00:30:09.91 -33:24:12.4 10.21    4.21     17.93   -18.47  --------  G3/G5V       
M   2376 N/A       00:30:19.72 -48:03:13.2  8.94    6.02      8.90    10.78  --------  G5V          
M   2574 N/A       00:32:40.97 -35:25:30.1  8.90   10.45     70.55     3.08  --------  G5V          
M   2586 N/A       00:32:50.10 -13:15:27.5  8.76   13.63    170.54   -38.78  --------  G5V          
M   3016 N/A       00:38:23.59 -44:48:58.0  9.77    6.94     46.62   -19.43  --------  G3/G5V       
M   3181 N/A       00:40:30.60 -27:16:34.8  8.80   19.11   -132.67  -197.51  --------  G5V          
M   3182 N/A       00:40:32.24 -29:52:05.8  8.68   17.32    137.44   107.60  --------  G3/G5V       
M   3185 N/A       00:40:32.80 -23:48:17.5  6.14   35.02    635.49  -363.28  --------  G3/G5V       
M   3212 N/A       00:40:52.02 -27:40:56.2  9.78    5.84    113.74   -66.77  --------  G3/G5V       
M   3391 N/A       00:43:12.60 -37:58:57.5  7.88   22.70     50.46  -114.46  --------  G5V          
M   3423 N/A       00:43:37.06 -24:43:45.5  9.66   14.15     92.13    17.29  --------  G5V          
M   3479 N/A       00:44:26.65 -26:30:56.4  7.78   30.58    313.52   150.00  --------  G5V          
M   3578 N/A       00:45:41.86 -48:18:04.5  7.88   25.89    -67.28   -40.65  --------  G5V          
M   3603 N/A       00:46:07.93 -44:06:13.5  8.65   15.80    238.18   -38.64  --------  G5V          
M   3629 N/A       00:46:31.08 -28:33:13.5  9.14   14.22    -90.84   -44.58  --------  G3/G5V       
M   3726 N/A       00:47:50.73 -78:16:03.4  9.11    6.69     -8.66  -111.09  --------  G5V          
M   3769 N/A       00:48:23.54 -31:37:04.9  9.09    7.24      3.97   -45.56  --------  G5V          
M   3773 N/A       00:48:29.54 -18:39:48.4  9.56   14.86    -30.47   -33.85  --------  G5V          
M   3952 N/A       00:50:44.91 -57:19:47.6  9.26   10.13     30.88    29.46  --------  G5V          
M   3970 N/A       00:51:03.82 -16:08:24.5  9.82    9.24     98.58   -18.88  --------  G3/G5V       
M   4093 N/A       00:52:32.01 -20:59:46.5  7.84   14.21    129.35   -87.83  --------  G3/G5V       
M   4195 N/A       00:53:35.45 -24:01:48.5  8.69   17.16    160.68  -241.99  --------  G5V          
M   4225 N/A       00:53:53.60 -32:14:15.7  9.26   11.01     -4.07   -63.68  --------  G5V          
M   4332 N/A       00:55:26.84 -37:31:26.3  8.67   12.22    114.08  -120.69  --------  G5V          
M   4425 N/A       00:56:41.40 -38:26:19.7  9.38    7.63    -50.71   -62.95  --------  G5V          
M   4645 N/A       00:59:40.85 -54:08:19.7  9.53    9.78    136.70    11.52  --------  G5V          
M   4663 N/A       00:59:55.37 -31:16:15.0  9.23   12.36     76.52     7.01  --------  G5VCN...     
M   4815 N/A       01:01:47.14 -19:25:09.7  8.23   16.58    108.19  -164.21  --------  G5V          
M   4892 N/A       01:02:49.73 -37:18:58.2  8.52   16.88   -168.73  -105.44  --------  G5V          
M   4896 N/A       01:02:51.40 -38:34:20.2  9.40    9.99    128.32   -73.73  --------  G5V          
M   5098 N/A       01:05:21.88 -52:50:14.6  9.78    9.26     39.99   -15.50  --------  G3/G5V       
M   5227 N/A       01:06:49.03 -22:51:21.2  7.77    7.56    -39.53   -81.99  --------  G5V          
M   5336 N/A       01:08:16.39 +54:55:13.2  5.17  132.40   3421.44 -1599.27 01080+5455 G5Vp         
M   5462 N/A       01:09:56.61 -64:21:33.1  8.80   20.21     -3.11     9.60  --------  G5V          
M   5672 N/A       01:12:53.16 -48:50:35.4  9.25   -1.02      6.21   -11.85  --------  G3/G5V       
M   5678 N/A       01:12:57.81 -29:41:38.2  9.32    8.87    -16.20    17.76  --------  G5V          
M   5700 N/A       01:13:21.54 -74:16:38.3  8.53   15.24    239.99   -38.10  --------  G5V          
M   5713 N/A       01:13:29.44 -19:09:59.6  9.63   13.59    144.10  -115.87  --------  G5Vw...      
M   5831 N/A       01:14:47.16 -29:23:25.4  9.12   12.28     44.49    32.03  --------  G5V          
M   5853 N/A       01:15:03.81 -19:41:10.1  9.34   15.19     26.73   -18.05  --------  G5V          
M   5973 N/A       01:16:46.88 -11:58:30.8  9.75    8.81    -27.98   -20.37  --------  G5V          
M   6044 N/A       01:17:37.05 -27:00:44.5  9.30    8.91     56.94    17.04  --------  G5V          
M   6196 N/A       01:19:28.79 -66:47:52.8  9.16    6.07     71.35    11.89  --------  G5V          
M   6197 N/A       01:19:29.06 -24:57:04.3  8.41   18.88    -22.55  -122.60  --------  G5V          
M   6201 N/A       01:19:31.32 -38:57:40.9  9.28    8.41     59.27   -27.05  --------  G3/G5V       
M   6274 N/A       01:20:31.91 -61:19:02.4  9.59    9.80     98.45    50.32  --------  G3/G5V       
M   6455 N/A       01:23:00.88 -16:29:14.8  7.92   27.00   -138.08  -176.33  --------  G5V          
M   6482 N/A       01:23:18.22 -42:24:47.2  9.56   10.88    128.24    43.75  --------  G5V          
M   6494 N/A       01:23:25.87 -76:36:42.3  8.37   20.73    100.61   -20.95  --------  G5V          
M   6549 N/A       01:24:12.02 -21:56:30.6  8.96   12.98     94.20    -2.87  --------  G5V          
M   6698 N/A       01:26:03.40 -17:18:36.5  9.36    4.86     -2.40   -16.13  --------  G5V          
M   6744 N/A       01:26:49.25 -29:28:29.8  8.41   24.51     26.25  -189.60  --------  G5V          
M   6851 N/A       01:28:07.07 -45:04:32.2  9.47   10.53    104.68    73.80  --------  G5V          
