M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1437 N/A       00:17:54.66 +00:22:40.1  8.88   16.24    329.20    97.87  --------  F9V          
M   1599 N/A       00:20:04.26 -64:52:29.2  4.23  116.38   1707.56  1165.36  --------  F9V          
M  12623 N/A       02:42:14.92 +40:11:38.2  4.91   40.52    -16.84  -182.29  --------  F9V          
M  16852 N/A       03:36:52.38 +00:24:05.9  4.29   72.89   -232.69  -482.00  --------  F9V          
M  17147 N/A       03:40:22.06 -03:13:01.1  6.68   41.07    689.67  -214.34  --------  F9V          
M  17341 N/A       03:42:41.69 +51:10:23.4  7.95   14.18    199.06  -178.33  --------  F9V          
M  21112 N/A       04:31:29.35 +13:54:12.5  7.78   19.46     92.60   -19.96  --------  F9V          
M  21935 N/A       04:42:56.78 -00:35:24.8  8.15   11.87     95.38   -47.22  --------  F9V          
M  32962 N/A       06:51:55.82 +10:48:02.1  7.65   11.56    -77.11    38.36  --------  F9V          
M  38564 N/A       07:53:45.23 +26:33:51.0  7.60   15.44     88.02  -185.09  --------  F9V          
M  40858 N/A       08:20:13.00 -00:54:33.5  6.18   24.50     39.29   -86.53  --------  F9V          
M  41326 N/A       08:25:54.93 +17:50:00.8  8.27   12.75    -85.80   -26.34  --------  F9V          
M  44897 N/A       09:08:51.07 +33:52:55.9  5.95   52.25   -191.06  -115.40  --------  F9V          
M  45333 N/A       09:14:20.54 +61:25:23.9  5.18   51.12     -8.67   -31.84 09143+6125 F9V          
M  47469 N/A       09:40:34.81 +71:45:19.4  7.46   17.80   -229.08   -57.45  --------  F9V          
M  50174 N/A       10:14:29.75 +21:10:04.9  6.02   19.27   -143.16   -72.05  --------  F9V          
M  50606 N/A       10:20:14.79 +53:46:45.8  6.45   32.70    -88.11    49.87  --------  F9V          
M  52139 N/A       10:39:07.63 +37:54:36.0  5.84   20.44   -220.38   -45.73  --------  F9V          
M  52498 N/A       10:44:00.62 +46:12:23.9  7.28   27.98   -270.05   -63.71 10437+4612 F9V          
M  53435 N/A       10:55:52.25 +65:43:54.8  8.53   14.06    132.68    20.08  --------  F9V          
M  53791 N/A       11:00:20.68 +42:54:42.2  6.03   21.98   -107.87  -122.13 11003+4255 F9V          
M  54383 N/A       11:07:36.20 +13:51:31.7  7.32   19.85   -364.86   104.36  --------  F9V          
M  56738 N/A       11:37:59.10 -01:35:57.9  7.61   25.40   -305.24   131.37  --------  F9V          
M  59314 N/A       12:10:06.34 +24:15:40.0  8.76   11.78     -5.70    17.41  --------  F9V          
M  59385 N/A       12:11:00.17 +35:22:50.0  9.16    6.37    -51.64    -5.48  --------  F9V          
M  60927 N/A       12:29:15.05 +34:42:12.4  7.57   10.80   -110.65    25.12  --------  F9V          
M  61053 N/A       12:30:50.14 +53:04:35.7  6.20   45.58     19.46   182.10  --------  F9V          
M  61072 N/A       12:31:00.74 +31:25:25.8  7.33   22.73      8.76    26.27  --------  F9V          
M  61817 N/A       12:40:06.91 +27:54:35.7 10.03    7.13    -13.20   -18.32  --------  F9V          
M  63774 N/A       13:04:19.09 +50:04:05.0  8.07   10.56     75.95   -78.37  --------  F9V          
M  64305 N/A       13:10:47.63 +28:32:41.0  9.70    2.79    -55.60   -22.03  --------  F9V          
M  64426 N/A       13:12:19.74 +17:31:01.6  7.30   24.65   -582.69    -1.98  --------  F9V          
M  69564 N/A       14:14:21.31 -05:56:51.7  6.36   24.09   -306.24    83.58  --------  F9V          
M  69671 N/A       14:15:38.68 -45:00:02.7  6.31   47.51    127.52  -137.60  --------  F9V          
M  69738 N/A       14:16:26.18 +58:04:59.2  8.07   16.13   -146.54   122.58  --------  F9V          
M  69881 N/A       14:18:00.73 -07:32:32.5  6.47   30.47    267.04  -234.99 14180-0732 F9V          
M  70520 N/A       14:25:30.12 +20:35:24.6  7.27   21.32    132.60  -581.11  --------  F9V          
M  72573 N/A       14:50:20.43 +82:30:43.0  5.63   23.08    177.66  -223.33  --------  F9V          
M  74033 N/A       15:07:46.51 +08:52:47.2  8.26   15.40   -518.99   -57.02  --------  F9V          
M  74095 N/A       15:08:34.18 +54:45:49.4  9.60    8.36    -49.24    71.42  --------  F9Vm         
M  75038 N/A       15:20:00.09 -08:39:42.1  7.53   22.28    101.41  -201.06  --------  F9V          
M  77410 N/A       15:48:11.77 -04:47:09.7  8.10   11.73   -101.20   -33.89  --------  F9V          
M  77760 N/A       15:52:40.54 +42:27:05.5  4.60   63.08    438.97   629.52  --------  F9V          
M  80273 N/A       16:23:09.45 -00:42:29.0  8.15   16.32   -111.30  -197.56  --------  F9V          
M  80363 N/A       16:24:16.33 -56:03:16.9  7.96   12.47    -86.44    -4.86  --------  F9V          
M  80686 N/A       16:28:28.14 -70:05:03.8  4.90   82.61    199.89   110.77  --------  F9V          
M  83601 N/A       17:05:16.82 +00:42:09.1  6.00   49.06    -15.67  -335.11  --------  F9V          
M  84905 N/A       17:21:07.05 +01:26:34.9  6.95   25.88   -165.01   269.80  --------  F9V          
M  84949 N/A       17:21:43.61 +39:58:28.7  5.55   15.53      5.67   -65.62  --------  F9Vn...      
M  85620 N/A       17:29:44.46 +63:51:09.6  7.66   22.32      2.48  -182.16  --------  F9V          
M  86184 N/A       17:36:39.94 +69:34:14.6  6.33   23.53    -53.74  -217.54  --------  F9V          
M  89805 N/A       18:19:40.13 -63:53:11.6  6.17   43.64     38.89  -276.16 18197-6353 F9V          
M  91215 N/A       18:36:27.36 -04:34:30.6  7.87   15.55     46.08  -201.24  --------  F9V          
M  92224 N/A       18:47:44.42 -00:14:10.2  8.19   11.60    -34.16    45.39  --------  F9V          
M  97716 N/A       19:51:30.73 +22:59:08.1 10.89   -1.28    -14.13    13.85  --------  F9V          
M 100346 N/A       20:21:01.07 +21:31:03.0  7.87    2.85     -7.70   -18.64  --------  F9Vws        
M 102611 N/A       20:47:38.41 +16:14:18.4  7.60   18.63    129.66   -31.79  --------  F9Vm         
M 103987 N/A       21:04:07.39 +02:59:40.1  7.31   17.83   -272.98  -368.63  --------  F9V          
M 110649 N/A       22:24:56.39 -57:47:50.7  5.31   48.81    180.71  -331.27 22249-5748 F9V          
M 112414 N/A       22:46:08.03 -48:58:43.7  6.63   25.88    207.28   -48.44  --------  F9V          
M 113834 N/A       23:03:08.21 -00:25:46.6  7.78   18.21    -89.15  -169.73  --------  F9V          
M 114702 N/A       23:14:07.48 -08:55:27.6  7.55   26.52    551.26   -37.82 23142-0856 F9V          
M 116421 N/A       23:35:28.90 +31:01:01.8  6.86   30.93    540.21   253.77  --------  F9V          
