M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1630 N/A       00:20:24.40 +30:56:08.1  5.89    5.60     15.27    -0.64  --------  B7V          
M   7193 N/A       01:32:43.32 +61:51:40.8  8.87    4.22      4.58   -11.60  --------  B7V          
M   7625 N/A       01:38:12.64 +62:21:06.4  6.72    5.26     -7.98     0.19  --------  B7V          
M  11295 N/A       02:25:26.64 +60:00:19.2  7.66    4.28     22.54   -15.07  --------  B7V          
M  11346 N/A       02:25:58.01 +56:06:09.9  7.94    1.73      0.88    -2.81  --------  B7V          
M  13327 N/A       02:51:29.59 +15:04:55.5  5.52    6.80     31.26   -23.29  --------  B7V          
M  14043 N/A       03:00:52.21 +52:21:06.3  5.24    4.10     31.20   -21.99 03009+5221 B7V          
M  14143 N/A       03:02:22.52 +04:21:10.3  5.62    7.32     16.70     5.64  --------  B7V          
M  15988 N/A       03:25:57.38 +49:07:14.7  6.09    5.41     22.75   -27.12  --------  B7V          
M  16130 N/A       03:27:46.37 -21:23:50.6  9.88   -0.89      8.67     2.67  --------  B7V          
M  16252 N/A       03:29:26.28 +46:56:16.3  6.21    5.66     22.36   -28.61 03294+4656 B7V          
M  17203 N/A       03:41:07.86 +37:34:48.7  5.55    4.04     22.86   -27.30  --------  B7Vn         
M  17457 N/A       03:44:30.51 -01:09:47.1  5.24    4.99      3.62    -5.26  --------  B7V          
M  17691 N/A       03:47:20.70 -58:04:36.3  9.93    0.24      2.88    21.75  --------  B7V          
M  18213 N/A       03:53:38.94 -34:43:56.3  5.11    9.19     31.99    -0.81  --------  B6/B7V       
M  20789 N/A       04:27:17.45 +22:59:46.7  5.53    7.86     -0.35   -13.25  --------  B7V          
M  21515 N/A       04:37:13.68 +00:59:53.9  5.32    3.85     -4.91    -5.34  --------  B7V          
M  23161 N/A       04:58:59.41 +14:32:35.6  6.14    4.86      6.17    -2.05 04590+1433 B7V          
M  23228 N/A       04:59:53.75 +27:19:32.2  6.95    7.23     17.38   -21.93 04599+2719 B7V          
M  25752 N/A       05:29:55.56 +02:08:31.8  8.15    3.57     -1.55     1.18  --------  B7V          
M  26210 N/A       05:35:09.21 -00:16:10.6  7.50    2.20      1.85     0.48  --------  B7V          
M  26623 N/A       05:39:30.84 -09:42:23.8  6.49    5.76      5.51    -8.86  --------  B7V          
M  28471 N/A       06:00:39.19 -48:03:54.1  9.15    0.92     -8.87     9.32  --------  B7V          
M  29136 N/A       06:08:46.50 -43:48:44.0  7.49    2.28     -5.96     9.66  --------  B7V          
M  29546 N/A       06:13:33.48 -29:23:44.6  6.52    4.25    -13.08     1.43  --------  B7V          
M  29704 N/A       06:15:25.13 +16:08:35.3  5.34    6.80      1.61   -12.66  --------  B7V          
M  30199 N/A       06:21:11.29 -44:45:30.9  7.70    1.57     -7.78    11.39  --------  B7V          
M  30363 N/A       06:23:09.15 +15:50:32.3  8.26    5.83     -8.97   -10.36  --------  B7V          
M  30580 N/A       06:25:38.93 -04:49:56.2  7.31    5.60     -8.26    -5.10  --------  B7V          
M  30758 N/A       06:27:47.62 -04:49:29.0  7.82    2.59     -4.39    -1.86  --------  B7V          
M  30761 N/A       06:27:50.84 -05:09:17.5  8.09    3.00     -3.93    -4.65  --------  B7V          
M  31764 N/A       06:38:36.54 -63:32:59.4  9.21    2.22     -2.86     8.92  --------  B7V          
M  31917 N/A       06:40:13.37 +10:26:28.6  8.76    2.08     -0.65    -1.89  --------  B7V...       
M  32722 N/A       06:49:35.54 -22:50:58.1 10.08    4.63     -1.18     6.74  --------  B7V          
M  32928 N/A       06:51:36.89 +00:25:07.6  8.65    1.97     -1.11    -2.63  --------  B7Vp         
M  33432 N/A       06:57:07.93 -10:16:47.4  8.44    0.32     -0.87     5.62  --------  B7V          
M  33458 N/A       06:57:21.48 -10:56:43.1  8.29   -0.96     -2.12     3.90  --------  B7V          
M  34539 N/A       07:09:21.82 -10:39:26.0  8.95    2.27     -4.76     4.49  --------  B7V          
M  34666 N/A       07:10:46.13 -11:34:26.6  7.75    0.98     -6.08    -0.49  --------  B7Vn         
M  34818 N/A       07:12:26.35 -10:09:18.3  8.90    1.50     -5.17     2.69  --------  B7V          
M  34854 N/A       07:12:46.04 -12:04:39.8  8.40   -0.06      0.17     1.49  --------  B7V          
M  36234 N/A       07:27:42.78 -47:24:50.4  7.59    3.52     -5.55     4.40  --------  B7V          
M  37549 N/A       07:42:23.77 -56:08:45.6  7.25    4.25    -14.51     7.44  --------  B7V(p)       
M  38118 N/A       07:48:41.72 -31:37:04.1  6.97    4.20    -16.18    10.96  --------  B7V          
M  38520 N/A       07:53:19.09 -15:51:45.4  8.64    0.17     -3.30    -0.29  --------  B7V          
M  39182 N/A       08:00:48.82 -43:49:00.7  8.31    2.49     -5.93     8.54  --------  B6/B7V       
