M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    156 N/A       00:01:59.26 +63:21:28.1  8.60    3.09      8.33    -8.04  --------  B8V          
M    279 N/A       00:03:27.31 +62:21:28.1  8.69    0.81     -1.44     0.85  --------  B8V          
M    328 N/A       00:04:11.90 -30:08:05.6  7.09    4.24     21.90     2.05  --------  B8V          
M   1501 N/A       00:18:42.17 +43:47:28.0  6.10    4.71     23.31    -2.72 00187+4347 B8V          
M   2633 N/A       00:33:25.63 -53:11:45.9  9.60    0.62      3.48    -0.47  --------  B8V          
M   3820 N/A       00:49:03.82 -42:33:42.4  7.58    3.55     13.98    -5.41  --------  B8V          
M   4075 N/A       00:52:15.45 +60:05:23.7  8.71   -2.76     -1.51    -1.30  --------  B8V          
M   5361 N/A       01:08:33.47 +58:15:48.3  5.77    5.75     17.15   -12.39  --------  B8V          
M   5755 N/A       01:13:52.69 +59:03:18.4  9.23    3.25     -5.15     0.00  --------  B8V          
M   7497 N/A       01:36:37.94 +61:16:36.2  8.79    2.32      0.94    -4.42  --------  B8V          
M   7714 N/A       01:39:17.76 -41:28:52.6 10.32    0.62     -5.70   -15.08  --------  B7/B8V       
M   8352 N/A       01:47:40.56 -29:43:23.3  8.84    2.58     42.73   -61.10  --------  B8V          
M   8485 N/A       01:49:22.66 -72:24:42.7  7.82    3.69      5.21     2.45  --------  B8V          
M   8693 N/A       01:51:50.49 +63:27:14.6  9.74    2.17     -3.33     0.18  --------  B8V          
M   8716 N/A       01:52:10.06 +63:27:50.1  9.95    0.60     -2.33    -0.73  --------  B8V          
M   9000 N/A       01:55:54.26 +62:21:48.5  7.60    3.68     12.10    -4.81  --------  B8V          
M   9491 N/A       02:02:06.66 +60:17:41.5  8.01    2.90      7.88    -5.96  --------  B8V          
M   9689 N/A       02:04:37.64 +61:44:40.2  9.33   -0.37      0.95    -1.94  --------  B8V          
M   9962 N/A       02:08:14.98 +62:48:52.0  9.53    1.04      3.28    -1.11  --------  B8V          
M  10639 N/A       02:16:56.51 +63:22:25.0  8.72    3.00     17.31    -5.88  --------  B8V          
M  10848 N/A       02:19:37.28 +39:50:05.7  6.63    4.98     26.07   -14.52  --------  B8V          
M  12389 N/A       02:39:31.73 -64:16:54.2  6.55    6.68     21.85    20.65  --------  B8V          
M  12537 N/A       02:41:18.30 +59:42:52.5  8.49    2.56     -2.87     0.97  --------  B8V          
M  12606 N/A       02:42:05.78 +42:42:26.6  8.35    2.25     -0.05    -6.40 02422+4242 B8V          
M  12609 N/A       02:42:06.86 +57:25:13.5  8.86   -0.20     -5.90     0.40  --------  B8V          
M  13209 N/A       02:49:59.03 +27:15:37.7  3.61   20.45     65.47  -116.59 02499+2715 B8Vn         
M  13860 N/A       02:58:27.09 -62:36:12.1  9.80    0.55      1.76     9.32  --------  B8V          
M  13997 N/A       03:00:11.89 +38:07:54.2  6.11    2.93     18.15   -27.76  --------  B8Vn         
M  14133 N/A       03:02:15.93 +59:37:37.0  9.07    1.43     24.21   -17.77  --------  B8V          
M  14576 N/A       03:08:10.13 +40:57:20.2  2.09   35.14      2.39    -1.44 03082+4057 B8V          
M  14764 N/A       03:10:38.80 +11:52:21.4  5.97    6.24     30.74   -26.98  --------  B8V          
M  15338 N/A       03:17:47.35 +44:01:30.0  5.49    5.06     26.61   -23.72  --------  B8V...       
M  15984 N/A       03:25:50.11 +30:55:54.1  9.21    2.81      8.08   -10.36  --------  B8V          
M  16340 N/A       03:30:36.95 +48:06:12.9  5.82    3.75     21.23   -24.00  --------  B8V          
M  16368 N/A       03:30:51.70 -66:29:22.9  5.81    3.83     16.99     1.70  --------  B8V          
M  16450 N/A       03:31:53.95 +48:44:06.5  6.62    4.90     21.21   -30.18  --------  B8V          
M  16724 N/A       03:35:11.87 +38:00:54.6  7.60    3.62      1.97   -10.88  --------  B8Vp         
M  16782 N/A       03:35:58.49 +47:05:27.6  6.89    4.56     21.34   -25.18  --------  B8V          
