M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    400 N/A       00:04:56.32 +23:16:10.6  7.82   39.06    382.15    -7.45  --------  G9V          
M  18606 N/A       03:58:52.39 -05:28:11.8  5.85   22.88    -46.75  -174.03  --------  G9V          
M  20130 N/A       04:18:57.97 +19:54:24.0  8.62   23.53    113.95   -36.39  --------  G9V          
M  20480 N/A       04:23:22.33 +21:22:44.7  8.84   20.63     99.77   -39.07  --------  G9V          
M  23907 N/A       05:08:12.56 +01:08:36.3  9.22    4.78     -3.59     0.13  --------  G9V          
M  23955 N/A       05:08:55.11 -02:31:16.9  8.63    3.63     -9.52   -29.89  --------  G9V          
M  29824 N/A       06:16:50.33 +44:42:20.5  9.05   24.87   -255.73  -333.27  --------  G9V          
M  34608 N/A       07:10:06.68 +21:14:49.1  6.43   21.67   -174.67  -473.14  --------  G9V          
M  37061 N/A       07:36:58.19 +57:32:58.7  7.97   36.59     72.61  -187.21  --------  G9V          
M  45170 N/A       09:12:17.56 +14:59:45.7  6.49   48.83   -524.47   245.13 09123+1459 G9V          
M  50939 N/A       10:24:13.18 +02:22:04.9  6.33    9.95     44.22   -22.16 10243+0223 G9V          
M  59772 N/A       12:15:23.34 +37:27:47.7  9.50   24.53    -82.89   -93.93  --------  G9V          
M  59904 N/A       12:17:14.43 +39:49:37.7  9.39   24.26     61.41  -137.89  --------  G9V          
M  60511 N/A       12:24:17.15 +24:19:28.3  9.99    0.72    -15.35   -17.33  --------  G9V          
M  61016 N/A       12:30:17.61 +30:59:39.7  9.08   31.40    -35.49    85.36  --------  G9V          
M  63406 N/A       12:59:32.78 +41:59:12.3  8.60   41.36   -235.87   181.75  --------  G9V          
M  69201 N/A       14:10:02.68 -61:31:18.4  9.68   20.95   -460.09  -644.77  --------  G9V          
M  80700 N/A       16:28:35.95 +03:15:10.6  8.81   21.50    -13.81  -525.58  --------  G9V          
M  84801 N/A       17:19:59.55 -05:55:02.9  6.31   18.74     45.42  -193.58  --------  G9V          
M  98011 N/A       19:55:05.17 +30:41:15.3  7.00    5.73     45.89    23.14  --------  G9V          
M 101382 N/A       20:32:51.64 +41:53:54.5  7.08   44.99   -156.89   452.80  --------  G9V          
M 115147 N/A       23:19:26.63 +79:00:12.6  7.53   50.65    201.34    71.60 23194+7900 G9V          
