M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    436 N/A       00:05:17.69 -67:49:57.3  8.49   62.48   -117.19  -560.77  --------  K5V          
M    948 N/A       00:11:41.65 -39:13:47.8  9.92   29.15    739.96  -127.23  --------  K5V          
M   2126 N/A       00:26:57.51 -76:18:54.6  8.91   -0.39     -2.13     2.31  --------  K4/K5V:      
M   2247 N/A       00:28:34.30 -16:13:34.8  9.62   26.64   -354.87  -228.26  --------  K5V          
M   2729 N/A       00:34:51.20 -61:54:58.1  9.56   21.78     87.33   -53.14  --------  K5V          
M   3879 N/A       00:49:48.32 -54:35:35.6  9.50   35.95     88.34    55.11  --------  K5V          
M   4022 N/A       00:51:34.02 -22:54:36.2  8.95   65.81    612.07  -275.45 00516-2255 K5V          
M   4394 N/A       00:56:19.59 -65:26:45.2 10.10   20.42    257.74  -223.46  --------  K5V          
M   4824 N/A       01:01:57.05 -09:53:07.9 10.49   32.06   -194.22  -487.58  --------  K5V          
M   4872 N/A       01:02:38.87 +62:20:42.1  9.56   99.44    730.10    89.27  --------  K5V...       
M   4956 N/A       01:03:33.60 +61:12:31.4  9.01    2.09     -1.16    -2.68  --------  K5V          
M   5027 N/A       01:04:24.15 -25:36:17.9  9.78   38.99    -34.15  -316.80  --------  K4/K5V       
M   7614 N/A       01:38:04.70 +41:10:44.8  8.46    2.76    -15.03   -16.69  --------  K5V          
M   8070 N/A       01:43:40.73 +63:49:24.2  8.42   74.45   -394.18  -581.75  --------  K5V          
M   8361 N/A       01:47:43.36 -12:46:14.3  9.74   30.78    252.23   164.80  --------  K5V          
M   8865 N/A       01:54:02.27 +59:32:56.3  9.70   26.57    191.74   -76.36  --------  K5V          
M   8987 N/A       01:55:49.28 -52:50:26.8  9.86   25.75    298.91    40.73  --------  K4/K5V       
M   9044 N/A       01:56:32.49 -60:13:35.9  8.61   50.76    446.69   190.22  --------  K5V          
M   9481 N/A       02:01:59.06 +61:54:18.2  7.46    4.25      6.40   -10.11  --------  K5V          
M  10421 N/A       02:14:18.51 -49:51:44.6  9.73   30.60    231.56   -62.02  --------  K5V          
M  12723 N/A       02:43:34.21 -46:27:17.4  9.04   36.44     72.43  -527.26  --------  K5V          
M  12886 N/A       02:45:39.68 +44:56:55.5 10.80   42.59    409.77  -125.87 02456+4457 K5V:         
M  13313 N/A       02:51:20.38 +02:10:22.0  7.12    1.40     -8.58   -23.53  --------  K5V          
M  13460 N/A       02:53:18.50 +60:51:11.6  9.16   27.61    125.46   -93.99  --------  K5V          
M  14587 N/A       03:08:22.44 -60:10:21.1  9.27   46.54    210.54   132.45  --------  K5V          
M  15095 N/A       03:14:44.62 -26:26:46.5  9.17   54.48    216.28    97.95  --------  K5V          
M  15919 N/A       03:24:59.74 -05:21:49.5  7.86   66.15   -230.41  -768.66  --------  K5V          
M  16069 N/A       03:26:59.23 -63:29:56.7  8.08   61.07    356.99  -247.77 03270-6330 K5V          
M  16094 N/A       03:27:18.73 -36:15:42.5  9.65   25.24     43.36   -94.16  --------  K5V          
M  16123 N/A       03:27:40.62 -08:25:51.6  9.74    2.11     -0.30   -33.30  --------  K5V          
M  16134 N/A       03:27:52.40 -19:48:16.1  8.39   79.26    537.17   303.87  --------  K5V          
M  17346 N/A       03:42:44.68 -24:27:58.7  9.20   38.56     24.29  -373.78  --------  K5V          
M  18450 N/A       03:56:36.38 -41:20:36.9  8.85   56.69     62.67    91.45  --------  K5V          
M  19441 N/A       04:09:49.35 +09:18:19.7 10.10   29.78    156.70    -2.81  --------  K5V          
M  19832 N/A       04:15:09.54 -04:25:05.9  9.38   48.95     95.84   -92.18  --------  K5V          
M  19884 N/A       04:15:56.91 -53:18:35.3  7.64   76.46    784.91   396.09  --------  K5V          
M  20232 N/A       04:20:10.59 -14:45:39.8  9.78   32.74    177.11   114.64  --------  K5V          
M  20240 N/A       04:20:14.25 -09:02:13.4  9.81   32.25    -56.80   -13.29  --------  K5V          
M  20485 N/A       04:23:25.28 +15:45:47.2 10.47   21.08    126.22   -30.50  --------  K5V          
M  20756 N/A       04:26:51.14 +17:01:43.0  6.86    5.77     27.27   -52.56  --------  K5V          
M  21138 N/A       04:31:52.47 +15:29:58.1 11.02   15.11    100.76   -23.42  --------  K5Ve         
M  21284 N/A       04:34:01.22 -43:31:28.9  8.81   44.52     59.24   -77.05  --------  K5V          
M  22059 N/A       04:44:41.74 -37:07:16.7  9.54   32.87    -49.66  -134.73  --------  K5V          
M  22715 N/A       04:53:04.73 +22:14:06.5  8.78   37.09    149.22  -129.31 04531+2214 K5V          
