M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    347 N/A       00:04:21.30 +54:16:28.5  7.79    2.46      7.15    -4.35  --------  B3V          
M   2191 N/A       00:27:40.51 +58:33:14.1  7.47    2.03      3.61     1.39  --------  B3V          
M   2525 N/A       00:32:02.84 +67:09:40.1  8.33    2.76      7.09     2.79  --------  B3Vne        
M   4295 N/A       00:55:01.03 +61:39:44.6  8.44    3.00      8.58    -4.85  --------  B3V          
M   5062 N/A       01:04:46.79 +51:00:35.2  6.53    3.06     15.47    -6.75  --------  B3V          
M   7588 N/A       01:37:42.85 -57:14:12.3  0.45   22.68     88.02   -40.08  --------  B3Vp         
M   7873 N/A       01:41:17.91 -75:39:49.0  8.16    2.02     11.92    13.77  --------  B3V          
M  12719 N/A       02:43:27.11 +27:42:25.7  4.65    8.82      3.51    -9.97  --------  B3V          
M  14898 N/A       03:12:15.38 -20:37:10.5  7.04    0.73      5.30     3.31  --------  B3V          
M  15188 N/A       03:15:45.86 -16:49:43.5  7.97    2.60      6.53   -11.30  --------  B3V          
M  15404 N/A       03:18:37.74 +50:13:19.7  5.16    6.18     22.45   -25.10  --------  B3V          
M  17563 N/A       03:45:40.44 +06:02:59.9  5.34    5.54     20.61   -15.61 03457+0603 B3V          
M  17771 N/A       03:48:16.27 +11:08:35.8  5.08    5.77     28.25   -29.82 03483+1109 B3V          
M  18871 N/A       04:02:43.72 +58:56:57.4  7.55    2.61     -1.67    -0.85  --------  B3V          
M  18926 N/A       04:03:24.75 -20:08:37.7  6.47    3.41     -0.20    -1.40  --------  B3V          
M  18957 N/A       04:03:44.60 +05:26:08.2  5.32    3.12      1.23    -5.40  --------  B3V          
M  19039 N/A       04:04:43.08 +32:34:16.3  6.87    4.19      6.58   -10.54  --------  B3V          
M  19178 N/A       04:06:39.04 +32:23:06.2  7.05    2.78      5.42    -4.25  --------  B3V...       
M  19245 N/A       04:07:27.24 +62:21:44.9 10.72    3.03     -1.61     2.10  --------  B3V          
M  19276 N/A       04:07:51.76 +62:16:29.5 10.75    5.33      0.00    -1.31  --------  B3V          
M  19343 N/A       04:08:39.69 +47:42:45.0  3.96    5.89     20.19   -33.26  --------  B3Ve         
M  20533 N/A       04:23:59.76 +24:18:03.5  6.34    4.49      4.54   -12.94 04240+2419 B3V          
