M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    860 N/A       00:10:34.66 +59:40:24.2  6.70    1.66      7.17    -3.15  --------  B1V          
M   2036 N/A       00:25:51.24 +71:48:25.6  6.91    1.07     -1.39     1.48  --------  B1V          
M   6064 N/A       01:17:50.38 +55:26:43.3  7.40    0.67     -0.38    -1.72  --------  B1V          
M   6831 N/A       01:27:54.88 +59:14:08.8  9.95   -3.05     -1.36    -0.86  --------  B1V          
M   7103 N/A       01:31:31.58 +59:46:07.5 10.07   -1.88      0.55    -2.16  --------  B1V          
M   9017 N/A       01:56:07.14 +56:33:15.7  9.81    1.15     -1.57    -2.70  --------  B1V:pe       
M   9936 N/A       02:07:53.69 +57:42:45.4  9.41   -1.03      0.42    -1.45  --------  B1V          
M  11782 N/A       02:32:05.04 +56:39:58.3  9.26   -0.98     -0.39    -1.85 02321+5640 B1V          
M  11902 N/A       02:33:33.79 +57:32:37.0 10.12   14.98     -5.84    13.63 02336+5732 B1V          
M  13016 N/A       02:47:22.33 +59:17:10.9  9.24   -1.03      0.92    -1.95  --------  B1V          
M  13959 N/A       02:59:47.37 +61:17:23.8  6.84    1.76     -2.70    -0.12  --------  B1V          
M  16518 N/A       03:32:40.01 +35:27:42.2  5.91    1.99     -6.72     3.66  --------  B1V          
M  16684 N/A       03:34:38.55 +63:53:20.1  7.77   -0.07     -2.42     0.17  --------  B1Vn...      
M  18081 N/A       03:51:53.72 +34:21:32.8  5.78    3.15      4.28    -4.22 03519+3422 B1V          
M  19008 N/A       04:04:21.64 +53:19:44.5  8.17   -0.71     -0.31    -1.27  --------  B1Vnnpe      
M  19064 N/A       04:05:07.85 +44:16:41.6  9.27   -1.57     -0.39    -2.82  --------  B1V          
M  20647 N/A       04:25:29.14 +46:08:37.3  7.43    1.86     -1.80    -2.81  --------  B1V          
M  23436 N/A       05:02:15.89 +24:01:44.9  8.36    0.39     -0.50    -3.15  --------  B1Ve         
M  24029 N/A       05:09:56.43 +37:00:15.9  8.15    0.14     -1.54    -2.09  --------  B1Ve         
M  25041 N/A       05:21:43.56 +08:25:42.7  5.78    4.43     -2.20    -2.97  --------  B1V...       
M  25142 N/A       05:22:50.00 +03:32:40.0  4.99    3.39     -2.00     1.80 05228+0333 B1V          
M  25302 N/A       05:24:44.83 +01:50:47.1  4.89    2.94      0.12    -0.60 05247+0150 B1V:pe       
M  26063 N/A       05:33:31.45 -01:09:21.9  5.36    1.76     -0.55    -0.49  --------  B1V          
M  26258 N/A       05:35:31.36 -05:16:02.5  6.75    2.77      1.76     1.66  --------  B1V          
M  26427 N/A       05:37:27.36 -05:56:18.2  6.03    2.40      2.51    -2.18  --------  B1Vvar       
M  26574 N/A       05:38:58.02 +28:27:36.4  8.39   -1.68     -2.71    -4.98  --------  B1Vne        
M  26998 N/A       05:43:39.06 +25:26:22.3  6.81    3.81     -1.52    -2.91  --------  B1Vpe        
M  27850 N/A       05:53:31.10 +25:44:32.0  8.44    2.53     -0.80    -1.23  --------  B1Vnne       
M  29120 N/A       06:08:26.28 -05:20:22.4  8.12    0.38     -4.01     1.22  --------  B1V          
M  29127 N/A       06:08:32.02 +13:58:00.9  8.70   -5.56     -4.67    -3.07 06084+1358 B1V          
M  29317 N/A       06:10:54.99 +62:18:49.4  8.44    0.64      5.78     8.25  --------  B1Vn...      
M  29678 N/A       06:15:08.48 +13:51:03.9  5.91    2.38     24.21    10.65 06151+1351 B1V          
M  30452 N/A       06:24:03.89 +25:25:01.1  8.44    0.00     -0.11    -1.14  --------  B1Vne        
M  31106 N/A       06:31:38.40 +05:01:36.4  7.96   -1.12      0.20     0.79  --------  B1V          
M  31305 N/A       06:33:54.41 +04:39:44.6  7.76    1.10     -0.49     1.49  --------  B1V          
M  31411 N/A       06:35:00.37 +11:07:27.9  8.03   -1.97      1.04     0.07 06350+1107 B1V          
