M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M  13255 N/A       02:50:34.89 +60:24:06.7  9.43   -0.26     -5.15     0.35  --------  B0V          
M  19270 N/A       04:07:49.29 +62:19:58.5  7.08    3.03     -1.06    -5.54 04078+6220 B0V          
M  25923 N/A       05:31:55.86 -07:18:05.5  4.62    2.11     -0.54    -4.44  --------  B0V          
M  29201 N/A       06:09:33.63 -05:04:00.2  8.55    2.42     -6.56    11.92  --------  B0V          
M  38716 N/A       07:55:35.44 -27:55:32.5 10.73    2.95     -1.43     3.50  --------  B0V          
M  41388 N/A       08:26:38.15 -43:24:30.9  7.79    0.79     -6.09     6.40  --------  B0V          
M  52419 N/A       10:42:57.40 -64:23:39.9  2.74    7.43    -18.87    12.06  --------  B0Vp         
M  81266 N/A       16:35:52.95 -28:12:57.7  2.82    7.59     -8.59   -22.50  --------  B0V          
M  84687 N/A       17:18:45.81 -42:53:29.9  7.51    0.69      0.92    -0.48  --------  B0V          
M  85720 N/A       17:30:59.35 -11:11:11.7 10.26   -1.57     -2.27    -4.02  --------  B0V          
M  87206 N/A       17:49:00.01 -46:56:26.7  9.77   -1.43      4.77    -3.69  --------  B0V          
M  97045 N/A       19:43:22.49 +47:14:40.9  7.75    0.66     -2.47    -3.87 19433+4715 B0V          
M 100227 N/A       20:19:38.75 +38:20:09.1  8.68    0.00     -3.67    -5.25 20196+3820 B0Vp         
M 101350 N/A       20:32:25.59 +48:12:59.3  6.98    1.91     -8.80     5.76  --------  B0V          
M 103061 N/A       20:52:53.21 +42:36:27.8  8.43    1.92     -0.10    -3.66  --------  B0V          
M 104361 N/A       21:08:29.63 +47:15:25.4  7.91    2.39      3.82     0.15  --------  B0V          
M 105113 N/A       21:17:33.48 +60:06:01.6  9.27    2.06     -5.51    -5.17  --------  B0V          
M 106843 N/A       21:38:26.29 +56:58:25.4  7.43    2.00     -3.41    -5.98 21384+5658 B0V          
M 106884 N/A       21:38:56.72 +57:29:39.1  8.02    2.78     -1.71    -5.04 21390+5729 B0V          
M 106890 N/A       21:38:58.89 +57:29:14.6  8.10    2.78     -1.71    -5.04 21390+5729 B0V          
M 106937 N/A       21:39:27.40 +57:29:00.8  8.32    4.17     -3.37    -5.15 21395+5729 B0V          
M 107164 N/A       21:42:24.19 +57:44:09.7  6.90    2.01     -2.71    -4.75  --------  B0V:pe       
M 107598 N/A       21:47:39.79 +59:42:01.3  7.31    0.30     -2.68    -2.51  --------  B0V          
