M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M      4 N/A       00:00:02.07 -51:53:36.8  8.06    7.75     62.85     0.16  --------  F0V          
M    194 N/A       00:02:29.70 +08:29:07.6  5.70   26.53    -93.55   -47.50  --------  F0V          
M    262 N/A       00:03:18.23 +32:50:45.0  9.04    4.31     52.20    -2.29  --------  F0V          
M    295 N/A       00:03:40.49 -41:05:45.2  9.67    2.83     12.38   -11.99  --------  F0V          
M    382 N/A       00:04:45.15 -32:21:39.7  9.06    4.16    -18.85    -9.18  --------  F0V          
M    477 N/A       00:05:42.96 -29:57:38.3  9.91    5.59     22.96    -0.20  --------  A9/F0V       
M    778 N/A       00:09:36.31 -51:44:13.4  9.91    4.45     17.76    -7.36  --------  F0V          
M    830 N/A       00:10:07.89 -15:10:37.6  9.37    4.95     10.55   -35.32  --------  F0V          
M   1790 N/A       00:22:45.91 -79:18:46.2  9.81    1.44     21.49    -5.87  --------  F0V          
M   1969 N/A       00:24:56.15 -19:56:37.2  8.82    6.44     -6.50    -5.18  --------  F0V          
M   2043 N/A       00:25:55.44 -13:15:18.8  9.35    3.19     11.42    -3.47  --------  F0V          
M   2251 N/A       00:28:40.77 -55:44:21.8  9.75    0.28     19.77     3.93 00287-5544 F0V          
M   2276 N/A       00:29:05.72 -31:37:19.9  9.06    6.43     29.94    31.86  --------  F0V          
M   2291 N/A       00:29:15.87 -13:33:36.1  8.93    3.49      0.01    15.76  --------  F0V          
M   2451 N/A       00:31:12.01 -21:21:04.4  8.41    5.86     30.17   -15.70  --------  F0V          
M   2584 N/A       00:32:49.11 -22:05:42.3  9.63    3.44      9.21   -33.00  --------  A9/F0V       
M   2588 N/A       00:32:52.76 -34:10:12.3  8.94    1.91     23.58    -3.94  --------  F0V          
M   2650 N/A       00:33:36.48 -38:41:09.0  7.86    7.55    -42.51   -38.30  --------  F0V          
M   2746 N/A       00:35:01.94 -56:12:03.6  8.76    8.92   -106.13   -74.93  --------  F0V          
M   2798 N/A       00:35:38.23 -26:51:22.4  8.62    6.66     24.17    11.28  --------  F0V          
M   2857 N/A       00:36:12.06 -26:45:37.4  8.49    6.86    -23.43    -8.01  --------  F0V          
M   2925 N/A       00:37:06.14 -79:04:56.2 10.09    2.01     17.60    -0.14  --------  F0V          
M   2933 N/A       00:37:13.41 -63:49:12.4  9.90    3.97     49.22    37.09  --------  F0V          
M   2964 N/A       00:37:39.17 -25:33:38.1  8.55    6.54     -2.45   -39.21  --------  F0V          
M   3177 N/A       00:40:29.36 -32:16:04.1  9.60    1.69     26.33    26.34  --------  F0Vw...      
M   3387 N/A       00:43:02.90 -19:10:53.3 10.22    1.22     -0.43    -1.21  --------  F0V          
M   3505 N/A       00:44:44.40 -22:00:22.0  5.22   35.92    -66.07    81.15  --------  F0V          
M   3515 N/A       00:44:51.88 -20:20:12.4  8.93    5.63      3.46   -37.84  --------  F0V          
M   3523 N/A       00:44:58.19 -37:40:28.1  8.95    3.96    -42.71   -21.06  --------  F0V          
M   3685 N/A       00:47:13.63 +19:34:43.3  6.11    9.35    107.75     6.66  --------  F0Vn         
M   3711 N/A       00:47:40.91 -26:58:32.5  9.18    4.27     20.70     1.42  --------  F0V          
M   3788 N/A       00:48:41.27 -28:29:43.5  6.78   15.91     85.66   -54.88  --------  F0V          
M   3802 N/A       00:48:50.27 -48:35:36.9  8.15    8.93    -35.80    -8.47  --------  F0V          
M   4057 N/A       00:51:56.77 -42:38:35.3  8.06    7.28     17.18   -17.10  --------  F0V          
M   4165 N/A       00:53:13.19 -38:42:56.5  8.36    7.54     47.58   -13.28 00532-3843 F0V          
M   4170 N/A       00:53:15.40 -62:55:47.1  9.08    6.43     22.93    46.50  --------  F0V          
M   4233 N/A       00:53:59.28 -25:02:33.1  8.72    9.95     45.08   -25.69 00540-2503 A9/F0V       
M   4388 N/A       00:56:14.47 -52:34:47.0  9.27    6.55      0.21     7.77  --------  F0V          
M   4499 N/A       00:57:39.10 -63:53:32.3  8.79    5.56     63.58     1.44  --------  F0V          
M   4528 N/A       00:57:58.86 -43:27:32.0  8.64    5.81     75.13   -17.91  --------  F0V          
M   4533 N/A       00:58:02.64 -36:12:00.8  9.57    4.63    -23.37   -21.16  --------  F0V          
M   4594 N/A       00:58:48.99 -13:39:39.3  8.94    5.97    -30.47   -24.44  --------  F0V          
M   4721 N/A       01:00:38.38 -18:07:08.6  7.88    5.78     35.14    -8.50  --------  F0V          
M   4780 N/A       01:01:24.45 -40:25:57.4  8.93    4.14      6.01     8.22  --------  F0V          
M   4805 N/A       01:01:42.22 -53:19:09.9  8.41    5.88    -22.37   -31.79  --------  F0V          
M   4819 N/A       01:01:49.31 -25:53:12.6  9.75    4.53     24.19     3.28  --------  F0V          
M   4826 N/A       01:02:00.18 -40:12:50.8  8.44    9.13    126.00   -27.92  --------  F0V          
M   4937 N/A       01:03:22.26 -15:26:36.0  9.29    5.16    -25.04   -19.36  --------  F0V          
M   5030 N/A       01:04:25.28 -22:28:59.6  9.96   -0.79     -9.72    -8.82  --------  F0V          
M   5045 N/A       01:04:36.46 +39:59:28.0  6.77   11.85     78.23   -21.80  --------  F0Vn         
M   5090 N/A       01:05:11.88 -12:25:06.9  8.91    3.21     -3.62    -9.54  --------  F0V          
M   5185 N/A       01:06:22.50 +16:18:50.9  8.47    6.57     14.55     2.85  --------  F0V          
M   5282 N/A       01:07:33.87 -16:11:40.8 10.27    3.21      3.06     2.75  --------  F0V          
M   5284 N/A       01:07:34.39 -29:17:12.1  9.32    0.76     14.99    17.31  --------  F0V          
M   5371 N/A       01:08:41.25 -34:18:49.1  9.45    4.27     30.17     6.48  --------  F0V          
M   5461 N/A       01:09:54.04 -39:10:05.3 10.13    2.92     46.53    -7.01  --------  F0V          
M   5544 N/A       01:11:06.76 +31:25:29.0  5.15    5.82     -8.70   -12.02  --------  F0V          
M   5598 N/A       01:11:46.51 -80:06:43.8  8.31    6.75     76.54    25.89  --------  F0V          
M   5835 N/A       01:14:49.84 -13:44:52.0  9.65    2.52      0.03     8.23  --------  F0V          
M   5913 N/A       01:16:04.41 +61:54:26.8  7.32   16.95    -58.25   -57.06  --------  F0V          
M   6052 N/A       01:17:42.85 -18:44:46.2  9.74    4.25     32.14     2.82  --------  F0V          
M   6186 N/A       01:19:22.59 -23:06:27.6  9.17    2.40     25.48     7.99  --------  F0V          
M   6200 N/A       01:19:31.07 -48:17:40.6  8.79    5.53     43.74    17.19  --------  F0V          
M   6269 N/A       01:20:24.58 -29:35:59.6  8.46    6.89      3.50    -5.69  --------  F0V          
M   6491 N/A       01:23:24.28 -20:19:11.8  9.83    5.18    -10.54    -0.34  --------  F0V          
M   6539 N/A       01:24:02.54 -08:00:26.6  6.21   14.83    179.74   -67.31 01240-0800 F0V          
M   6545 N/A       01:24:06.62 -49:30:59.8  9.09    4.62     10.85    12.27  --------  F0V          
M   6748 N/A       01:26:51.57 -13:03:23.4  5.51   27.55     14.53     9.01  --------  F0V          
M   6888 N/A       01:28:43.50 -33:45:50.3  6.59   11.44    -33.85   -33.72  --------  A9/F0V       
M   6976 N/A       01:29:49.39 -41:11:17.4  8.62    8.15      3.88    22.18  --------  F0V          
M   7150 N/A       01:32:09.79 -17:31:55.4  8.49    4.61    -13.66    -0.51  --------  F0V          
M   7280 N/A       01:33:45.48 +60:37:23.2  8.17    8.30     27.10     3.26 01337+6038 F0V          
M   7417 N/A       01:35:35.92 -11:56:30.6  9.17    2.17    -23.49   -28.00  --------  F0V          
M   7535 N/A       01:37:05.92 +12:08:29.4  5.54   29.58    -74.90     9.96  --------  F0V          
M   7649 N/A       01:38:30.75 -42:55:40.4  6.67   11.91    -35.62   -19.57  --------  F0V          
M   7672 N/A       01:38:48.06 +40:45:38.7  8.47    8.05    -14.70    -2.66  --------  F0V          
M   7679 N/A       01:38:51.79 -21:16:31.3  5.58   14.21    129.52    37.13  --------  F0V          
M   8107 N/A       01:44:12.02 -24:17:58.2  9.38    4.06     19.17   -35.89  --------  F0V          
M   8150 N/A       01:44:47.56 -53:20:09.9 10.17    1.91     14.39     7.34  --------  F0V          
M   8291 N/A       01:46:49.50 -82:40:22.7  8.38    8.90     23.06    -0.05  --------  F0V          
M   8403 N/A       01:48:24.98 -20:38:35.9  8.59    4.02     25.59   -14.35  --------  F0V          
M   8417 N/A       01:48:35.93 -26:15:13.1  7.11    8.76    -27.78    -1.99  --------  F0V          
M   8589 N/A       01:50:51.98 -32:14:41.9  9.32    3.94    -17.31   -13.72  --------  F0V          
M   8755 N/A       01:52:37.38 -47:40:52.6  9.17    4.43     23.20   -10.22  --------  F0V          
M   8778 N/A       01:52:52.11 -16:55:45.2  5.78    9.87     41.36   -51.94  --------  F0V          
M   8889 N/A       01:54:25.46 -24:31:50.5  9.63    1.30     13.84   -17.09  --------  F0V          
M   9120 N/A       01:57:32.28 -40:38:10.6  8.44    4.70     16.59    10.25  --------  F0V          
M   9153 N/A       01:57:55.72 +23:35:45.7  4.79   24.49    -91.51   -14.45 01580+2336 F0V          
M   9189 N/A       01:58:19.84 -50:55:58.5  9.91    2.46      6.16     9.59  --------  F0V          
M   9236 N/A       01:58:46.19 -61:34:11.4  2.86   45.74    262.54    26.88  --------  F0V          
M   9727 N/A       02:05:07.42 +77:16:52.7  5.27   29.80    138.90   -47.56 02051+7716 F0Vn         
M   9830 N/A       02:06:30.43 -13:54:18.0  8.94    6.86     72.42    19.03  --------  F0V          
M  10063 N/A       02:09:32.18 -16:57:45.9  8.01    8.55     84.85    36.20  --------  F0V          
M  10304 N/A       02:12:47.09 -44:29:20.4  7.84    4.71     10.21     9.69  --------  F0V          
M  10348 N/A       02:13:19.11 -14:54:27.2  7.65    8.86      0.98    -2.58  --------  F0V          
M  10360 N/A       02:13:33.17 -09:45:10.1  8.56   12.63     25.66  -110.72  --------  F0V          
M  10655 N/A       02:17:08.20 -24:03:52.9  8.52    9.14     15.75     3.38  --------  F0V          
M  10740 N/A       02:18:13.11 -22:35:09.3  8.37    8.36      0.88    15.51  --------  A9/F0V       
M  11029 N/A       02:22:01.53 -10:46:39.1  5.43   33.48    153.43   -81.89  --------  F0V          
M  11046 N/A       02:22:12.40 -00:53:05.5  5.42   11.68    -17.62   -45.98  --------  F0Vn         
M  11708 N/A       02:31:05.31 -28:47:06.5  8.72    1.61      9.56     5.61  --------  F0V          
M  11851 N/A       02:32:58.06 -49:47:10.9  8.76    5.58      2.25     7.61  --------  F0V          
M  11952 N/A       02:34:11.05 -12:23:03.4  9.77    8.67     57.79  -186.20  --------  F0V          
M  12140 N/A       02:36:26.40 -17:07:33.0  9.27    1.22      8.50    -7.35  --------  F0V          
M  12308 N/A       02:38:30.33 -44:43:58.1  7.46    6.98     10.84    32.66  --------  F0V          
M  12561 N/A       02:41:32.79 -38:35:56.0  8.60    6.30      7.56   -40.98  --------  F0V          
M  12944 N/A       02:46:28.59 -18:53:43.6  8.56   10.03      1.94     2.58  --------  F0V          
M  13004 N/A       02:47:09.68 +60:34:14.7  6.51    3.39     -0.95     1.53  --------  F0V          
M  13100 N/A       02:48:26.26 -51:02:27.5  9.15    3.28     22.65     6.28  --------  F0V          
M  13368 N/A       02:51:59.34 -18:21:38.8  8.68    4.04     14.02    14.17  --------  F0V          
M  13639 N/A       02:55:37.93 -19:08:17.5  9.21    4.93     24.46    -1.57  --------  F0V          
M  13767 N/A       02:57:12.65 -36:25:58.6  7.60    8.93     19.18     4.81  --------  F0V          
M  13952 N/A       02:59:42.11 -16:43:32.4  8.47    4.33     11.12     1.17  --------  F0V          
M  13999 N/A       03:00:13.73 -81:05:18.5  7.84    8.38     74.50    61.50  --------  F0V          
M  14079 N/A       03:01:26.93 -28:26:06.3  7.83    5.47     42.76    21.44  --------  F0V          
M  14232 N/A       03:03:30.15 +28:16:11.6  6.38   20.01     66.87   -20.64  --------  F0V          
M  14793 N/A       03:11:02.20 -43:06:46.6  9.25    2.54     18.90    18.42  --------  F0V          
M  14949 N/A       03:12:42.65 +47:50:18.9  8.98    7.22     25.66   -26.79  --------  F0Vn         
M  14967 N/A       03:12:56.60 -42:22:26.3  8.26    7.87     36.00    34.20  --------  F0V          
M  15400 N/A       03:18:34.54 -51:17:49.2  8.00    7.19    -28.53   -14.58  --------  A9/F0V       
M  15431 N/A       03:18:52.80 -14:53:12.5  8.86    6.76     -3.60   -17.89  --------  F0V          
M  15768 N/A       03:23:12.15 -44:13:53.8  8.39    4.48     43.55    35.28  --------  F0V          
M  15811 N/A       03:23:40.40 +46:34:35.8 10.53    5.56     13.86    23.06  --------  F0V          
M  15828 N/A       03:23:54.13 -25:14:13.9  8.85    5.76     -6.69   -10.03  --------  F0V          
M  15965 N/A       03:25:35.10 -30:33:04.4  9.54    4.51    -19.64    -7.90  --------  F0V          
M  15974 N/A       03:25:40.10 -85:56:46.3  9.18    1.31     -2.87    15.99  --------  F0V          
M  16170 N/A       03:28:20.90 +29:47:57.2  9.16    1.32      5.15    -8.87  --------  F0V          
M  16197 N/A       03:28:40.41 -18:22:36.1  8.56    6.60     18.18    17.82  --------  F0V          
M  16481 N/A       03:32:13.19 -31:34:14.0  8.23    3.72     26.96    11.10  --------  F0V          
M  16592 N/A       03:33:35.86 -69:00:59.4  9.25    4.06     77.63    86.06  --------  F0V          
M  16785 N/A       03:36:00.29 -61:32:32.8  7.65    9.26     28.73    59.49  --------  F0V          
M  16946 N/A       03:38:03.40 -32:44:28.3  8.40    6.61     -7.14    -9.92  --------  F0V          
M  17114 N/A       03:39:56.11 -41:31:52.9  8.60    1.15      5.84     5.62  --------  F0V          
M  17194 N/A       03:40:55.86 -31:52:14.4  8.18   10.06    -31.83   -45.17  --------  F0V          
M  17628 N/A       03:46:36.89 -74:30:28.5  8.01    9.71     50.12    81.56  --------  F0V          
M  17761 N/A       03:48:08.52 -21:34:33.6  8.39    6.70     -2.36    14.00  --------  F0V          
M  18155 N/A       03:52:53.65 -41:58:25.6  8.62    8.58      9.82    31.37  --------  F0V          
M  18211 N/A       03:53:38.60 -59:24:58.2  9.46    6.26      7.50    18.31  --------  F0V          
M  18530 N/A       03:57:46.88 -69:31:32.1  8.41    9.65     -0.37    30.83  --------  F0V          
M  18766 N/A       04:01:12.16 -22:16:33.2  7.41    5.55      5.27     3.64  --------  F0V          
M  18822 N/A       04:02:02.01 -40:56:15.5  9.56    4.21     26.48    22.80  --------  F0V          
M  19062 N/A       04:05:06.36 -31:10:10.9  8.58    6.79     50.48   -11.43  --------  F0V          
M  19295 N/A       04:08:11.56 -42:51:14.3  8.30    8.30    -12.86    17.92  --------  F0V          
M  19524 N/A       04:10:57.93 -23:23:10.9  9.29    6.66      9.68     1.56  --------  F0V          
M  19955 N/A       04:16:45.54 -82:59:49.3  8.51    4.46     -7.49    -1.72  --------  F0V          
M  19966 N/A       04:16:52.73 -48:30:56.6  8.14    8.82      6.40    17.17  --------  F0V          
M  20036 N/A       04:17:50.72 -34:11:11.5  7.45    9.35     -0.73     3.82  --------  F0V          
M  20087 N/A       04:18:23.20 +21:34:45.5  5.64   18.25     96.42   -33.92 04184+2135 F0V          
M  20261 N/A       04:20:36.31 +15:05:43.6  5.26   21.20    108.79   -20.67  --------  F0V          
M  20657 N/A       04:25:35.41 -60:45:24.9  8.69    3.67     -5.36    13.57  --------  F0V          
M  20713 N/A       04:26:20.74 +15:37:05.7  4.48   20.86    114.66   -33.30  --------  F0V...       
M  20887 N/A       04:28:35.05 -29:45:24.5  8.00    7.18     24.36    15.13 04286-2945 F0V          
M  21036 N/A       04:30:37.36 +13:43:27.8  5.40   21.84    108.06   -19.71 04307+1343 F0V          
M  21199 N/A       04:32:42.91 -47:12:35.3  9.79    3.85     -8.34     4.39  --------  F0V          
M  21228 N/A       04:33:14.75 -32:03:29.7  8.97    2.70     -0.26     8.45  --------  F0V          
M  21242 N/A       04:33:24.91 +43:03:50.0  6.09   15.48      5.65     5.34 04334+4303 F0V          
M  21351 N/A       04:34:53.10 -69:04:59.7  9.15    5.23     24.83    45.01  --------  F0V          
M  21366 N/A       04:35:04.05 -40:00:55.4  9.09    3.55     -6.77    -7.52  --------  F0V          
M  21498 N/A       04:37:02.09 -25:10:21.8  9.10    6.24     35.03    31.59  --------  F0V          
M  21547 N/A       04:37:36.14 -02:28:24.7  5.22   33.60     43.32   -64.23 04376-0228 F0V          
M  21588 N/A       04:38:09.45 +16:01:59.8  5.78   21.96    113.05   -40.40 04382+1602 F0V          
M  21593 N/A       04:38:10.29 -44:37:34.8  7.90    4.92     20.08    32.92 04382-4438 F0V          
M  21665 N/A       04:39:04.34 -50:28:46.7  9.13    7.69      0.22   -30.59  --------  F0V          
M  21802 N/A       04:41:02.68 -60:50:45.0  8.48    6.31      1.01     4.82  --------  F0V          
M  21925 N/A       04:42:52.00 -17:49:36.7  9.21    2.34     -6.99   -11.00  --------  F0V          
M  21933 N/A       04:42:55.57 -31:42:31.5  7.51    3.26     10.02     4.09  --------  F0V          
M  22037 N/A       04:44:16.43 -52:37:41.7  8.22    8.53      3.30    33.32  --------  F0V          
M  22044 N/A       04:44:25.83 +11:08:46.0  5.39   20.73     98.87   -13.47 04445+1109 F0V          
M  22068 N/A       04:44:48.69 -32:52:37.7  9.85    5.97    353.17  -190.55  --------  F0V          
M  22089 N/A       04:45:08.11 -30:56:28.1  8.70    4.20      4.52    14.82  --------  F0V          
M  22318 N/A       04:48:25.64 -45:00:38.9  9.56    5.48     27.17    24.26  --------  F0V          
M  22414 N/A       04:49:25.47 -43:21:13.3  9.79    3.97     45.80    -1.28  --------  F0V          
M  22803 N/A       04:54:20.19 +44:43:52.9  8.67    6.60     34.62   -51.87  --------  F0V          
M  22986 N/A       04:56:45.43 -48:25:48.9  9.44    7.19     14.72    79.58  --------  F0V          
M  23231 N/A       04:59:55.73 -12:32:14.6  4.78   11.21     40.37   -86.89  --------  F0V          
M  23651 N/A       05:04:58.73 +15:58:16.2  9.32    6.29     -5.09     0.25  --------  F0V          
M  23773 N/A       05:06:33.76 -20:35:54.2  8.64    7.55    -14.85     0.15  --------  F0V          
M  23783 N/A       05:06:40.63 +51:35:51.7  4.98   38.14    -29.31  -173.95 05067+5136 F0V          
M  23821 N/A       05:07:16.76 +00:59:27.7  7.47    8.42    -53.11    16.52  --------  F0V          
M  23903 N/A       05:08:07.45 -00:36:30.0  9.09    3.49     -9.37     2.01  --------  F0V          
M  23935 N/A       05:08:37.67 -03:18:21.3  7.22   10.94    -14.16   -25.42  --------  F0V          
M  24293 N/A       05:12:48.08 -22:30:27.3  8.46    1.99     17.52     3.82  --------  F0V          
M  24371 N/A       05:13:45.39 -02:46:54.7  8.19    5.63      4.15     2.29  --------  F0V          
M  24460 N/A       05:14:55.26 -47:11:46.4  8.57    5.27      5.75    -7.64  --------  F0V          
M  24506 N/A       05:15:24.39 -19:03:37.7  7.95   10.92     16.77   -31.81  --------  F0V          
M  24636 N/A       05:17:11.67 -01:57:45.1  8.31    5.39     14.24    -0.29  --------  F0V          
M  24675 N/A       05:17:37.66 -18:39:41.4  8.49    3.25      2.32    -5.18  --------  F0V          
M  24785 N/A       05:18:47.40 +15:06:19.7 11.06  -16.43     -0.53     1.98  --------  F0V          
M  24787 N/A       05:18:51.30 -22:25:38.0  8.89    6.24     -6.28   -17.49  --------  F0V          
M  25013 N/A       05:21:21.61 +14:56:36.1  9.60    4.84     17.48   -18.21  --------  F0V          
M  25501 N/A       05:27:11.65 -19:05:44.6  7.99    6.68     -9.49    -9.82  --------  F0V          
M  26315 N/A       05:36:15.96 +47:42:55.0  6.10    9.79     14.38   -19.63  --------  F0V:         
M  26382 N/A       05:37:03.74 +17:02:25.1  5.53   18.56     42.90   -34.86  --------  F0V          
M  26422 N/A       05:37:24.49 -76:40:33.1  9.36    3.89      3.49   -14.04  --------  F0V          
M  26760 N/A       05:41:04.92 -61:51:28.2  9.65    4.90    -13.64    -0.19  --------  F0V          
M  26794 N/A       05:41:26.28 -59:46:02.0  8.38    7.15     23.51    57.25  --------  F0V          
M  27037 N/A       05:44:03.51 -30:36:39.3  8.51    4.28     -6.89    -6.98  --------  F0V          
M  27184 N/A       05:45:40.94 -31:30:55.2  8.27    8.05     -7.79     0.66  --------  F0V          
M  27736 N/A       05:52:19.28 -37:42:07.9  8.14    5.43      0.70    51.19  --------  F0V          
M  27947 N/A       05:54:50.09 -52:38:07.7  5.29   28.65    -17.21   243.54  --------  F0Ve...      
M  28092 N/A       05:56:17.46 -17:14:23.5  7.91    2.71    -19.13     2.86  --------  F0V          
M  28224 N/A       05:57:48.68 +02:03:56.1  7.86   10.17    -19.74    35.78  --------  F0V          
M  28382 N/A       05:59:43.75 -40:57:26.3  9.62    3.14      9.64    12.37  --------  F0V          
M  28408 N/A       06:00:00.45 -19:50:55.5  8.81    6.70      1.06   -29.66  --------  F0V          
M  29057 N/A       06:07:46.99 -44:43:45.5  6.76    9.01     -2.73    27.41  --------  F0V          
M  29884 N/A       06:17:34.64 +46:25:26.2  6.53   13.86    -43.79    11.26  --------  F0V          
M  30113 N/A       06:20:13.98 -42:00:59.4  8.68    6.80     -1.87   -13.61  --------  F0V          
M  30134 N/A       06:20:29.31 -37:30:13.2  8.05    3.75     -7.19   -10.14  --------  F0V          
M  30510 N/A       06:24:48.07 +30:02:22.3  8.76    5.36    -21.61    -6.00  --------  F0V          
M  30533 N/A       06:25:05.82 -55:43:30.9  7.54   11.20    -16.01    69.76  --------  F0V          
M  30685 N/A       06:26:53.73 -53:34:55.1  8.57   10.46      1.27    10.84  --------  F0V          
M  30855 N/A       06:28:43.81 +30:17:07.3  8.96    7.05     -3.91   -19.25  --------  F0V          
M  30971 N/A       06:30:02.71 -49:59:17.2  8.29    3.89     -5.11    10.82  --------  F0V          
M  30981 N/A       06:30:08.56 -63:11:30.8  8.72    5.36     -7.96    28.39  --------  F0V          
M  31075 N/A       06:31:15.62 -13:36:06.1  7.66   11.16    -11.62    29.91  --------  F0V          
M  31117 N/A       06:31:45.77 +28:59:13.0  9.77    3.73     -1.97   -17.47  --------  F0V          
M  31124 N/A       06:31:51.14 -38:04:17.0  8.16    6.05     -6.05    39.93  --------  F0V          
