M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     28 N/A       00:00:20.93 -43:21:42.5  8.83    5.64    -10.96    -8.69  --------  F3/F5V       
M     95 N/A       00:01:12.48 -11:57:50.5  8.67    7.85     -9.94   -13.75  --------  F5V          
M     97 N/A       00:01:13.77 -21:24:14.5  9.48    5.52     18.34     1.21  --------  F5V          
M    170 N/A       00:02:09.02 -20:52:17.9  9.63    5.96    -29.52    -8.33  --------  F5V          
M    225 N/A       00:02:48.03 -15:02:25.9  9.04    7.23     21.33    -4.70  --------  F3/F5V       
M    299 N/A       00:03:44.10 -63:36:02.4  8.44    9.67     -6.07    -2.05  --------  F5V          
M    409 N/A       00:04:59.06 -70:29:32.9  8.41    8.49     -0.59   -27.33  --------  F5V          
M    435 N/A       00:05:15.30 -49:08:31.7  9.30   10.28     47.02    30.07  --------  F3/F5V       
M    478 N/A       00:05:43.05 -22:30:35.2  9.67    2.19     38.35    -2.37  --------  F3/F5V       
M    564 N/A       00:06:51.32 -45:51:50.0 10.18    0.77     14.88    23.20  --------  F5V          
M    606 N/A       00:07:22.55 -25:21:23.9  7.06   20.63    210.67  -133.54  --------  F5V          
M    649 N/A       00:08:00.23 -07:32:40.9  7.85   10.66    -28.98    31.53  --------  F5V          
M    651 N/A       00:08:00.82 -39:36:43.6  9.72    6.43     45.91   -17.55  --------  F3/F5V       
M    666 N/A       00:08:13.63 -49:43:18.5 10.16    5.68      6.23     1.99  --------  F5V          
M    688 N/A       00:08:27.66 -24:05:37.4  7.59    7.60     48.21     7.47  --------  F3/F5V       
M    713 N/A       00:08:49.90 -60:15:52.4  9.55    4.78     -2.54   -15.53  --------  F5V          
M    819 N/A       00:10:04.45 -79:00:06.6  7.88   11.15     13.82    -3.47  --------  F5V          
M    844 N/A       00:10:21.33 -48:08:36.9  9.50    7.14     -4.72    -1.03  --------  F3/F5V       
M    845 N/A       00:10:22.81 -43:31:22.5  9.32    4.82     44.95    -1.11  --------  F5V          
M    895 N/A       00:11:01.39 +29:33:01.6  8.55   12.60    -30.13   -26.71  --------  F5V          
M    910 N/A       00:11:15.86 -15:28:04.7  4.89   52.94    -84.20  -269.31  --------  F5V          
M    950 N/A       00:11:44.01 -35:07:59.2  5.24   45.85    169.01   113.75  --------  F3/F5V       
M    952 N/A       00:11:45.78 +27:30:36.6  8.45   10.91      3.98   -27.05  --------  F5V          
M    985 N/A       00:12:12.96 -27:47:04.3  8.25    9.81     56.64     6.80  --------  F5V          
M   1137 N/A       00:14:13.09 +35:25:05.1  8.08   13.44      9.29    13.86  --------  F5V          
M   1161 N/A       00:14:28.02 -14:25:54.4  6.95   12.17    -78.95  -126.37  --------  F5V          
M   1223 N/A       00:15:14.47 -30:56:06.1  9.40    6.00      5.75     4.65  --------  F3/F5V       
M   1332 N/A       00:16:42.42 -41:44:59.3  9.67    1.73    -22.73    -9.97  --------  F5V          
M   1341 N/A       00:16:47.26 -46:34:26.9  8.03    7.47    114.12   -79.92  --------  F5V          
M   1375 N/A       00:17:11.95 -61:15:30.0  8.50    7.35    -16.11    -8.67  --------  F5V          
M   1467 N/A       00:18:18.33 -34:10:23.5  8.68    6.06     15.39    26.06  --------  F5V          
M   1471 N/A       00:18:18.58 -52:07:24.1  9.63    4.46     -8.42    17.70  --------  F5V          
M   1491 N/A       00:18:33.23 -40:17:03.8  9.33    4.57     44.95    41.81  --------  F5V          
M   1507 N/A       00:18:45.87 -39:40:38.1  9.26    4.77     28.07    16.28  --------  F3/F5V       
M   1718 N/A       00:21:35.46 -16:12:27.1  8.64    8.57    -32.79   -10.08  --------  F5V          
M   1731 N/A       00:21:51.38 -23:23:11.3  8.99    8.91     23.55   -11.86  --------  F5V          
M   1758 N/A       00:22:16.82 -41:55:59.6  8.88    6.88    -28.33    32.84  --------  F5V          
M   1776 N/A       00:22:31.57 -63:40:39.3  9.10    8.39    -16.53   -23.92  --------  F5V          
M   1782 N/A       00:22:40.35 -42:12:50.0  9.99    3.69     42.45     0.81  --------  F3/F5V       
M   1797 N/A       00:22:49.42 -40:23:13.0  9.37    8.54     25.88    -6.33  --------  F5V          
M   2005 N/A       00:25:24.14 -46:55:27.0 10.42    1.86     11.65    16.25  --------  F3/F5V       
M   2017 N/A       00:25:36.70 -19:56:02.9  7.70    9.52    -12.29   -46.57  --------  F5V          
M   2026 N/A       00:25:42.14 -43:50:59.8  9.46    7.59     62.36   -38.10  --------  F5V          
M   2056 N/A       00:26:02.68 -56:15:20.4  9.47    5.75     36.79    22.59  --------  F5V          
M   2114 N/A       00:26:50.38 -39:33:33.2  9.11    7.33     45.25     1.06  --------  F5V          
M   2134 N/A       00:27:03.98 -20:30:48.1  9.33    6.77    -67.64   -32.43  --------  F3/F5V       
M   2158 N/A       00:27:14.72 -19:04:41.9 10.14    5.49     54.38   -27.01  --------  F5V          
M   2239 N/A       00:28:26.45 -29:17:05.0  7.10   17.88     40.07   -43.96  --------  F5V          
