M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     23 N/A       00:00:17.89 +13:18:44.0  7.57   12.21     54.15     9.65  --------  F2V          
M     66 N/A       00:00:45.22 -72:19:05.6  8.55    8.18    -15.61    11.88  --------  F2V          
M    125 N/A       00:01:37.13 -39:20:12.2  8.70    5.08    -19.57   -28.13  --------  F2V          
M    226 N/A       00:02:48.11 -24:56:43.0 10.30    0.63     54.29   -17.92  --------  F0/F2V       
M    260 N/A       00:03:16.13 -55:24:18.2  9.64    6.10     31.28     7.35  --------  F2V          
M    277 N/A       00:03:26.28 -36:15:04.2  6.96   15.84     72.54     5.06  --------  F2V          
M    357 N/A       00:04:30.55 -72:53:50.3  7.33   10.92     11.31   -41.13  --------  F2V          
M    434 N/A       00:05:15.32 -27:16:18.1  9.04    1.40    130.26   -41.05  --------  F2V          
M    514 N/A       00:06:11.73 -23:32:18.8  9.82    5.66    -14.53    -5.95  --------  F2V          
M    537 N/A       00:06:31.33 -21:30:04.5  9.35    3.91     19.98     8.20  --------  F2V          
M    681 N/A       00:08:25.34 -51:24:02.6  9.43    1.52     32.36     6.35  --------  F2V          
M    964 N/A       00:11:54.80 -22:49:03.7  7.91   10.93     47.47   -37.56  --------  F2V          
M   1042 N/A       00:13:01.20 +62:43:41.0  7.80    2.95     19.65    -5.53  --------  F2V          
M   1071 N/A       00:13:17.68 -23:43:57.0  7.98   11.12     25.34     2.66  --------  F2V          
M   1228 N/A       00:15:16.10 -42:09:54.0  8.70    5.26     50.67   -22.31  --------  F2V          
M   1376 N/A       00:17:12.18 -44:21:51.5  8.64    2.54     30.70    -8.06  --------  F2V          
M   1506 N/A       00:18:45.20 -19:21:35.9  9.69    3.11     -1.46    -0.57  --------  F0/F2V       
M   1752 N/A       00:22:12.22 -13:27:56.2  8.78   10.08     17.58    -9.91  --------  F2V          
M   1754 N/A       00:22:13.99 -25:12:54.1  8.42    7.13     64.15    -9.84  --------  F2V          
M   1898 N/A       00:23:58.95 -27:24:46.2  9.32    7.11     -0.67    10.64  --------  F2V          
M   1912 N/A       00:24:11.98 -54:33:59.9  7.59    9.46     22.49   -60.51  --------  F2V          
M   2098 N/A       00:26:33.68 -19:59:36.6 10.08    4.62    -16.20   -44.05  --------  F2V          
M   2177 N/A       00:27:30.04 -31:49:41.4  7.73   13.47     72.39    26.10  --------  F2V          
M   2261 N/A       00:28:49.82 -49:05:57.8 10.14    3.22     75.34   -49.29  --------  F2V          
M   2274 N/A       00:29:04.06 -17:13:00.8  9.84    1.04     17.97    -4.90  --------  F2V          
M   2383 N/A       00:30:26.11 -48:12:53.6  5.67   22.19    163.44   -87.30  --------  F2V          
M   2448 N/A       00:31:08.01 -42:17:34.7  9.54    7.24    -12.22     9.96  --------  F2V          
M   2636 N/A       00:33:27.46 -66:45:52.6  9.89   -0.24     35.34     5.19  --------  F2V          
M   2741 N/A       00:35:00.44 -23:28:58.4  9.02   10.31    -18.05    23.64  --------  F2V          
M   2764 N/A       00:35:16.68 -86:42:18.7  8.81    5.16     47.78     8.77  --------  F2V          
M   2841 N/A       00:36:00.89 -59:43:02.0  6.91   16.71     78.00   -18.45  --------  F2V          
M   3047 N/A       00:38:43.44 -15:39:49.7  8.87    2.80      0.98    -3.92  --------  F2V          
M   3139 N/A       00:39:56.00 -26:40:50.7  9.27    8.65     -2.61    25.64  --------  F2V          
M   3230 N/A       00:41:06.61 -23:31:33.6  9.87    4.92    -18.58   -17.37  --------  F2V          
M   3422 N/A       00:43:35.85 -50:58:35.6  8.66    4.01    -15.95    -4.04  --------  F2V          
M   3492 N/A       00:44:36.44 -42:35:54.8  8.30    8.68     21.17    13.20  --------  F2V          
M   3580 N/A       00:45:43.47 -21:13:00.7  9.80    3.68    -13.78     3.88  --------  F2V          
M   3646 N/A       00:46:41.43 -19:57:20.8  9.32    1.37      7.54     9.29  --------  F2V          
M   4101 N/A       00:52:38.98 -12:56:12.4  7.93    7.28    -14.21    12.33  --------  F2V          
M   4122 N/A       00:52:50.05 -52:17:48.5 10.34    3.51     -5.29     6.24  --------  F2V          
M   4154 N/A       00:53:04.97 -24:57:06.0  9.30    4.14     22.05   -19.86  --------  F2V          
M   4187 N/A       00:53:28.75 -51:03:10.6  8.49    5.91      6.38    21.07  --------  F2V          
M   4234 N/A       00:54:00.04 -25:02:40.7  8.87    8.34     42.74   -20.85 00540-2503 F2V          
M   4414 N/A       00:56:33.00 -14:39:54.8  8.67    5.30     14.97    25.86  --------  F2V          
M   4438 N/A       00:56:45.99 +59:44:20.0  8.52    6.51     27.67    28.79  --------  F2V          
M   4481 N/A       00:57:26.19 -22:25:11.4  9.21    7.62     39.14     7.11  --------  F2V          
M   4505 N/A       00:57:43.80 -26:13:22.4  9.98   -1.96     30.04     7.56  --------  F2V          
M   4506 N/A       00:57:43.76 -15:47:13.5  7.60   11.98    -32.88   -25.84  --------  F2V          
M   4525 N/A       00:57:57.93 -20:40:34.1  7.75   14.44    -22.14   -38.22  --------  F0/F2V       
M   4774 N/A       01:01:20.11 -16:17:40.5  8.10    8.78    -33.23   -32.92  --------  F2V          
M   4799 N/A       01:01:35.64 -30:56:14.6  9.66    3.53     34.42    -7.55  --------  F2V          
M   4839 N/A       01:02:15.59 -45:10:19.4  7.79    5.54     -8.17   -18.02  --------  F2V          
M   4921 N/A       01:03:10.85 -32:44:33.8  9.59    3.26     -4.59    23.45  --------  F2V          
M   4925 N/A       01:03:12.22 -23:10:50.6  8.68    9.91    -56.45   -31.79  --------  F2V          
M   5063 N/A       01:04:46.92 -43:03:50.5  8.47    7.03     60.18    18.44  --------  F2V          
M   5393 N/A       01:09:01.14 -12:05:34.3  8.62    7.29     25.23    26.60  --------  F2V          
M   5487 N/A       01:10:15.42 -34:30:10.4  9.41    1.73      8.83    20.58  --------  F2V          
M   5509 N/A       01:10:32.74 -27:46:42.7  8.89    5.21      6.70    17.87  --------  F2V          
M   5532 N/A       01:10:50.48 -24:35:47.3 10.23    4.02      2.00    -2.63  --------  F2V          
