M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    309 N/A       00:03:56.63 -45:17:19.0  8.54    4.59      9.33    -7.70  --------  A7V          
M   2072 N/A       00:26:12.21 -43:40:47.4  3.93   42.51    106.14    32.83  --------  A7V          
M   2788 N/A       00:35:32.96 -25:23:59.7  8.23    7.21      3.25   -41.43  --------  A7V          
M   2887 N/A       00:36:36.02 -69:25:56.4  8.04    5.89     15.14    17.89  --------  A7V          
M   3521 N/A       00:44:57.05 -42:40:35.6  5.94   15.01    -89.06   -96.11  --------  A7V          
M   5542 N/A       01:11:06.16 +55:08:59.6  4.34   23.73    226.62   -19.34 01112+5508 A7Vvar       
M   6942 N/A       01:29:26.13 -33:19:13.7  8.91    3.73      7.47    -1.19  --------  A7V          
M   8739 N/A       01:52:26.22 -38:44:42.6  8.02    6.29     53.72    25.78  --------  A7V          
M   9075 N/A       01:56:50.26 -43:10:41.4  7.87    9.31     40.70   -11.75  --------  A7Vn         
M   9383 N/A       02:00:33.74 +27:53:19.1  8.86    6.03     28.24   -14.95 02006+2753 A7V          
M   9594 N/A       02:03:25.43 -17:01:58.7  8.15    3.00     60.97    22.56  --------  A7V          
M  10795 N/A       02:18:57.95 +23:10:04.1  6.45    9.51    -17.70    -8.59  --------  A7V          
M  11736 N/A       02:31:29.28 +01:05:28.8  7.67   -5.32    -47.13   -34.66 02315+0106 A7V          
M  12332 N/A       02:38:48.99 +21:57:41.0  5.45    9.41     -7.08   -15.12  --------  A7V          
M  13431 N/A       02:52:57.61 +60:28:16.8  7.22   14.23     -3.35    -4.73 02529+6028 A7V          
M  14186 N/A       03:02:55.40 -21:50:42.7  7.76    5.53     51.44    10.05  --------  A7V          
M  14322 N/A       03:04:43.34 -34:10:48.5 10.00    2.23     21.26    -0.12  --------  A7V          
M  15717 N/A       03:22:26.29 +51:39:39.5  9.13    6.25     20.10   -21.07 03224+5140 A7Vn         
M  15971 N/A       03:25:37.66 +47:01:14.3  8.92   12.35     26.21   -19.63 03256+4701 A7V          
