M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    339 N/A       00:04:16.52 -59:18:54.7  8.55    4.12     21.79    -4.11  --------  A1V          
M    345 N/A       00:04:20.32 -29:16:07.7  6.38    7.75     29.15     3.44  --------  A1V          
M    424 N/A       00:05:09.76 +45:13:44.5  6.71    6.66    -27.19   -20.38 00052+4514 A1Vn         
M    445 N/A       00:05:21.67 -56:57:20.3  7.42    9.55     33.77   -11.65  --------  A1Vs         
M    585 N/A       00:07:07.80 -30:33:41.6  8.65    4.33     19.77     3.60  --------  A1V          
M    636 N/A       00:07:46.90 -22:30:30.8  5.93   12.45     70.10   -34.71 00078-2231 A1V          
M   1012 N/A       00:12:36.76 -13:36:36.5  8.15    5.91     29.92     5.33  --------  A1V          
M   1123 N/A       00:14:02.29 +33:12:21.7  6.22   11.13     -7.70   -18.77  --------  A1V          
M   1215 N/A       00:15:10.56 +27:17:00.3  6.35    7.92     14.69   -15.37 00152+2717 A1Vn         
M   1928 N/A       00:24:18.68 -28:58:50.2  8.12    6.35     23.21     4.07  --------  A1V          
M   2027 N/A       00:25:42.52 -21:37:53.3  7.64    5.93     21.57     3.21  --------  A0/A1V       
M   2130 N/A       00:27:01.18 -40:29:31.1 10.22    4.30     27.84    18.97  --------  A1V          
M   2553 N/A       00:32:26.81 +43:29:41.2  6.69    4.96     19.88    -9.59  --------  A1Vn         
M   2800 N/A       00:35:38.77 -14:44:08.3  8.61    3.27     24.23     0.21  --------  A1V          
M   4560 N/A       00:58:19.46 -48:34:24.2  8.88    2.54     -0.65    -7.33  --------  A1V          
M   5066 N/A       01:04:49.18 -78:17:51.8  8.19    2.95     29.84     1.02  --------  A1V          
M   5131 N/A       01:05:40.96 +21:28:23.4  5.33   13.67     44.30   -14.32 01057+2128 A1Vn         
M   5164 N/A       01:06:05.15 -09:50:21.6  5.58    5.48     30.98     5.89  --------  A1V          
M   5193 N/A       01:06:26.58 -35:39:38.3  6.61    5.23     68.12   -17.37  --------  A1V          
M   7152 N/A       01:32:12.71 -14:29:32.6  8.18    4.01     -7.46   -10.16  --------  A1V          
M   7313 N/A       01:34:08.06 +44:05:38.2  8.45    3.35     -7.43    -3.05 01341+4406 A1Vvar       
M   7345 N/A       01:34:37.78 -15:40:34.9  5.62   16.32     94.70    -2.67  --------  A1V          
M   7519 N/A       01:36:49.16 -14:23:07.1  8.68    2.00     21.88    -4.72  --------  A1V          
M   8241 N/A       01:46:06.26 -53:31:19.3  5.04   17.54    126.45    59.04  --------  A1V          
M   8296 N/A       01:46:58.36 -13:53:19.4  6.70   10.08     27.51     9.27  --------  A1V          
M   8535 N/A       01:50:03.11 +44:18:02.3  8.41    2.77    -11.29    -0.70  --------  A1V          
M   8593 N/A       01:50:54.44 -50:12:22.1  5.94   13.37    -47.97    -4.30  --------  A1V          
M   9196 N/A       01:58:22.86 +55:27:25.9 10.44    1.29     -1.34     1.15  --------  A1V          
M   9315 N/A       01:59:39.38 -34:26:24.5  8.85    3.09      3.48    14.50  --------  A1V          
M   9376 N/A       02:00:29.55 -22:04:31.8  8.45    3.53     21.49     7.39  --------  A1V          
M   9564 N/A       02:02:52.47 +64:54:05.3  6.00   11.49    -12.57   -11.69  --------  A1Vn         
M  10054 N/A       02:09:25.31 +81:17:45.3  6.05   14.61    -34.14     7.13  --------  A1V          
M  10180 N/A       02:10:53.66 +39:02:35.8  6.82    1.92     -7.60   -19.97 02109+3902 A1Vn         
M  10670 N/A       02:17:18.87 +33:50:49.9  4.03   27.73     44.91   -52.42  --------  A1Vnn        
M  10732 N/A       02:18:07.54 +19:54:04.2  5.58    8.42    -16.07     0.90  --------  A1Vn         
M  10819 N/A       02:19:16.80 +47:22:47.9  5.31   12.77    -60.05    -6.06  --------  A1V          
M  10867 N/A       02:19:52.48 +59:31:39.9  8.18    0.91     15.40   -14.69  --------  A1V          
M  11084 N/A       02:22:45.13 -82:28:33.8  9.02    5.80     15.35     3.43 02228-8229 A1V          
M  11562 N/A       02:28:57.84 -66:46:05.6  8.72    3.45     12.27    12.10  --------  A1Vs         
M  11936 N/A       02:34:01.43 -48:48:34.0  9.02    1.23      3.88    17.17  --------  A0/A1V       
M  12786 N/A       02:44:20.54 -32:31:28.9  6.21    9.34     25.29   -21.95  --------  A1V          
M  13171 N/A       02:49:23.80 +61:51:38.9  8.79    3.69     -2.83    -4.81  --------  A1V          
M  13202 N/A       02:49:54.18 -27:56:31.1  5.39    5.88     46.55    22.19  --------  A1V          
M  13307 N/A       02:51:13.38 -54:26:34.5  8.22    4.77    -27.04   -20.65  --------  A0/A1V       
M  13396 N/A       02:52:24.59 -41:09:02.6  8.49    3.02     30.86    35.65  --------  A1V          
M  13898 N/A       02:58:57.06 -57:46:11.5  8.79    5.21     -3.24    40.88  --------  A1V          
M  13929 N/A       02:59:26.78 +59:35:31.8  7.68    5.11     41.97   -15.31  --------  A1V          
M  14762 N/A       03:10:38.42 -14:24:48.8  8.27    5.04     10.09     3.14  --------  A1V          
M  15110 N/A       03:14:54.09 +21:02:40.0  4.87    9.59    -29.83   -77.15  --------  A1V          
M  15125 N/A       03:15:00.27 -26:06:01.6  6.25    5.95    -10.70   -21.75  --------  A1V          
M  15147 N/A       03:15:15.17 -20:01:08.5  7.02    5.25     28.23    -4.71  --------  A0/A1V       
M  15154 N/A       03:15:20.44 +30:33:24.0  5.61    7.52    -16.56     6.01  --------  A1Vs         
M  15684 N/A       03:22:03.56 +47:56:04.7  8.36    6.41     19.77   -20.79  --------  A1V          
M  15700 N/A       03:22:16.28 -25:35:16.0  6.36    7.25      5.11     0.66  --------  A1V          
M  15870 N/A       03:24:26.11 +20:48:12.5  6.07   10.76      2.55    -9.84  --------  A1V          
M  15878 N/A       03:24:30.04 +49:08:23.6  7.88    6.43     23.12   -24.57  --------  A1V          
M  16015 N/A       03:26:11.79 -41:38:12.9  6.33    7.39     19.61    27.01  --------  A1V          
M  16030 N/A       03:26:24.14 -15:21:47.5  7.59    6.78     -0.11     0.88  --------  A1V          
M  16211 N/A       03:28:53.65 +49:04:13.1  7.47    5.86     25.34   -28.74  --------  A1V          
M  16292 N/A       03:30:00.18 +55:27:06.5  5.09   17.07    -45.38   -11.77 03300+5527 A1V          
M  16496 N/A       03:32:25.12 -03:18:48.0  8.29    4.39    -30.08   -41.05  --------  A1V          
M  16816 N/A       03:36:25.00 -19:22:36.1  7.34    6.25     -0.60     3.83  --------  A1V          
M  16876 N/A       03:37:09.10 -29:49:48.3  7.30    7.26    -12.21   -20.13  --------  A1V          
M  16956 N/A       03:38:07.92 -12:14:35.2  9.17    2.84     -1.54    -7.19  --------  A1V          
M  17290 N/A       03:42:05.57 -23:14:49.4  8.72    5.43    -11.28    -7.10  --------  A1V          
M  17692 N/A       03:47:20.97 +23:48:12.0  6.99    8.35     19.78   -43.97  --------  A1V          
M  17717 N/A       03:47:39.65 -23:52:28.8  5.24   11.98     48.02    49.01  --------  A1V          
M  17791 N/A       03:48:30.09 +24:20:43.9  6.96    6.90     17.70   -43.20  --------  A1V          
M  18435 N/A       03:56:28.71 -31:41:43.6  7.93    6.16      7.25     5.85  --------  A1Vn...      
M  18575 N/A       03:58:34.25 -23:47:43.0  7.92    5.78      8.74     3.65  --------  A0/A1V       
M  18723 N/A       04:00:40.65 -30:29:26.5  5.93    9.09     47.49     5.15  --------  A1V          
M  18907 N/A       04:03:09.38 +05:59:21.4  3.91   25.24      5.52    -1.63  --------  A1V          
M  19353 N/A       04:08:45.85 -58:29:14.2  9.46    2.79     19.29    26.02  --------  A1V          
M  19878 N/A       04:15:46.31 -23:14:15.8  6.73    9.41     37.46    31.23  --------  A1V          
M  19935 N/A       04:16:33.81 -65:54:40.9  8.35    4.21      5.79    17.87  --------  A1V          
M  20057 N/A       04:18:01.83 -17:03:49.8  8.23    5.91      2.65     6.06  --------  A1V          
M  20443 N/A       04:22:46.30 -20:14:34.2  8.23    4.12      7.66    10.08  --------  A1V          
M  20505 N/A       04:23:40.15 -19:28:23.1  8.10    2.10      3.75    -8.11  --------  A1V          
M  20531 N/A       04:23:57.77 +24:18:13.8  8.18    3.78      5.76    -7.04 04240+2419 A1Vp         
M  20662 N/A       04:25:38.21 -71:17:15.3  9.91    1.86      3.83     4.76  --------  A1Vs...      
M  20954 N/A       04:29:32.91 -65:22:39.2  8.05    4.24     15.45    20.12  --------  A1V          
M  21012 N/A       04:30:22.41 -30:26:38.6  7.33    4.83     11.79    14.09  --------  A1V          
M  21168 N/A       04:32:17.75 -13:35:11.5  9.28    2.21      4.55    -0.23  --------  A1V          
M  21452 N/A       04:36:24.19 +64:15:41.7  5.91    7.36    -26.03    -7.37  --------  A1V          
M  21567 N/A       04:37:47.79 -17:25:11.1  8.33    3.47     -4.47    -7.25  --------  A0/A1V       
M  21844 N/A       04:41:46.63 -45:18:26.8  7.89    2.04      6.37    13.38  --------  A1V          
M  21928 N/A       04:42:54.33 +43:21:54.5  5.30   12.02     34.70   -52.07  --------  A1Vn         
M  22015 N/A       04:44:00.98 -78:01:17.5  8.57    4.03    -21.57   -15.24  --------  A1V          
M  22028 N/A       04:44:07.98 -18:39:59.7  5.53   11.06     52.09   -17.64  --------  A1V          
M  22132 N/A       04:45:46.79 -14:55:32.9  9.16    2.55      0.19    -0.93  --------  A0/A1V       
M  22509 N/A       04:50:36.72 +08:54:00.6  4.35   16.84     -0.87   -31.57  --------  A1Vn         
M  22774 N/A       04:53:55.80 +01:34:09.7  6.61    5.71      5.73    -8.13  --------  A1Vn         
M  22991 N/A       04:56:47.91 -16:08:06.2  7.46    4.16      0.68    -8.71 04568-1608 A0/A1V       
M  23084 N/A       04:58:04.32 -22:01:10.4  7.52    3.49    -11.69    -2.08  --------  A0/A1V       
M  23341 N/A       05:01:15.44 -45:56:10.9  8.53    4.81      6.75    12.93  --------  A1V          
M  23424 N/A       05:02:03.75 -45:35:57.8  7.77    5.00     -6.90     6.67  --------  A1V          
M  23450 N/A       05:02:26.72 -43:30:24.7  9.74    4.62     -3.16    16.61  --------  A1V          
M  23635 N/A       05:04:50.79 -57:40:20.3  8.16    4.46      7.15    29.55  --------  A1V          
M  23661 N/A       05:05:06.33 -03:40:12.5  8.41    3.96      9.79   -13.54  --------  A1V          
M  23722 N/A       05:05:59.63 -27:34:32.4  9.24    3.86     15.10    25.03  --------  A1V          
M  23989 N/A       05:09:24.91 +03:06:26.5  8.27    5.69    -12.67   -13.29  --------  A1V          
M  23990 N/A       05:09:24.82 -01:29:27.6  9.43    1.83      1.01    -5.86  --------  A1V          
M  24263 N/A       05:12:27.63 -29:58:36.4  8.53    1.37     -5.47     1.62  --------  A1V          
M  24324 N/A       05:13:11.80 -29:15:37.2  9.27    2.49     -2.85     4.71  --------  A1V          
M  24669 N/A       05:17:34.34 -15:12:58.1  8.72    2.52    -13.30    14.70 05176-1513 A1V          
M  24689 N/A       05:17:43.79 -00:22:12.3  9.04    5.72     -5.72    -4.53  --------  A1V          
M  24838 N/A       05:19:31.00 -04:20:28.2  8.31    4.39     -7.37   -16.80  --------  A1V          
M  24961 N/A       05:20:44.50 -29:12:21.8  7.41    6.37      1.17    14.40  --------  A1V          
M  24970 N/A       05:20:52.91 +01:00:59.8  9.15    5.75      0.74    -2.31  --------  A1V          
M  25001 N/A       05:21:12.69 +29:34:11.6  5.66   11.72     -1.54    -0.19  --------  A1Vs         
M  25459 N/A       05:26:41.45 -64:19:27.6  7.48    4.10     11.30    25.36  --------  A1Vn         
M  25462 N/A       05:26:43.57 -15:45:47.7  8.26    2.63     -5.04    -0.05  --------  A1V          
M  25734 N/A       05:29:43.12 -15:54:34.5  8.73    3.83     -2.71    -1.71  --------  A1V          
M  25776 N/A       05:30:13.89 -84:47:06.4  6.18    9.35     -6.84    44.27  --------  A1V          
M  25895 N/A       05:31:40.58 -15:12:13.7  8.68    5.69     -1.13     3.43  --------  A1V          
M  25956 N/A       05:32:16.66 -03:33:50.8  9.48    3.95     -2.10    -4.60  --------  A1Vn         
M  26119 N/A       05:34:13.75 -18:20:18.7  7.76    3.01     -0.71    -1.33  --------  A1V          
M  26167 N/A       05:34:43.88 -69:28:18.7  8.88    2.54      0.98    -1.99  --------  A1V          
M  26357 N/A       05:36:45.13 -52:47:14.5  8.76    2.78      2.22    16.09  --------  A0/A1V       
M  26375 N/A       05:36:59.71 -19:55:40.5  8.65    0.03      0.12    -2.56  --------  A0/A1V       
M  26616 N/A       05:39:27.11 +21:45:46.5  6.42    4.94      2.87   -32.09  --------  A1Vn         
M  26842 N/A       05:41:57.52 -62:54:49.5  6.89    6.22     -3.98     9.96  --------  A1V          
M  27533 N/A       05:49:53.50 -22:58:18.7  5.87    5.34    -15.31    21.41  --------  A1V          
M  27555 N/A       05:50:09.34 -32:48:33.3  6.84    5.46     -7.22   -17.82  --------  A1V          
M  27698 N/A       05:51:54.32 -25:13:09.3  7.02    9.95      0.70   -20.32  --------  A1V          
M  27812 N/A       05:53:07.44 -36:56:33.1  8.49    3.94     -7.27    -6.40  --------  A1V          
M  28081 N/A       05:56:10.66 -21:07:21.2  6.89    9.96     13.24    32.22  --------  A1V          
M  28296 N/A       05:58:49.57 +00:33:10.7  5.21    8.88    -15.59     2.41 05588+0033 A1Vs         
M  28480 N/A       06:00:47.43 -60:53:33.4  8.53    3.96     -2.09    21.02  --------  A1V          
M  28505 N/A       06:01:04.90 -24:05:42.9  8.70    2.71     -4.25    -1.12  --------  A1V          
M  28608 N/A       06:02:16.67 -00:04:57.4  8.52    3.62      5.56   -15.31  --------  A1V          
M  28680 N/A       06:03:18.95 -77:16:39.0  8.94    1.37    -11.64    12.99  --------  A1V          
M  28866 N/A       06:05:41.31 -17:13:21.4  9.59    2.16     -2.14    -1.19  --------  A1V          
M  28899 N/A       06:06:05.54 -29:45:31.0  5.79   12.25     10.94   -41.69  --------  A1V          
M  28952 N/A       06:06:39.41 -41:13:12.0  7.01    5.94     -2.92    -2.53  --------  A0/A1V       
M  29092 N/A       06:08:12.89 -79:43:32.9  9.03    5.31      4.19    21.11  --------  A0/A1V       
M  29176 N/A       06:09:19.43 -20:55:18.6  8.73    0.52      3.83     2.72  --------  A0/A1V       
M  29284 N/A       06:10:26.49 -77:06:20.1  6.83    4.13     -9.00    17.85  --------  A1V          
M  29505 N/A       06:12:58.68 -24:53:51.7  9.41    2.46      5.70     9.66  --------  A1V          
M  29602 N/A       06:14:18.35 +14:29:36.9  7.27    2.52     -8.37   -10.41 06143+1429 A1V          
M  29671 N/A       06:15:01.69 -29:21:55.3  7.31    9.04      3.17   -12.96  --------  A1V          
M  30007 N/A       06:18:57.92 -22:02:05.9  7.66    6.76     -9.35     8.25  --------  A1V          
M  30063 N/A       06:19:38.41 -13:33:18.4  8.57    6.06     -4.94     0.48  --------  A1V          
M  30206 N/A       06:21:19.34 -44:46:25.0  8.81    1.49      1.99    22.42  --------  A1V          
M  30251 N/A       06:21:48.54 -15:06:31.2  9.48    0.71     -8.59     1.52  --------  A1V          
M  30692 N/A       06:26:58.83 +00:50:27.7  6.70    5.47     -4.78     0.59  --------  A1Vn         
M  30873 N/A       06:28:52.03 -45:46:39.5  7.60    4.10    -13.66    11.31 06289-4547 A1V          
M  31357 N/A       06:34:32.25 +30:57:16.8  8.44    6.36     46.56    -9.67  --------  A1V          
M  31382 N/A       06:34:45.81 -20:33:26.7  7.02    6.01    -12.54     3.23  --------  A1V          
M  31409 N/A       06:34:59.69 -21:59:43.8  8.47    1.71      2.13    -4.19  --------  A1V          
M  31475 N/A       06:35:33.88 -36:15:33.8  7.14    5.49     28.99   -59.37  --------  A1V          
M  31559 N/A       06:36:20.96 +29:43:40.8  8.73    0.59     35.75   -23.89  --------  A1V          
M  31630 N/A       06:37:07.30 -52:20:49.8  7.72    4.98     -7.64   -19.07  --------  A0/A1V       
M  31659 N/A       06:37:33.55 +29:54:34.5  9.16    1.01     -1.01    -2.13  --------  A1V          
M  31799 N/A       06:38:54.71 -15:58:11.0  8.78    4.62     -8.55    -0.26  --------  A1V          
M  31922 N/A       06:40:16.60 +79:35:58.2  6.74    8.73     -2.44    15.74  --------  A1V          
M  31986 N/A       06:41:02.72 -25:55:02.2  8.48    3.37     -2.50     2.45  --------  A1V          
M  32020 N/A       06:41:21.94 +16:23:51.5  6.28    4.15     -4.72    -4.24  --------  A1V          
M  32097 N/A       06:42:19.86 -20:05:18.1  8.75    1.83     -8.92     4.49  --------  A1V+...      
M  32197 N/A       06:43:15.94 -13:51:42.5  8.97    1.51     -1.41   -10.75  --------  A1V          
M  32244 N/A       06:43:53.66 -27:35:29.1  7.46    2.55      2.13     9.65  --------  A1V          
M  32381 N/A       06:45:28.78 -36:50:57.9  7.98    6.04     -4.44    -7.71  --------  A0/A1V       
M  32391 N/A       06:45:37.69 -24:11:01.1  8.82    3.98      6.89    10.83  --------  A1V          
M  32407 N/A       06:45:57.75 -07:20:20.2  7.13    5.27     -4.13    -0.64  --------  A1V          
M  32691 N/A       06:49:13.54 -46:42:34.4  7.36    7.75      7.37    13.87  --------  A1V          
M  32801 N/A       06:50:16.68 -17:17:31.1  6.62    8.71     -2.96   -23.29  --------  A1V          
M  32905 N/A       06:51:21.95 -32:11:01.2  7.55    6.66      5.27     5.16  --------  A1V          
M  33161 N/A       06:54:11.85 -39:35:40.4  9.10    3.14     -9.38     4.08  --------  A1V          
M  33186 N/A       06:54:25.72 -14:27:02.7  7.78    6.60    -12.37    18.35  --------  A1V          
M  33653 N/A       06:59:29.03 +37:06:08.7  8.16    6.78     -5.25     5.62 06595+3706 A1Vn         
M  33881 N/A       07:01:57.13 -17:38:39.5  7.28    4.78     -2.79   -19.89  --------  A1V          
M  33990 N/A       07:03:10.23 -70:32:29.8  7.80    3.90      0.29   -11.90  --------  A1V          
M  34092 N/A       07:04:08.69 -64:29:23.8  7.48    4.75     -6.29     7.29  --------  A1V          
M  34125 N/A       07:04:33.45 -58:49:46.9  8.28    3.67    -15.04    27.98  --------  A1Vn         
M  34195 N/A       07:05:29.21 -29:04:09.8  8.34    5.05    -10.15    22.22  --------  A1V          
M  34357 N/A       07:07:21.69 -09:59:06.5  7.02    1.90     -2.26     0.52  --------  A1V          
M  34373 N/A       07:07:32.76 -43:51:52.9  8.41    5.01     -1.97    36.03  --------  A1V          
M  34491 N/A       07:08:49.67 -08:40:25.3  9.69    7.37     -9.35    -1.56 07088-0841 A1V          
M  34638 N/A       07:10:28.37 -42:46:59.7  9.68    2.53     -7.45     8.00  --------  A1V          
M  34768 N/A       07:11:51.38 +05:39:16.9  6.07    4.17    -12.25    -5.19  --------  A1V          
M  34838 N/A       07:12:34.65 -36:14:02.7  7.75    3.03     -7.72    18.57  --------  A1V          
M  35131 N/A       07:15:46.59 -53:36:07.4  8.10    5.22     -8.34    11.57  --------  A0/A1V       
M  35180 N/A       07:16:14.55 -15:35:08.5  5.46   11.79    -44.29   -14.07  --------  A1V          
M  35229 N/A       07:16:50.26 -25:09:32.5  7.03   10.38     -0.58    -2.22  --------  A1V          
M  35567 N/A       07:20:22.95 -56:17:40.7  6.57   14.25    -27.77    61.59  --------  A1V          
M  35638 N/A       07:21:15.08 -35:29:46.0  7.99    4.43    -12.33     0.99  --------  A1V          
M  35678 N/A       07:21:42.63 -26:58:03.8  8.92    2.28     -3.56    -1.98  --------  A1V          
M  35818 N/A       07:23:14.17 +15:49:55.2  9.46    0.24     -6.20    -5.42  --------  A1V          
M  35842 N/A       07:23:28.13 +22:56:43.2  6.17   10.46    -25.93   -35.94  --------  A1V          
M  35993 N/A       07:25:04.66 -43:23:13.7  7.76    5.39     -1.56   -19.49 07251-4323 A1V          
M  35995 N/A       07:25:06.79 -14:52:59.5  6.76    6.85    -19.22     3.90  --------  A1V          
M  36145 N/A       07:26:42.85 +49:12:41.4  4.61   13.11    -10.79   -48.57  --------  A1V          
M  36760 N/A       07:33:36.48 +15:49:35.9  5.27    8.69    -29.28   -12.62  --------  A1Vn         
M  36796 N/A       07:34:04.96 +10:34:05.0  6.28    7.76    -30.67   -15.31  --------  A1V          
M  36908 N/A       07:35:16.76 -46:34:39.5  7.62    3.06     -7.80     7.59  --------  A1V          
M  36934 N/A       07:35:33.58 -26:37:43.1  6.62    6.85    -16.68    17.74  --------  A1V          
M  36989 N/A       07:36:11.78 -00:08:15.6  9.10    2.35    -20.92   -84.04  --------  A1V          
M  37811 N/A       07:45:09.34 +20:18:57.7  6.53    7.08     -3.95    -1.33  --------  A1V          
M  37842 N/A       07:45:28.73 -14:41:10.1  7.03    8.10    -15.90   -21.76 07454-1442 A0/A1V       
M  37921 N/A       07:46:16.20 +10:46:05.6  5.25   10.44    -30.87   -24.45  --------  A1Vnn        
M  37958 N/A       07:46:50.60 -74:05:26.2  8.10    3.59     -0.59    28.97  --------  A1V          
M  37998 N/A       07:47:14.96 -35:22:50.2  9.01    2.33    -13.29    11.09  --------  A1V          
M  38435 N/A       07:52:25.51 -23:17:46.8 10.15    2.97     -7.12    -1.09  --------  A1V          
M  38490 N/A       07:52:57.85 -01:26:14.3  8.38    5.49      0.47     8.79  --------  A1V          
M  38654 N/A       07:54:52.65 -38:25:12.0  7.44    5.20     -4.63   -17.16  --------  A1V          
M  38660 N/A       07:54:55.42 -18:04:11.9  8.98    5.56      3.80    -2.37  --------  A1V          
M  38776 N/A       07:56:14.83 -43:13:26.1  8.92    3.08    -10.66     7.97  --------  A0/A1Vn...   
M  38815 N/A       07:56:38.09 -65:36:50.1  8.84    2.72     -4.96    13.08  --------  A1Vn         
M  39095 N/A       07:59:52.06 -18:23:57.2  4.61   13.69     -7.29   -35.07  --------  A1V          
M  39170 N/A       08:00:41.81 -40:11:48.8  7.34    2.15     -5.34    -0.41  --------  A1V          
M  39213 N/A       08:01:13.89 +04:52:47.3  5.65    9.42    -32.14    18.55 08012+0453 A1V          
M  39263 N/A       08:01:43.76 +25:05:22.1  6.32    5.45    -23.32    11.69 08017+2506 A1V          
M  39451 N/A       08:03:51.17 -70:20:14.1  7.22    4.18     -2.03    23.76  --------  A1Vn         
M  39472 N/A       08:04:04.42 -19:22:02.1  9.23    2.73     -2.44     6.46  --------  A1V          
M  39567 N/A       08:05:04.49 +13:07:05.5  5.14   15.49    -35.20   -63.86  --------  A1V          
M  39722 N/A       08:07:09.94 +43:15:37.3  6.35    6.90    -12.56   -34.36  --------  A1V          
M  39802 N/A       08:08:00.65 -73:28:49.0  8.94    3.65     -6.28    17.62  --------  A1V          
M  40045 N/A       08:10:47.78 -38:16:07.9  7.73    5.20      0.19     1.01  --------  A1V          
M  40058 N/A       08:10:58.89 +14:37:46.1  6.22    5.61    -22.30   -16.78  --------  A1V          
M  40205 N/A       08:12:42.33 -13:28:46.8  8.16    3.82    -12.43    -5.08  --------  A1V          
M  40211 N/A       08:12:45.90 -29:54:38.8  6.53    6.80    -38.71    33.61  --------  A1V          
