M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M     38 N/A       00:00:27.15 -79:03:43.1  8.65   23.84    162.30   -62.40  --------  G6V          
M    914 N/A       00:11:18.02 -32:48:01.5  8.60   15.08   -117.08    -9.72  --------  G6V          
M   1113 N/A       00:13:53.02 -74:41:17.8  8.76   22.86     84.14   -47.52 00138-7441 G6V          
M   1206 N/A       00:15:04.64 -68:31:48.3  8.57   22.90     47.78    54.59  --------  G6V          
M   1292 N/A       00:16:12.68 -79:51:04.2  6.59   56.76    433.87   -57.95  --------  G6V          
M   1788 N/A       00:22:43.72 -46:17:08.7  9.52    9.93    115.62   -51.91  --------  G6V          
M   1893 N/A       00:23:56.47 -14:20:47.2  8.72   19.26     78.32   -12.64  --------  G6V          
M   2194 N/A       00:27:43.52 -32:23:14.9  9.02   21.72    328.21  -104.69  --------  G6V          
M   2233 N/A       00:28:18.31 -44:23:20.8 10.05    6.88      0.22   -75.92  --------  G5/G6V       
M   2282 N/A       00:29:10.42 -50:36:42.8  8.46   20.60    340.61  -136.13  --------  G6V          
M   2380 N/A       00:30:21.86 -32:43:23.3  9.75    2.37      5.97    10.25  --------  G6V          
M   2416 N/A       00:30:48.06 -56:35:41.9  9.07   17.50     -6.26    51.61  --------  G5/G6V       
M   2601 N/A       00:33:02.41 -29:04:27.8  9.44   11.64   -126.61   -71.00  --------  G5/G6V       
M   2987 N/A       00:37:57.98 -22:20:15.3  9.03    4.83     38.15    32.78  --------  G6V          
M   3195 N/A       00:40:43.94 -49:35:31.3  8.78   23.09    181.51  -122.62 00407-4936 G6V          
M   3254 N/A       00:41:26.61 -73:06:46.4  9.97   13.82    -60.92     3.16  --------  G5/G6V:      
M   4194 N/A       00:53:34.98 -22:12:12.8  8.92   21.15    212.68   -99.55  --------  G6V          
M   5491 N/A       01:10:17.66 -35:02:36.4  9.12    2.40      4.76    15.96  --------  G6V          
M   5968 N/A       01:16:43.29 -18:09:13.6  9.11   10.52    -87.47   -46.07  --------  G6V          
M   6074 N/A       01:17:58.44 -49:20:28.1  9.43    8.51     56.47    11.44  --------  G6V          
M   6151 N/A       01:18:56.44 -29:57:32.9  9.41    5.85     99.05    66.76  --------  G6V          
M   6273 N/A       01:20:30.06 -19:56:56.5  7.57   34.73    166.52  -228.27  --------  G5/G6V       
M   6485 N/A       01:23:21.25 -57:28:50.7  8.53   20.29     92.99   -36.93  --------  G6V          
M   6519 N/A       01:23:42.32 -26:11:31.0  9.21    4.86     21.81   -26.90  --------  G6V          
M   6607 N/A       01:24:49.21 -27:50:20.5  8.29   24.75    320.92  -275.98  --------  G6Vw...      
M   6973 N/A       01:29:46.24 -40:50:45.8  9.25    5.80    176.75    54.82  --------  G6V          
