M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    934 N/A       00:11:35.80 -57:28:21.1  9.04   27.46    135.23   -66.87  --------  K1V          
M   1085 N/A       00:13:30.92 -40:21:29.7  9.05   30.00    123.21    50.14  --------  K1V          
M   1151 N/A       00:14:22.26 -28:56:04.7  9.42   11.19   -110.46   -87.31  --------  K0/K1VCN...  
M   1613 N/A       00:20:11.09 -55:59:38.4  9.83   14.46     20.61    -0.02  --------  K1V          
M   1768 N/A       00:22:23.61 -27:01:57.3  8.30   44.57    212.89  -399.85  --------  K1V          
M   2136 N/A       00:27:05.24 -36:33:59.2  9.50   18.10    -40.92     9.45  --------  K1V          
M   3340 N/A       00:42:34.89 -54:07:03.9  8.45   30.82    -65.24  -166.84 00426-5407 K0/K1V:      
M   4010 N/A       00:51:26.77 -43:35:26.1  9.71   20.84     63.78    25.83  --------  K1V          
M   5191 N/A       01:06:26.15 -14:17:47.1  9.50   20.01    100.17   -95.16  --------  K1V          
M   5224 N/A       01:06:47.43 -50:59:22.0  8.84   33.98    489.44    10.67  --------  K1V          
M   6130 N/A       01:18:41.10 -00:52:03.2  8.00   36.16    431.21  -250.17 01187-0052 K1V          
M   6856 N/A       01:28:08.66 -52:38:19.1  9.35   26.92    104.84   -43.39  --------  K1V          
M   7400 N/A       01:35:24.28 +63:04:55.0  6.73    8.27     -9.98    -4.03 01355+6305 K1V          
M   7467 N/A       01:36:10.09 -29:23:32.4  8.83   21.22    -56.85     3.78  --------  K1V          
M   7539 N/A       01:37:08.63 -29:23:35.7  8.14   29.72    285.89   -70.12  --------  K1V          
M   7766 N/A       01:39:56.47 -51:35:36.3 10.18   15.79   -103.48   -78.11  --------  K0/K1V:      
M   7928 N/A       01:41:54.54 +45:34:38.1  8.48    0.95    -10.61    -4.63  --------  K1V          
M   7981 N/A       01:42:29.76 +20:16:06.5  5.24  133.91   -302.12  -677.40 01425+2016 K1V          
M   8543 N/A       01:50:07.88 +29:27:52.4  8.06   37.33    -35.83   -63.84  --------  K1V          
M   8701 N/A       01:51:57.92 -81:01:09.8  8.95   32.38     84.12    16.95  --------  K1V          
M   9400 N/A       02:00:47.21 -80:31:57.7  8.93   24.32    -67.30  -141.86  --------  K1V          
M  10941 N/A       02:20:55.09 -71:38:06.6  9.84   14.91    -20.80   -20.01  --------  K1V:         
M  11433 N/A       02:27:28.38 -27:38:06.7  9.10   24.14    -71.45  -211.38  --------  K1V          
M  11463 N/A       02:27:50.95 -29:42:58.3  8.87    7.24    -14.40  -122.06  --------  K1VCN...     
M  12897 N/A       02:45:47.42 -16:27:43.8  9.66   18.68    306.50  -229.10  --------  K1V          
M  13081 N/A       02:48:09.14 +27:04:07.0  7.56   44.71    264.17  -127.75 02482+2704 K1V          
M  13359 N/A       02:51:52.97 -61:37:04.5  8.86   23.36    146.09   132.24  --------  K1V(p)       
M  13388 N/A       02:52:19.69 -33:27:02.3  8.09   38.45    431.92     8.95  --------  K1V          
M  13402 N/A       02:52:32.13 -12:46:10.9  6.05   96.33    398.11  -189.55  --------  K1V          
M  13513 N/A       02:54:02.78 -35:54:16.8  8.23   33.83    515.91  -173.95 02540-3554 K1V          
M  14685 N/A       03:09:42.45 -55:01:29.7  8.87    6.23     65.55    -5.28  --------  K1Vp         
M  17027 N/A       03:39:01.12 -05:37:34.3  5.97   28.44    -13.53  -207.06  --------  K1V          
M  17439 N/A       03:44:09.17 -38:16:54.3  6.99   61.63    209.08   288.19  --------  K1V          
M  17742 N/A       03:47:58.36 -33:35:46.1  9.14   17.00     64.68   -70.79  --------  K1V          
M  17888 N/A       03:49:35.61 +01:20:53.7  8.58   29.96    263.67  -615.78  --------  K1V          
M  18427 N/A       03:56:25.30 -52:55:51.1  9.27   17.86    240.34   243.73  --------  K1V          
M  18527 N/A       03:57:43.92 -20:16:04.0  8.87   25.90    118.64   107.80  --------  K1V          
M  18915 N/A       04:03:15.00 +35:16:23.7  8.51   54.14   1732.49 -1365.50  --------  K1V...       
M  18965 N/A       04:03:50.83 +29:11:51.7  8.18   28.44    247.71  -128.33  --------  K1V          
M  19232 N/A       04:07:20.72 -27:25:32.3  8.49   21.79    -62.89  -242.44  --------  K1V          
M  19248 N/A       04:07:29.20 -52:34:17.1  8.59   28.67    146.98  -221.70  --------  K1Vp         
M  19849 N/A       04:15:16.32 -07:39:10.3  4.43  198.24  -2239.33 -3419.86 04153-0739 K1V          
M  20387 N/A       04:21:57.41 +28:26:35.6 10.20    7.49      9.08   -23.05  --------  F8Ve-K1Ve(T) 
M  20487 N/A       04:23:25.66 -51:01:35.2  8.73    4.45     42.24    13.26  --------  K1V          
M  20492 N/A       04:23:32.33 +14:40:13.7  9.11   21.23    107.57   -18.24  --------  K1V          
M  20978 N/A       04:29:57.72 +16:40:22.2  9.08   24.71    105.04   -28.33  --------  K1V          
M  21380 N/A       04:35:17.23 +23:02:42.6  8.91   23.09    -13.35   -67.89  --------  K1V          
M  21889 N/A       04:42:19.98 -61:37:14.4  8.86   17.14     14.20   243.65  --------  K0/K1V       
M  22481 N/A       04:50:12.86 -26:07:51.6  9.49   18.68    -28.53    -2.21  --------  K0/K1V       
M  24210 N/A       05:11:54.25 -09:06:47.3  8.04   33.68    -72.33  -558.12 05119-0907 K1V          
M  26779 N/A       05:41:20.33 +53:28:51.8  6.21   81.69      2.70  -523.61 05413+5329 K1V          
M  26907 N/A       05:42:45.84 +02:40:44.5  8.55   31.90    254.37  -526.90  --------  K1V          
M  27896 N/A       05:54:10.82 -50:21:45.2  6.53   28.67     93.52   548.66  --------  K1V          
M  28921 N/A       06:06:16.62 -27:54:21.0  8.95   31.38    -16.42    34.22  --------  K1V          
M  30055 N/A       06:19:28.88 +13:26:54.0  7.67    1.89     10.15    -9.54 06194+1326 K1V          
M  31289 N/A       06:33:42.20 -74:42:02.0 10.05   12.37    -27.00   -52.26  --------  K1V          
M  32804 N/A       06:50:18.17 -29:56:53.2 10.03   16.57     64.38   -49.23  --------  K0/K1V       
M  33736 N/A       07:00:29.59 -41:22:47.3  8.47   30.54     40.93   216.49  --------  K1V          
M  33817 N/A       07:01:13.74 -25:56:55.3  6.71   68.42    206.58    40.89  --------  K1V          
M  34950 N/A       07:13:53.11 +25:00:40.9  8.40   39.72   -408.33   -88.88 07139+2500 K1V          
M  35154 N/A       07:15:57.35 -55:43:59.3  7.69   17.91    -42.05    67.91  --------  K1VCN...     
M  35739 N/A       07:22:18.86 -39:15:11.9  8.83   26.74   -143.23   -49.45  --------  K0/K1V       
M  38413 N/A       07:52:11.03 -43:39:19.8  9.63   11.00    -29.07    25.24  --------  K0/K1V:      
M  38531 N/A       07:53:24.84 -35:37:05.1  9.22   18.20    -22.91    71.97  --------  K1V          
M  38981 N/A       07:58:37.69 -37:01:13.8  6.99    8.68     67.50  -186.83  --------  K0/K1V       
M  39342 N/A       08:02:31.19 -66:01:15.3  7.18   57.88   -157.34  -130.52  --------  K1V          
M  40848 N/A       08:20:04.78 +73:24:54.6  8.36   32.22   -312.30  -487.15  --------  K1V          
M  42281 N/A       08:37:15.54 -17:29:40.8  8.72   27.02   -114.02    57.15  --------  K1V          
M  42499 N/A       08:39:50.79 +11:31:21.6  7.61   53.98   -109.35  -499.89 08398+1132 K1V          
M  43777 N/A       08:54:58.85 -18:48:43.8  7.38   17.57   -148.25    19.96  --------  K0/K1V       
M  44101 N/A       08:58:56.91 -34:00:23.6  9.35   21.35    -70.87   -26.56  --------  K1V          
M  45957 N/A       09:22:20.51 -32:08:54.4  8.85   26.82   -627.79   291.26  --------  K1V          
M  46677 N/A       09:30:59.28 -47:23:03.0  8.51   30.67    372.17  -397.32  --------  K1V          
M  47486 N/A       09:40:48.60 -40:33:17.7  9.03   22.27    -16.78   -71.82  --------  K1V          
M  48235 N/A       09:50:02.49 -49:47:24.9  8.54   29.45     24.57   -59.83  --------  K1V          
M  50176 N/A       10:14:32.91 -27:02:10.6  9.19   17.71     71.54    18.43  --------  K1V          
M  51157 N/A       10:26:59.50 +26:38:29.2  8.23   34.76    168.41   -86.32  --------  K1V          
M  51297 N/A       10:28:42.88 -27:21:57.7  8.86   29.83    333.29  -264.69  --------  K1V          
M  52462 N/A       10:43:28.27 -29:03:51.4  7.72   46.36   -215.39   -48.50  --------  K1V          
M  53523 N/A       10:57:00.08 +41:53:03.9  9.72   21.01   -686.26  -286.64  --------  K1V          
M  54906 N/A       11:14:33.16 +25:42:37.4  7.76   46.95   -105.74    48.25  --------  K1V          
M  55628 N/A       11:23:46.62 -38:29:23.0  8.51   20.04    -72.99  -162.51  --------  K1V          
M  57172 N/A       11:43:30.11 -58:00:24.7  8.21   32.79     15.00   347.49  --------  K1V          
M  57931 N/A       11:52:52.97 -50:17:34.1  9.40   20.27    -80.50     7.36  --------  K1Vp...      
M  58401 N/A       11:58:28.02 -41:55:19.2  8.91   31.35   -769.46  -265.59  --------  K1V          
M  58918 N/A       12:04:53.85 +34:37:14.2 10.66   18.36   -295.18    17.64  --------  K1V          
M  59335 N/A       12:10:17.57 +25:13:44.6  9.56   -0.41    -24.15    -6.44  --------  K1V          
M  59584 N/A       12:13:07.44 -38:02:11.9  9.65   13.98    -73.05   -80.39  --------  K1V          
M  59707 N/A       12:14:42.12 -24:46:30.6  7.47   35.56   -292.43   -32.28 12147-2447 K0/K1V+...   
M  60252 N/A       12:21:15.54 -30:33:19.9  9.50    7.57     -5.46     4.05  --------  K1V          
M  60457 N/A       12:23:39.65 -20:05:17.1  7.87   14.17     59.45   -61.02  --------  K1V          
M  60462 N/A       12:23:42.60 -30:46:33.7  9.42   24.35   -259.73   202.62  --------  K1V          
